segment,window_index,window_start_sec,window_end_sec,whole_rho_mean,cluster467_rho_mean
main_meditation,31,155,185,0.5038387475428413,0.5991324719344466
main_meditation,32,160,190,0.4619529043350754,0.5929883838620327
main_meditation,33,165,195,0.4742981948431297,0.5576482544573996
main_meditation,34,170,200,0.43254685503644147,0.5290718839658688
main_meditation,35,175,205,0.44631794540229897,0.6171352263022147
main_meditation,36,180,210,0.41156576175254217,0.5757878405417064
main_meditation,37,185,215,0.41065709607137546,0.5519896997432915
main_meditation,38,190,220,0.4102724443311823,0.5724101994951932
main_meditation,39,195,225,0.4010564723076616,0.6644871403913956
main_meditation,40,200,230,0.44361399591634093,0.6059768431881482
main_meditation,41,205,235,0.4832421790230755,0.6649618419451407
main_meditation,42,210,240,0.5340323318983925,0.6697242804608293
main_meditation,43,215,245,0.5660680798506909,0.6272600258268892
main_meditation,44,220,250,0.5336825121296914,0.5972308245417213
main_meditation,45,225,255,0.47952812614362966,0.5750797302608774
main_meditation,46,230,260,0.47108635984386954,0.5094436456489041
main_meditation,47,235,265,0.39539350525885975,0.5322311700655312
main_meditation,48,240,270,0.3860874528618198,0.504085813895918
main_meditation,49,245,275,0.3817763453272809,0.4462330571840441
main_meditation,50,250,280,0.48499987734848926,0.48252729473293077
main_meditation,51,255,285,0.46398611116171035,0.5449697371657822
main_meditation,52,260,290,0.4540934617698926,0.5129290787930064
main_meditation,53,265,295,0.5101989813330374,0.5602485884566071
main_meditation,54,270,300,0.3938559878289532,0.4949417189786297
main_meditation,55,275,305,0.3672410719493841,0.5867119401260787
main_meditation,56,280,310,0.3804120689856422,0.5661360475659739
main_meditation,57,285,315,0.48257404604596826,0.5788313634769098
main_meditation,58,290,320,0.4520960933432641,0.5933600236891265
main_meditation,59,295,325,0.43664730357403275,0.563958687420371
main_meditation,60,300,330,0.37134490301716794,0.5865610811408873
main_meditation,61,305,335,0.3855401850013703,0.5161140170493399
main_meditation,62,310,340,0.43209087033607857,0.5143629244314122
main_meditation,63,315,345,0.4476152173411336,0.5058963868657063
main_meditation,64,320,350,0.40601283874951116,0.6114607202190723
main_meditation,65,325,355,0.42936496340185376,0.6124108857686522
main_meditation,66,330,360,0.4150711257239571,0.6674973166754583
main_meditation,67,335,365,0.4601964554784745,0.6667820137228737
main_meditation,68,340,370,0.4585015089650634,0.6721307382336013
main_meditation,69,345,375,0.39988866617828417,0.6654000410148284
main_meditation,70,350,380,0.5530004826612044,0.6668761337996847
main_meditation,71,355,385,0.5147351108779697,0.6796014767577901
main_meditation,72,360,390,0.527807292230643,0.6594425926391632
main_meditation,73,365,395,0.4896272339236752,0.5936220951841514
main_meditation,74,370,400,0.47188304589120766,0.5312333203238873
main_meditation,75,375,405,0.4579973860145806,0.5099875955931116
main_meditation,76,380,410,0.4558673570330077,0.45221890850631813
main_meditation,77,385,415,0.4961691356733742,0.43495129600197924
main_meditation,78,390,420,0.46520950847150994,0.5178873626394453
main_meditation,79,395,425,0.47377104878869614,0.43605778036924786
main_meditation,80,400,430,0.5705899614708165,0.5817069121450483
main_meditation,81,405,435,0.5246917857955142,0.47642937932305235
main_meditation,82,410,440,0.5267083775049312,0.5551922703540204
main_meditation,83,415,445,0.4970921392311613,0.5330781614803846
main_meditation,84,420,450,0.4954774601350024,0.52907713513883
main_meditation,85,425,455,0.44940000659220203,0.5092281900862319
main_meditation,86,430,460,0.4901795462668715,0.618202435586422
main_meditation,87,435,465,0.44241121953040347,0.6501761933268038
main_meditation,88,440,470,0.46358559764112334,0.6206527634242582
main_meditation,89,445,475,0.4779900751233606,0.676109272999926
main_meditation,90,450,480,0.33252381003449066,0.6697285966372669
main_meditation,91,455,485,0.38700816383155984,0.6369556533959482
main_meditation,92,460,490,0.5034482176930394,0.6332645669633091
main_meditation,93,465,495,0.5289625598058743,0.676715278976695
main_meditation,94,470,500,0.5159944918830384,0.6653007746739924
main_meditation,95,475,505,0.44114353313966703,0.6113035226749409
main_meditation,96,480,510,0.4521016545587421,0.6171760540141756
main_meditation,97,485,515,0.4290809662871377,0.6346159022318829
main_meditation,98,490,520,0.45404940886924633,0.6050601198806603
main_meditation,99,495,525,0.4553313303557289,0.6004961695837735
