emotibit_id,segment,channel,fs_estimated,n_samples,nan_fraction,outlier_fraction,clipping_fraction,iqr,diff_std,pulse_band_ratio,autocorr_peak_strength
EmotiBit_5,main_meditation,PPG_2,99.01184452184796,74602,0.0,4.021339910458165e-05,2.6808932736387765e-05,3979.0,953.8028815047278,0.22036463882010693,0.7033668998037685
EmotiBit_5,main_meditation,PPG_3,99.01184452184796,74602,0.0,0.005294764215436583,5.361786547277553e-05,1473.0,23.77688859734554,0.04942319237225953,0.9291967095287913
EmotiBit_5,recovery,PPG_1,99.01184452184796,9385,0.0,0.022269579115610016,0.0002131060202450719,617.0,39.8280645892893,0.09573406619165548,0.6826260078381865
EmotiBit_5,recovery,PPG_2,99.01184452184796,9385,0.0,0.032605221097496,0.0002131060202450719,664.0,30.530466574605285,0.11404290699960595,0.7052475899144395
EmotiBit_5,recovery,PPG_3,99.01184452184796,9385,0.0,0.14427277570591368,0.0002131060202450719,507.0,23.91775816157508,0.09739481242206953,0.6429967183650581
EmotiBit_6,pre_meditation,PPG_1,99.11816997508183,24195,0.0,0.006902252531514776,8.266170696424881e-05,839.0,36.45337918476397,0.17480600007718933,0.6958107574112519
EmotiBit_6,pre_meditation,PPG_2,99.11816997508183,24195,0.0,0.0,8.266170696424881e-05,1393.0,25.373035785647772,0.1571647412064916,0.7443094457206268
EmotiBit_6,pre_meditation,PPG_3,99.11816997508183,24195,0.0,0.0,8.266170696424881e-05,275.0,23.040118937071163,0.26733504692195953,0.9013312300602715
EmotiBit_6,main_meditation,PPG_1,99.11816997508183,74683,0.0,0.0,2.6779856192172247e-05,1151.0,30.563795684059645,0.6491918155389238,0.9292912396457835
EmotiBit_6,main_meditation,PPG_2,99.11816997508183,74683,0.0,0.0,2.6779856192172247e-05,1487.0,24.35457482178294,0.6342126048902756,0.9189162424119312
EmotiBit_6,main_meditation,PPG_3,99.11816997508183,74683,0.0,0.0,2.6779856192172247e-05,317.0,23.012410724811883,0.6567163291207269,0.9120367700189094
EmotiBit_6,recovery,PPG_1,99.11816997508183,9394,0.0,0.011283798169044072,0.00021290185224611454,2027.5,44.71326468786666,0.1329471632130903,0.849525264620794
EmotiBit_6,recovery,PPG_2,99.11816997508183,9394,0.0,0.00936768149882904,0.0003193527783691718,665.0,27.457741176837217,0.14284341338575854,0.8177442682728796
EmotiBit_6,recovery,PPG_3,99.11816997508183,9394,0.0,0.0,0.0003193527783691718,526.75,23.583520190650102,0.12967442931755857,0.8802838216352578
EmotiBit_7,pre_meditation,PPG_1,99.9723082249774,24404,0.0,0.0,8.195377806916898e-05,981.0,29.335137064305627,0.6603933362447991,0.895571144645147
EmotiBit_7,pre_meditation,PPG_2,99.9723082249774,24404,0.0,0.0,8.195377806916898e-05,1746.25,25.55614897678253,0.3743208740969037,0.9129915799055772
EmotiBit_7,pre_meditation,PPG_3,99.9723082249774,24404,0.0,0.010981806261268644,8.195377806916898e-05,302.0,23.581564926641047,0.3346926587075988,0.7668063906762091
EmotiBit_7,main_meditation,PPG_1,99.9723082249774,75326,0.0,0.0,2.6551257202028515e-05,1673.0,29.104382721236743,0.5496764827602884,0.9725991222672661
EmotiBit_7,main_meditation,PPG_2,99.9723082249774,75326,0.0,2.6551257202028515e-05,2.6551257202028515e-05,1107.0,786.2424182448958,0.3083802500504435,0.25981592669158976
EmotiBit_7,main_meditation,PPG_3,99.9723082249774,75326,0.0,0.003026843321031251,2.6551257202028515e-05,455.0,23.87180855867013,0.38734065521128724,0.8274097428981274
EmotiBit_7,recovery,PPG_1,99.9723082249774,9476,0.0,0.0,0.00021105951878429716,1011.0,28.763895159562708,0.7802964002347513,0.9320241475105157
EmotiBit_7,recovery,PPG_2,99.9723082249774,9476,0.0,0.005276487969607429,0.00021105951878429716,161.0,25.63574216958378,0.6037363746462255,0.8017668084280611
EmotiBit_7,recovery,PPG_3,99.9723082249774,9476,0.0,0.0297593921485859,0.00021105951878429716,268.0,23.93807110960619,0.6136925864325544,0.7788485914900715
