emotibit_id,segment,channel,n,n_nan,mean,std,min,max,range,diff_std,outlier_frac_abs_z_gt_5
EmotiBit_3,main_meditation,PPG_3,74534,0,13673.208468618348,115.80864632367285,13355.0,13919.0,564.0,21.52298485812195,0.0
EmotiBit_3,recovery,PPG_1,9375,0,166924.83317333335,757.3864976937886,164771.0,167460.0,2689.0,28.28964588754415,0.18794666666666668
EmotiBit_3,recovery,PPG_2,9375,0,141023.00757333334,522.3947716392058,138980.0,167275.0,28295.0,381.5557434785193,0.19946666666666665
EmotiBit_3,recovery,PPG_3,9375,0,13367.43776,72.19482488042847,13127.0,13500.0,373.0,21.753070037114096,0.0
EmotiBit_4,pre_meditation,PPG_1,24184,0,154533.72026959973,278.9536433826606,153756.0,155498.0,1742.0,26.591643061564966,0.0
EmotiBit_4,pre_meditation,PPG_2,24184,0,86774.68652828316,454.3597297294179,86470.0,154657.0,68187.0,616.9040250663558,4.1349652662917634e-05
EmotiBit_4,pre_meditation,PPG_3,24184,0,3964.027745616937,59.39032803791652,3805.0,4127.0,322.0,21.792209579101645,0.0
EmotiBit_4,main_meditation,PPG_1,74646,0,154610.99470835677,331.9954223562849,153600.0,155441.0,1841.0,28.850684318105284,0.0
EmotiBit_4,main_meditation,PPG_2,74646,0,88241.92551509793,825.7337757322047,86861.0,89605.0,2744.0,23.489360099337237,0.0
EmotiBit_4,main_meditation,PPG_3,74646,0,3844.960935616108,88.63746888711489,3570.0,4169.0,599.0,22.10421787626755,0.0
EmotiBit_4,recovery,PPG_1,9390,0,154898.8703940362,281.41905796194715,154236.0,155659.0,1423.0,31.483594165723694,0.0
EmotiBit_4,recovery,PPG_2,9390,0,89651.50287539935,892.8512968446324,3731.0,89935.0,86204.0,1252.6877720456193,0.00010649627263045793
EmotiBit_4,recovery,PPG_3,9390,0,3829.3673056443026,79.6017444345386,3634.0,4042.0,408.0,21.8709824213172,0.0
EmotiBit_5,pre_meditation,PPG_1,24170,0,168558.6489035995,1367.5346804441403,166195.0,171475.0,5280.0,27.41274487120682,0.0
EmotiBit_5,pre_meditation,PPG_2,24170,0,149282.42854778652,928.8209669395283,147449.0,151434.0,3985.0,25.706062391951516,0.0
EmotiBit_5,pre_meditation,PPG_3,24170,0,18359.45771617708,303.0125556922598,16732.0,18912.0,2180.0,22.473276220020523,0.001323955316508068
EmotiBit_5,main_meditation,PPG_1,74602,0,164312.30926784806,1947.8851156927412,155895.0,169519.0,13624.0,28.751273482975183,0.0
EmotiBit_5,main_meditation,PPG_2,74602,0,145451.06877831693,2018.6637664424575,15729.0,163006.0,147277.0,953.8028815047278,4.021339910458165e-05
EmotiBit_5,main_meditation,PPG_3,74602,0,16294.847229296802,911.9566175283361,6557.0,18216.0,11659.0,23.77688859734554,0.005294764215436583
EmotiBit_5,recovery,PPG_1,9385,0,161041.66798082046,617.3895376300864,158070.0,165807.0,7737.0,39.8280645892893,0.022269579115610016
EmotiBit_5,recovery,PPG_2,9385,0,143071.5135855088,510.22574636674096,140407.0,145135.0,4728.0,30.530466574605285,0.032605221097496
EmotiBit_5,recovery,PPG_3,9385,0,15817.928609483219,427.61790513686924,12805.0,16191.0,3386.0,23.91775816157508,0.14427277570591368
