LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1032510.274007,1032510.274009,1760462440.086882,122393.000,17134,1,SF,1,100,21.6545
1032510.607012,1032510.607014,1760462440.419888,122726.000,17180,1,SF,1,100,21.4040
1032510.874016,1032510.874018,1760462440.686893,122993.000,17230,1,SF,1,100,21.1564
1032511.207021,1032511.207023,1760462441.019898,123326.000,17278,1,SF,1,100,20.9116
1032511.607027,1032511.607029,1760462441.419905,123726.000,17340,1,SF,1,100,20.6697
1032511.874031,1032511.874033,1760462441.686910,123993.000,17391,1,SF,1,100,22.5129
1032512.207036,1032512.207038,1760462442.019915,124326.000,17438,1,SF,1,100,22.2524
1032512.607042,1032512.607043,1760462442.419922,124726.000,17502,1,SF,1,100,21.9950
1032512.941047,1032512.941048,1760462442.753928,125060.000,17549,1,SF,1,100,21.7406
1032513.207051,1032513.207052,1760462443.019933,125326.000,17597,1,SF,1,100,21.4891
1032513.541055,1032513.541057,1760462443.353938,125660.000,17646,1,SF,1,100,21.2405
1032513.940061,1032513.940063,1760462443.752945,126059.000,17710,1,SF,1,100,23.0770
1032514.207065,1032514.207067,1760462444.019949,126326.000,17759,1,SF,1,100,22.8101
1032514.540070,1032514.540072,1760462444.352955,126659.000,17808,1,SF,1,100,24.6284
1032514.940076,1032514.940078,1760462444.752962,127059.000,17874,1,SF,1,100,24.3435
1032515.274081,1032515.274082,1760462445.086968,127393.000,17922,1,SF,1,100,24.0619
1032515.540085,1032515.540086,1760462445.352972,127659.000,17970,1,SF,1,100,23.7836
1032515.874090,1032515.874091,1760462445.686978,127993.000,18018,1,SF,1,100,23.5085
1032516.274096,1032516.274097,1760462446.086985,128393.000,18082,1,SF,1,100,23.2365
1032516.540100,1032516.540101,1760462446.352989,128659.000,18129,1,SF,1,100,22.9677
1032516.873104,1032516.873106,1760462446.685995,128992.000,18177,1,SF,1,100,22.7020
1032517.273110,1032517.273112,1760462447.086002,129392.000,18240,1,SF,1,100,22.4394
1032517.607115,1032517.607117,1760462447.420007,129726.000,18287,1,SF,1,100,22.1798
1032517.873119,1032517.873120,1760462447.686012,129992.000,18320,1,SF,1,100,21.9232
1032518.207124,1032518.207125,1760462448.020018,130326.000,18371,1,SF,1,100,21.6696
1032518.607130,1032518.607131,1760462448.420025,130726.000,18436,1,SF,1,100,21.4190
1032518.940135,1032518.940136,1760462448.753030,131059.000,18483,1,SF,1,100,21.1712
1032519.207139,1032519.207140,1760462449.020035,131326.000,18534,1,SF,1,100,20.9263
1032519.540144,1032519.540145,1760462449.353040,131659.000,18580,1,SF,1,100,20.6842
1032519.940149,1032519.940151,1760462449.753047,132059.000,18647,1,SF,1,100,20.4449
1032520.206153,1032520.206155,1760462450.019052,132325.000,18697,1,SF,1,100,20.2084
1032520.540158,1032520.540159,1760462450.353058,132659.000,18745,1,SF,1,100,19.9746
1032520.873163,1032520.873164,1760462450.686063,132992.000,18796,1,SF,1,100,19.7436
1032521.206168,1032521.206169,1760462451.019069,133325.000,18844,1,SF,1,100,19.5152
1032521.540173,1032521.540174,1760462451.353075,133659.000,18893,1,SF,1,100,19.2894
1032521.940179,1032521.940180,1760462451.753082,134059.000,18958,1,SF,1,100,19.0663
1032522.206183,1032522.206184,1760462452.019086,134325.000,19007,1,SF,1,100,18.8457
1032522.540188,1032522.540189,1760462452.353092,134659.000,19056,1,SF,1,100,18.6277
1032522.940194,1032522.940195,1760462452.753099,135059.000,19124,1,SF,1,100,18.4122
1032523.273198,1032523.273199,1760462453.086104,135392.000,19172,1,SF,1,100,18.1992
1032523.539202,1032523.539203,1760462453.352109,135658.000,19222,1,SF,1,100,17.9887
1032523.873207,1032523.873208,1760462453.686115,135992.000,19268,1,SF,1,100,17.7806
1032524.273213,1032524.273214,1760462454.086121,136392.000,19335,1,SF,1,100,17.5749
1032524.540217,1032524.540218,1760462454.353126,136659.000,19384,1,SF,1,100,19.4539
1032524.873222,1032524.873223,1760462454.686132,136992.000,19433,1,SF,1,100,19.2288
1032525.206227,1032525.206228,1760462455.019137,137325.000,19485,1,SF,1,100,19.0064
1032525.606233,1032525.606234,1760462455.419144,137725.000,19549,1,SF,1,100,18.7865
1032525.873237,1032525.873238,1760462455.686149,137992.000,19597,1,SF,1,100,18.5692
1032526.206242,1032526.206242,1760462456.019154,138325.000,19647,1,SF,1,100,18.3544
1032526.606247,1032526.606248,1760462456.419161,138725.000,19712,1,SF,1,100,18.1421
1032526.872251,1032526.872252,1760462456.685166,138991.000,19759,1,SF,1,100,17.9322
1032527.206256,1032527.206257,1760462457.019171,139325.000,19810,1,SF,1,100,17.7247
1032527.539261,1032527.539262,1760462457.352177,139658.000,19858,1,SF,1,100,17.5197
1032527.872266,1032527.872267,1760462457.685183,139991.000,19908,1,SF,1,100,19.3993
