LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1032514.049063,1032514.049065,1760462443.861947,126168.000,17726,1,BI,1,100,550
1032514.582071,1032514.582072,1760462444.394956,126701.000,17824,1,BI,1,100,520
1032515.138079,1032515.138080,1760462444.950965,127257.000,17906,1,BI,1,100,560
1032515.692087,1032515.692089,1760462445.504975,127811.000,18001,1,BI,1,100,540
1032516.228095,1032516.228096,1760462446.040984,128347.000,18080,1,BI,1,100,540
1032516.828104,1032516.828105,1760462446.640994,128947.000,18175,1,BI,1,100,590
1032518.118123,1032518.118124,1760462447.931016,130237.000,18354,1,BI,1,100,1280
1032518.438127,1032518.438129,1760462448.251022,130557.000,18418,1,BI,1,100,320
1032519.188138,1032519.188140,1760462449.001034,131307.000,18532,1,BI,1,100,740
1032519.801147,1032519.801149,1760462449.614045,131920.000,18628,1,BI,1,100,610
1032520.338155,1032520.338157,1760462450.151054,132457.000,18713,1,BI,1,100,530
1032520.838163,1032520.838164,1760462450.651063,132957.000,18794,1,BI,1,100,500
1032521.334170,1032521.334171,1760462451.147071,133453.000,18876,1,BI,1,100,490
1032521.881178,1032521.881179,1760462451.694081,134000.000,18956,1,BI,1,100,540
1032522.418186,1032522.418187,1760462452.231090,134537.000,19038,1,BI,1,100,530
1032522.924193,1032522.924194,1760462452.737098,135043.000,19122,1,BI,1,100,510
1032523.551203,1032523.551204,1760462453.364109,135670.000,19220,1,BI,1,100,620
1032524.121211,1032524.121212,1760462453.934119,136240.000,19318,1,BI,1,100,560
1032524.714220,1032524.714221,1760462454.527129,136833.000,19416,1,BI,1,100,590
1032525.274228,1032525.274229,1760462455.087138,137393.000,19501,1,BI,1,100,560
1032525.874237,1032525.874238,1760462455.687149,137993.000,19595,1,BI,1,100,590
1032526.497246,1032526.497247,1760462456.310159,138616.000,19694,1,BI,1,100,620
1032527.014253,1032527.014254,1760462456.827168,139133.000,19776,1,BI,1,100,510
1032527.567262,1032527.567262,1760462457.380178,139686.000,19856,1,BI,1,100,550
1032528.124270,1032528.124270,1760462457.937187,140243.000,19962,1,BI,1,100,550
1032528.610277,1032528.610278,1760462458.423195,140729.000,20043,1,BI,1,100,480
1032529.157285,1032529.157286,1760462458.970205,141276.000,20125,1,BI,1,100,550
1032529.727293,1032529.727294,1760462459.540215,141846.000,20220,1,BI,1,100,560
