LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1032511.821883,1032511.821881,1760462441.634757,122626.000,16951,1,BI,1,100,630
1032512.381924,1032512.381923,1760462442.194800,123186.000,17049,1,BI,1,100,560
1032512.887962,1032512.887960,1760462442.700840,123692.000,17132,1,BI,1,100,500
1032513.455005,1032513.455003,1760462443.267883,124259.000,17217,1,BI,1,100,570
1032514.042049,1032514.042047,1760462443.854929,124846.000,17316,1,BI,1,100,580
1032514.621092,1032514.621090,1760462444.433973,125425.000,17411,1,BI,1,100,570
1032515.191135,1032515.191133,1760462445.004017,125995.000,17493,1,BI,1,100,570
1032515.755177,1032515.755175,1760462445.568061,126559.000,17589,1,BI,1,100,560
1032516.311218,1032516.311216,1760462446.124104,127115.000,17672,1,BI,1,100,550
1032516.918264,1032516.918262,1760462446.731151,127722.000,17770,1,BI,1,100,610
1032517.491307,1032517.491305,1760462447.304195,128295.000,17866,1,BI,1,100,560
1032518.028347,1032518.028345,1760462447.841237,128832.000,17947,1,BI,1,100,540
1032518.544385,1032518.544383,1760462448.357276,129348.000,18030,1,BI,1,100,510
1032519.115428,1032519.115426,1760462448.928320,129919.000,18126,1,BI,1,100,570
1032519.698472,1032519.698470,1760462449.511365,130502.000,18221,1,BI,1,100,580
1032520.244512,1032520.244510,1760462450.057408,131048.000,18301,1,BI,1,100,540
1032520.817555,1032520.817553,1760462450.630452,131621.000,18396,1,BI,1,100,570
1032521.334594,1032521.334592,1760462451.147492,132138.000,18477,1,BI,1,100,510
1032521.934639,1032521.934637,1760462451.747538,132738.000,18572,1,BI,1,100,600
1032522.491680,1032522.491678,1760462452.304581,133295.000,18651,1,BI,1,100,550
1032523.054723,1032523.054721,1760462452.867625,133858.000,18747,1,BI,1,100,560
1032523.640766,1032523.640764,1760462453.453670,134444.000,18829,1,BI,1,100,580
1032524.137804,1032524.137802,1760462453.950708,134941.000,18908,1,BI,1,100,500
1032524.727848,1032524.727846,1760462454.540754,135531.000,19004,1,BI,1,100,580
1032525.254887,1032525.254885,1760462455.067795,136058.000,19083,1,BI,1,100,530
1032525.770926,1032525.770924,1760462455.583834,136574.000,19163,1,BI,1,100,510
1032526.324967,1032526.324965,1760462456.137877,137128.000,19259,1,BI,1,100,550
1032526.891009,1032526.891007,1760462456.703921,137694.000,19339,1,BI,1,100,560
1032527.484054,1032527.484052,1760462457.296967,138287.000,19434,1,BI,1,100,590
1032528.054096,1032528.054094,1760462457.867011,138857.000,19530,1,BI,1,100,570
1032528.618139,1032528.618137,1760462458.431054,139421.000,19627,1,BI,1,100,560
1032529.164179,1032529.164177,1760462458.977096,139967.000,19706,1,BI,1,100,540
1032529.765224,1032529.765222,1760462459.578143,140568.000,19802,1,BI,1,100,600
1032530.331267,1032530.331265,1760462460.144186,141134.000,19882,1,BI,1,100,560
1032530.864307,1032530.864304,1760462460.677228,141667.000,19977,1,BI,1,100,530
1032531.421348,1032531.421346,1760462461.234271,142224.000,20057,1,BI,1,100,550
1032531.937387,1032531.937385,1760462461.750310,142740.000,20138,1,BI,1,100,520
1032532.511430,1032532.511428,1760462462.324355,143314.000,20232,1,BI,1,100,570
1032533.067471,1032533.067469,1760462462.880398,143870.000,20312,1,BI,1,100,550
1032533.637514,1032533.637512,1760462463.450442,144440.000,20410,1,BI,1,100,570
1032534.164553,1032534.164551,1760462463.977483,144967.000,20489,1,BI,1,100,520
1032534.814602,1032534.814600,1760462464.627533,145617.000,20600,1,BI,1,100,640
1032535.387645,1032535.387643,1760462465.200577,146190.000,20685,1,BI,1,100,570
1032535.950687,1032535.950685,1760462465.763620,146753.000,20782,1,BI,1,100,560
1032536.517729,1032536.517727,1760462466.330664,147320.000,20861,1,BI,1,100,570
1032537.080771,1032537.080769,1760462466.893708,147883.000,20956,1,BI,1,100,560
1032537.643814,1032537.643811,1760462467.456751,148446.000,21052,1,BI,1,100,560
1032538.217857,1032538.217854,1760462468.030795,149020.000,21118,1,BI,1,100,560
1032538.733895,1032538.733893,1760462468.546835,149536.000,21200,1,BI,1,100,520
1032539.280936,1032539.280934,1760462469.093878,150083.000,21284,1,BI,1,100,540
1032539.893982,1032539.893980,1760462469.706925,150696.000,21378,1,BI,1,100,610
1032540.474025,1032540.474023,1760462470.286970,151276.000,21477,1,BI,1,100,580
1032541.068070,1032541.068067,1760462470.881016,151870.000,21573,1,BI,1,100,590
1032541.531104,1032541.531102,1760462471.344051,152333.000,21639,1,BI,1,100,460
1032542.094146,1032542.094144,1760462471.907095,152896.000,21738,1,BI,1,100,560
1032542.631187,1032542.631184,1760462472.444136,153433.000,21820,1,BI,1,100,530
1032543.127224,1032543.127221,1760462472.940175,153929.000,21901,1,BI,1,100,490
1032543.624261,1032543.624259,1760462473.437213,154426.000,21989,1,BI,1,100,500
1032544.140299,1032544.140297,1760462473.953253,154942.000,22072,1,BI,1,100,510
1032544.694341,1032544.694339,1760462474.507296,155496.000,22172,1,BI,1,100,550
