LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1032492.184414,1032492.184412,1760462421.997241,102990.000,13845,1,SF,1,100,33.3921
1032492.584444,1032492.584442,1760462422.397272,103390.000,13907,1,SF,1,100,33.0059
1032492.850464,1032492.850462,1760462422.663292,103656.000,13958,1,SF,1,100,34.7063
1032493.184489,1032493.184487,1760462422.997318,103990.000,14005,1,SF,1,100,34.3048
1032493.584519,1032493.584517,1760462423.397349,104390.000,14071,1,SF,1,100,33.9080
1032493.917544,1032493.917542,1760462423.730375,104723.000,14119,1,SF,1,100,33.5157
1032494.183564,1032494.183562,1760462423.996395,104989.000,14167,1,SF,1,100,33.1280
1032494.517589,1032494.517587,1760462424.330421,105323.000,14217,1,SF,1,100,34.8270
1032494.917618,1032494.917617,1760462424.730452,105723.000,14281,1,SF,1,100,36.5064
1032495.183638,1032495.183637,1760462424.996472,105989.000,14332,1,SF,1,100,38.1664
1032495.517663,1032495.517662,1760462425.330498,106323.000,14380,1,SF,1,100,37.7248
1032495.917693,1032495.917691,1760462425.730529,106723.000,14444,1,SF,1,100,39.3707
1032496.183713,1032496.183711,1760462425.996550,106989.000,14494,1,SF,1,100,38.9152
1032496.517738,1032496.517736,1760462426.330575,107323.000,14540,1,SF,1,100,38.4651
1032496.850763,1032496.850761,1760462426.663601,107656.000,14589,1,SF,1,100,38.0201
1032497.250793,1032497.250791,1760462427.063632,108056.000,14651,1,SF,1,100,37.5803
1032497.517813,1032497.517811,1760462427.330653,108323.000,14700,1,SF,1,100,37.1456
1032497.850838,1032497.850836,1760462427.663678,108656.000,14747,1,SF,1,100,36.7159
1032498.250868,1032498.250866,1760462428.063709,109056.000,14813,1,SF,1,100,36.2911
1032498.583893,1032498.583891,1760462428.396735,109389.000,14861,1,SF,1,100,35.8713
1032498.850913,1032498.850911,1760462428.663756,109656.000,14911,1,SF,1,100,37.5386
1032499.183937,1032499.183936,1760462428.996781,109989.000,14959,1,SF,1,100,37.1043
1032499.583967,1032499.583966,1760462429.396812,110389.000,15025,1,SF,1,100,38.7574
1032499.850987,1032499.850986,1760462429.663833,110656.000,15072,1,SF,1,100,38.3090
1032500.184012,1032500.184010,1760462429.996859,110989.000,15120,1,SF,1,100,37.8659
1032500.584042,1032500.584040,1760462430.396889,111389.000,15185,1,SF,1,100,37.4278
1032500.917067,1032500.917065,1760462430.729915,111722.000,15232,1,SF,1,100,36.9949
1032501.184087,1032501.184085,1760462430.996936,111989.000,15280,1,SF,1,100,36.5669
1032501.517112,1032501.517110,1760462431.329962,112322.000,15327,1,SF,1,100,36.1439
1032501.917142,1032501.917140,1760462431.729992,112722.000,15391,1,SF,1,100,35.7258
