LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1201895.538754,1201895.538754,1760631825.262198,21415.091,1312,11,PI,1,100,183377
1201895.548481,1201895.548481,1760631825.271926,21424.818,1312,11,PI,1,100,183418
1201895.558208,1201895.558208,1760631825.281653,21434.545,1312,11,PI,1,100,183405
1201895.567936,1201895.567935,1760631825.291380,21444.273,1312,11,PI,1,100,183444
1201895.577663,1201895.577663,1760631825.301107,21454.000,1312,11,PI,1,100,183404
1201895.588263,1201895.588262,1760631825.311707,21464.600,1328,10,PI,1,100,183426
1201895.598863,1201895.598862,1760631825.322307,21475.200,1328,10,PI,1,100,183408
1201895.609463,1201895.609462,1760631825.332907,21485.800,1328,10,PI,1,100,183432
1201895.620063,1201895.620062,1760631825.343507,21496.400,1328,10,PI,1,100,183419
1201895.630663,1201895.630662,1760631825.354107,21507.000,1328,10,PI,1,100,183401
1201895.641262,1201895.641262,1760631825.364707,21517.600,1328,10,PI,1,100,183421
1201895.651862,1201895.651862,1760631825.375307,21528.200,1328,10,PI,1,100,183442
1201895.662462,1201895.662462,1760631825.385907,21538.800,1328,10,PI,1,100,183393
1201895.673062,1201895.673062,1760631825.396507,21549.400,1328,10,PI,1,100,183372
1201895.683662,1201895.683662,1760631825.407107,21560.000,1328,10,PI,1,100,183400
1201895.694107,1201895.694106,1760631825.417552,21570.444,1342,9,PI,1,100,183369
1201895.704551,1201895.704551,1760631825.427996,21580.889,1342,9,PI,1,100,183377
1201895.714995,1201895.714995,1760631825.438440,21591.333,1342,9,PI,1,100,183371
1201895.725440,1201895.725440,1760631825.448885,21601.778,1342,9,PI,1,100,183368
1201895.735884,1201895.735884,1760631825.459329,21612.222,1342,9,PI,1,100,183361
1201895.746329,1201895.746328,1760631825.469774,21622.667,1342,9,PI,1,100,183325
1201895.756773,1201895.756773,1760631825.480218,21633.111,1342,9,PI,1,100,183327
1201895.767217,1201895.767217,1760631825.490662,21643.556,1342,9,PI,1,100,183352
1201895.777662,1201895.777661,1760631825.501107,21654.000,1342,9,PI,1,100,183359
1201895.787298,1201895.787298,1760631825.510743,21663.636,1359,11,PI,1,100,183328
1201895.796934,1201895.796934,1760631825.520379,21673.273,1359,11,PI,1,100,183334
1201895.806571,1201895.806570,1760631825.530016,21682.909,1359,11,PI,1,100,183352
1201895.816207,1201895.816207,1760631825.539652,21692.545,1359,11,PI,1,100,183366
1201895.825843,1201895.825843,1760631825.549288,21702.182,1359,11,PI,1,100,183350
1201895.835480,1201895.835479,1760631825.558925,21711.818,1359,11,PI,1,100,183349
1201895.845116,1201895.845116,1760631825.568561,21721.455,1359,11,PI,1,100,183344
1201895.854752,1201895.854752,1760631825.578197,21731.091,1359,11,PI,1,100,183350
1201895.864389,1201895.864388,1760631825.587834,21740.727,1359,11,PI,1,100,183369
1201895.874025,1201895.874025,1760631825.597470,21750.364,1359,11,PI,1,100,183292
1201895.883661,1201895.883661,1760631825.607106,21760.000,1359,11,PI,1,100,183322
1201895.894106,1201895.894105,1760631825.617551,21770.444,1374,9,PI,1,100,183332
1201895.904550,1201895.904550,1760631825.627995,21780.889,1374,9,PI,1,100,183306
1201895.914994,1201895.914994,1760631825.638439,21791.333,1374,9,PI,1,100,183331
1201895.925439,1201895.925439,1760631825.648884,21801.778,1374,9,PI,1,100,183349
1201895.935883,1201895.935883,1760631825.659328,21812.222,1374,9,PI,1,100,183384
1201895.946328,1201895.946327,1760631825.669773,21822.667,1374,9,PI,1,100,183361
1201895.956772,1201895.956772,1760631825.680217,21833.111,1374,9,PI,1,100,183327
1201895.967216,1201895.967216,1760631825.690661,21843.556,1374,9,PI,1,100,183355
1201895.977661,1201895.977660,1760631825.701106,21854.000,1374,9,PI,1,100,183363
1201895.987388,1201895.987388,1760631825.710833,21863.727,1390,11,PI,1,100,183379
1201895.997115,1201895.997115,1760631825.720560,21873.455,1390,11,PI,1,100,183327
1201896.006842,1201896.006842,1760631825.730288,21883.182,1390,11,PI,1,100,183327
1201896.016570,1201896.016569,1760631825.740015,21892.909,1390,11,PI,1,100,183310
1201896.026297,1201896.026297,1760631825.749742,21902.636,1390,11,PI,1,100,183350
1201896.036024,1201896.036024,1760631825.759469,21912.364,1390,11,PI,1,100,183352
1201896.045751,1201896.045751,1760631825.769197,21922.091,1390,11,PI,1,100,183368
1201896.055478,1201896.055478,1760631825.778924,21931.818,1390,11,PI,1,100,183362
1201896.065206,1201896.065205,1760631825.788651,21941.545,1390,11,PI,1,100,183386
1201896.074933,1201896.074933,1760631825.798378,21951.273,1390,11,PI,1,100,183376
1201896.084660,1201896.084660,1760631825.808105,21961.000,1390,11,PI,1,100,183375
1201896.095260,1201896.095260,1760631825.818706,21971.600,1409,10,PI,1,100,183388
1201896.105860,1201896.105860,1760631825.829305,21982.200,1409,10,PI,1,100,183371
1201896.116460,1201896.116460,1760631825.839905,21992.800,1409,10,PI,1,100,183380
1201896.127060,1201896.127060,1760631825.850505,22003.400,1409,10,PI,1,100,183388
1201896.137660,1201896.137660,1760631825.861105,22014.000,1409,10,PI,1,100,183419
1201896.148260,1201896.148260,1760631825.871705,22024.600,1409,10,PI,1,100,183389
1201896.158860,1201896.158860,1760631825.882305,22035.200,1409,10,PI,1,100,183372
1201896.169460,1201896.169459,1760631825.892905,22045.800,1409,10,PI,1,100,183403
1201896.180060,1201896.180059,1760631825.903505,22056.400,1409,10,PI,1,100,183413
1201896.190660,1201896.190659,1760631825.914105,22067.000,1409,10,PI,1,100,183441
1201896.199960,1201896.199959,1760631825.923405,22076.300,1425,10,PI,1,100,183413
1201896.209260,1201896.209259,1760631825.932705,22085.600,1425,10,PI,1,100,183419
1201896.218559,1201896.218559,1760631825.942005,22094.900,1425,10,PI,1,100,183436
1201896.227859,1201896.227859,1760631825.951305,22104.200,1425,10,PI,1,100,183418
1201896.237159,1201896.237159,1760631825.960605,22113.500,1425,10,PI,1,100,183434
1201896.246459,1201896.246459,1760631825.969905,22122.800,1425,10,PI,1,100,183443
1201896.255759,1201896.255759,1760631825.979205,22132.100,1425,10,PI,1,100,183451
1201896.265059,1201896.265059,1760631825.988505,22141.400,1425,10,PI,1,100,183427
1201896.274359,1201896.274359,1760631825.997805,22150.700,1425,10,PI,1,100,183423
1201896.283659,1201896.283659,1760631826.007105,22160.000,1425,10,PI,1,100,183426
1201896.294359,1201896.294359,1760631826.017805,22170.700,1440,10,PI,1,100,183473
1201896.305059,1201896.305059,1760631826.028505,22181.400,1440,10,PI,1,100,183468
1201896.315759,1201896.315759,1760631826.039205,22192.100,1440,10,PI,1,100,183456
1201896.326459,1201896.326459,1760631826.049905,22202.800,1440,10,PI,1,100,183446
1201896.337159,1201896.337159,1760631826.060605,22213.500,1440,10,PI,1,100,183483
1201896.347859,1201896.347859,1760631826.071305,22224.200,1440,10,PI,1,100,183480
1201896.358559,1201896.358558,1760631826.082005,22234.900,1440,10,PI,1,100,183483
1201896.369259,1201896.369258,1760631826.092704,22245.600,1440,10,PI,1,100,183485
1201896.379959,1201896.379958,1760631826.103404,22256.300,1440,10,PI,1,100,183510
1201896.390659,1201896.390658,1760631826.114104,22267.000,1440,10,PI,1,100,183515
1201896.400386,1201896.400386,1760631826.123832,22276.727,1457,11,PI,1,100,183482
1201896.410113,1201896.410113,1760631826.133559,22286.455,1457,11,PI,1,100,183485
1201896.419840,1201896.419840,1760631826.143286,22296.182,1457,11,PI,1,100,183494
1201896.429567,1201896.429567,1760631826.153013,22305.909,1457,11,PI,1,100,183512
1201896.439295,1201896.439294,1760631826.162740,22315.636,1457,11,PI,1,100,183495
1201896.449022,1201896.449022,1760631826.172468,22325.364,1457,11,PI,1,100,183508
1201896.458749,1201896.458749,1760631826.182195,22335.091,1457,11,PI,1,100,183499
1201896.468476,1201896.468476,1760631826.191922,22344.818,1457,11,PI,1,100,183498
1201896.478204,1201896.478203,1760631826.201649,22354.545,1457,11,PI,1,100,183445
1201896.487931,1201896.487931,1760631826.211377,22364.273,1457,11,PI,1,100,183456
1201896.497658,1201896.497658,1760631826.221104,22374.000,1457,11,PI,1,100,183496
1201896.507991,1201896.507991,1760631826.231437,22384.333,1473,9,PI,1,100,183482
1201896.518325,1201896.518324,1760631826.241771,22394.667,1473,9,PI,1,100,183477
1201896.528658,1201896.528658,1760631826.252104,22405.000,1473,9,PI,1,100,183461
1201896.538991,1201896.538991,1760631826.262437,22415.333,1473,9,PI,1,100,183470
1201896.549324,1201896.549324,1760631826.272770,22425.667,1473,9,PI,1,100,183457
1201896.559658,1201896.559657,1760631826.283104,22436.000,1473,9,PI,1,100,183439
1201896.569991,1201896.569991,1760631826.293437,22446.333,1473,9,PI,1,100,183494
1201896.580324,1201896.580324,1760631826.303770,22456.667,1473,9,PI,1,100,183433
1201896.590658,1201896.590657,1760631826.314104,22467.000,1473,9,PI,1,100,183458
1201896.600385,1201896.600384,1760631826.323831,22476.727,1489,11,PI,1,100,183483
1201896.610112,1201896.610112,1760631826.333558,22486.455,1489,11,PI,1,100,183450
1201896.619839,1201896.619839,1760631826.343285,22496.182,1489,11,PI,1,100,183434
1201896.629566,1201896.629566,1760631826.353013,22505.909,1489,11,PI,1,100,183439
1201896.639294,1201896.639293,1760631826.362740,22515.636,1489,11,PI,1,100,183426
1201896.649021,1201896.649021,1760631826.372467,22525.364,1489,11,PI,1,100,183467
1201896.658748,1201896.658748,1760631826.382194,22535.091,1489,11,PI,1,100,183476
1201896.668475,1201896.668475,1760631826.391922,22544.818,1489,11,PI,1,100,183444
1201896.678203,1201896.678202,1760631826.401649,22554.545,1489,11,PI,1,100,183456
1201896.687930,1201896.687929,1760631826.411376,22564.273,1489,11,PI,1,100,183421
1201896.697657,1201896.697657,1760631826.421103,22574.000,1489,11,PI,1,100,183429
1201896.708257,1201896.708257,1760631826.431703,22584.600,1507,10,PI,1,100,183454
1201896.718857,1201896.718857,1760631826.442303,22595.200,1507,10,PI,1,100,183449
1201896.729457,1201896.729457,1760631826.452903,22605.800,1507,10,PI,1,100,183453
1201896.740057,1201896.740057,1760631826.463503,22616.400,1507,10,PI,1,100,183483
1201896.750657,1201896.750656,1760631826.474103,22627.000,1507,10,PI,1,100,183487
1201896.761257,1201896.761256,1760631826.484703,22637.600,1507,10,PI,1,100,183455
1201896.771857,1201896.771856,1760631826.495303,22648.200,1507,10,PI,1,100,183476
1201896.782457,1201896.782456,1760631826.505903,22658.800,1507,10,PI,1,100,183497
1201896.793056,1201896.793056,1760631826.516503,22669.400,1507,10,PI,1,100,183465
1201896.803656,1201896.803656,1760631826.527103,22680.000,1507,10,PI,1,100,183436
1201896.813990,1201896.813989,1760631826.537436,22690.333,1523,9,PI,1,100,183456
1201896.824323,1201896.824323,1760631826.547769,22700.667,1523,9,PI,1,100,183452
1201896.834656,1201896.834656,1760631826.558103,22711.000,1523,9,PI,1,100,183465
1201896.844990,1201896.844989,1760631826.568436,22721.333,1523,9,PI,1,100,183456
1201896.855323,1201896.855323,1760631826.578769,22731.667,1523,9,PI,1,100,183458
1201896.865656,1201896.865656,1760631826.589103,22742.000,1523,9,PI,1,100,183468
1201896.875989,1201896.875989,1760631826.599436,22752.333,1523,9,PI,1,100,183449
1201896.886323,1201896.886322,1760631826.609769,22762.667,1523,9,PI,1,100,183409
1201896.896656,1201896.896656,1760631826.620102,22773.000,1523,9,PI,1,100,183398
1201896.906383,1201896.906383,1760631826.629830,22782.727,1537,11,PI,1,100,183415
1201896.916110,1201896.916110,1760631826.639557,22792.455,1537,11,PI,1,100,183407
1201896.925838,1201896.925837,1760631826.649284,22802.182,1537,11,PI,1,100,183387
1201896.935565,1201896.935565,1760631826.659011,22811.909,1537,11,PI,1,100,183343
1201896.945292,1201896.945292,1760631826.668739,22821.636,1537,11,PI,1,100,183363
1201896.955019,1201896.955019,1760631826.678466,22831.364,1537,11,PI,1,100,183265
1201896.964746,1201896.964746,1760631826.688193,22841.091,1537,11,PI,1,100,183280
1201896.974474,1201896.974473,1760631826.697920,22850.818,1537,11,PI,1,100,183215
1201896.984201,1201896.984201,1760631826.707648,22860.545,1537,11,PI,1,100,183193
1201896.993928,1201896.993928,1760631826.717375,22870.273,1537,11,PI,1,100,183142
1201897.003655,1201897.003655,1760631826.727102,22880.000,1537,11,PI,1,100,183149
1201897.014100,1201897.014100,1760631826.737546,22890.444,1553,9,PI,1,100,183091
1201897.024544,1201897.024544,1760631826.747991,22900.889,1553,9,PI,1,100,183054
1201897.034989,1201897.034988,1760631826.758435,22911.333,1553,9,PI,1,100,183019
1201897.045433,1201897.045433,1760631826.768880,22921.778,1553,9,PI,1,100,183004
1201897.055877,1201897.055877,1760631826.779324,22932.222,1553,9,PI,1,100,182968
1201897.066322,1201897.066321,1760631826.789768,22942.667,1553,9,PI,1,100,182955
1201897.076766,1201897.076766,1760631826.800213,22953.111,1553,9,PI,1,100,182946
1201897.087210,1201897.087210,1760631826.810657,22963.556,1553,9,PI,1,100,182897
1201897.097655,1201897.097655,1760631826.821102,22974.000,1553,9,PI,1,100,182856
1201897.107291,1201897.107291,1760631826.830738,22983.636,1569,11,PI,1,100,182870
1201897.116928,1201897.116927,1760631826.840374,22993.273,1569,11,PI,1,100,182812
1201897.126564,1201897.126564,1760631826.850011,23002.909,1569,11,PI,1,100,182812
1201897.136200,1201897.136200,1760631826.859647,23012.545,1569,11,PI,1,100,182752
1201897.145836,1201897.145836,1760631826.869283,23022.182,1569,11,PI,1,100,182782
1201897.155473,1201897.155473,1760631826.878920,23031.818,1569,11,PI,1,100,182712
1201897.165109,1201897.165109,1760631826.888556,23041.455,1569,11,PI,1,100,182693
1201897.174745,1201897.174745,1760631826.898192,23051.091,1569,11,PI,1,100,182660
1201897.184382,1201897.184381,1760631826.907829,23060.727,1569,11,PI,1,100,182602
1201897.194018,1201897.194018,1760631826.917465,23070.364,1569,11,PI,1,100,182603
1201897.203654,1201897.203654,1760631826.927101,23080.000,1569,11,PI,1,100,182604
1201897.213988,1201897.213987,1760631826.937434,23090.333,1585,9,PI,1,100,182541
1201897.224321,1201897.224321,1760631826.947768,23100.667,1585,9,PI,1,100,182531
1201897.234654,1201897.234654,1760631826.958101,23111.000,1585,9,PI,1,100,182528
1201897.244987,1201897.244987,1760631826.968434,23121.333,1585,9,PI,1,100,182555
1201897.255321,1201897.255320,1760631826.978768,23131.667,1585,9,PI,1,100,182523
1201897.265654,1201897.265654,1760631826.989101,23142.000,1585,9,PI,1,100,182542
1201897.275987,1201897.275987,1760631826.999434,23152.333,1585,9,PI,1,100,182507
1201897.286321,1201897.286320,1760631827.009768,23162.667,1585,9,PI,1,100,182503
1201897.296654,1201897.296654,1760631827.020101,23173.000,1585,9,PI,1,100,182489
1201897.306381,1201897.306381,1760631827.029828,23182.727,1604,11,PI,1,100,182440
1201897.316108,1201897.316108,1760631827.039555,23192.455,1604,11,PI,1,100,182441
1201897.325836,1201897.325835,1760631827.049283,23202.182,1604,11,PI,1,100,182467
1201897.335563,1201897.335563,1760631827.059010,23211.909,1604,11,PI,1,100,182467
1201897.345290,1201897.345290,1760631827.068737,23221.636,1604,11,PI,1,100,182454
1201897.355017,1201897.355017,1760631827.078464,23231.364,1604,11,PI,1,100,182409
1201897.364744,1201897.364744,1760631827.088192,23241.091,1604,11,PI,1,100,182420
1201897.374472,1201897.374471,1760631827.097919,23250.818,1604,11,PI,1,100,182419
1201897.384199,1201897.384199,1760631827.107646,23260.545,1604,11,PI,1,100,182393
1201897.393926,1201897.393926,1760631827.117373,23270.273,1604,11,PI,1,100,182427
1201897.403653,1201897.403653,1760631827.127100,23280.000,1604,11,PI,1,100,182415
1201897.414353,1201897.414353,1760631827.137800,23290.700,1621,10,PI,1,100,182408
1201897.425053,1201897.425053,1760631827.148500,23301.400,1621,10,PI,1,100,182376
1201897.435753,1201897.435753,1760631827.159200,23312.100,1621,10,PI,1,100,182382
1201897.446453,1201897.446453,1760631827.169900,23322.800,1621,10,PI,1,100,182369
1201897.457153,1201897.457153,1760631827.180600,23333.500,1621,10,PI,1,100,182381
1201897.467853,1201897.467853,1760631827.191300,23344.200,1621,10,PI,1,100,182374
1201897.478553,1201897.478553,1760631827.202000,23354.900,1621,10,PI,1,100,182325
1201897.489253,1201897.489253,1760631827.212700,23365.600,1621,10,PI,1,100,182313
1201897.499953,1201897.499953,1760631827.223400,23376.300,1621,10,PI,1,100,182320
1201897.510653,1201897.510653,1760631827.234100,23387.000,1621,10,PI,1,100,182285
1201897.519953,1201897.519952,1760631827.243400,23396.300,1636,10,PI,1,100,182299
1201897.529253,1201897.529252,1760631827.252700,23405.600,1636,10,PI,1,100,182317
1201897.538553,1201897.538552,1760631827.262000,23414.900,1636,10,PI,1,100,182280
1201897.547853,1201897.547852,1760631827.271300,23424.200,1636,10,PI,1,100,182298
1201897.557153,1201897.557152,1760631827.280600,23433.500,1636,10,PI,1,100,182221
1201897.566452,1201897.566452,1760631827.289900,23442.800,1636,10,PI,1,100,182259
1201897.575752,1201897.575752,1760631827.299200,23452.100,1636,10,PI,1,100,182237
1201897.585052,1201897.585052,1760631827.308500,23461.400,1636,10,PI,1,100,182244
1201897.594352,1201897.594352,1760631827.317800,23470.700,1636,10,PI,1,100,182232
1201897.603652,1201897.603652,1760631827.327100,23480.000,1636,10,PI,1,100,182217
1201897.614352,1201897.614352,1760631827.337800,23490.700,1652,10,PI,1,100,182216
1201897.625052,1201897.625052,1760631827.348500,23501.400,1652,10,PI,1,100,182184
1201897.635752,1201897.635752,1760631827.359200,23512.100,1652,10,PI,1,100,182182
1201897.646452,1201897.646452,1760631827.369900,23522.800,1652,10,PI,1,100,182180
1201897.657152,1201897.657152,1760631827.380599,23533.500,1652,10,PI,1,100,182192
1201897.667852,1201897.667852,1760631827.391299,23544.200,1652,10,PI,1,100,182160
1201897.678552,1201897.678552,1760631827.401999,23554.900,1652,10,PI,1,100,182171
1201897.689252,1201897.689252,1760631827.412699,23565.600,1652,10,PI,1,100,182191
1201897.699952,1201897.699952,1760631827.423399,23576.300,1652,10,PI,1,100,182165
1201897.710652,1201897.710651,1760631827.434099,23587.000,1652,10,PI,1,100,182152
1201897.720985,1201897.720985,1760631827.444433,23597.333,1667,9,PI,1,100,182171
1201897.731318,1201897.731318,1760631827.454766,23607.667,1667,9,PI,1,100,182187
1201897.741652,1201897.741651,1760631827.465099,23618.000,1667,9,PI,1,100,182137
1201897.751985,1201897.751985,1760631827.475432,23628.333,1667,9,PI,1,100,182163
1201897.762318,1201897.762318,1760631827.485766,23638.667,1667,9,PI,1,100,182120
