LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1201956.994944,1201956.994944,1760631886.718474,82871.600,10956,10,PR,1,100,112293
1201957.005543,1201957.005544,1760631886.729074,82882.200,10956,10,PR,1,100,112325
1201957.016143,1201957.016144,1760631886.739674,82892.800,10956,10,PR,1,100,112278
1201957.026743,1201957.026744,1760631886.750274,82903.400,10956,10,PR,1,100,112332
1201957.037343,1201957.037344,1760631886.760874,82914.000,10956,10,PR,1,100,112296
1201957.047071,1201957.047071,1760631886.770602,82923.727,10971,11,PR,1,100,112295
1201957.056798,1201957.056798,1760631886.780329,82933.455,10971,11,PR,1,100,112314
1201957.066525,1201957.066525,1760631886.790056,82943.182,10971,11,PR,1,100,112327
1201957.076252,1201957.076253,1760631886.799783,82952.909,10971,11,PR,1,100,112324
1201957.085979,1201957.085980,1760631886.809510,82962.636,10971,11,PR,1,100,112302
1201957.095707,1201957.095707,1760631886.819238,82972.364,10971,11,PR,1,100,112275
1201957.105434,1201957.105434,1760631886.828965,82982.091,10971,11,PR,1,100,112290
1201957.115161,1201957.115161,1760631886.838692,82991.818,10971,11,PR,1,100,112307
1201957.124888,1201957.124889,1760631886.848419,83001.545,10971,11,PR,1,100,112314
1201957.134616,1201957.134616,1760631886.858147,83011.273,10971,11,PR,1,100,112277
1201957.144343,1201957.144343,1760631886.867874,83021.000,10971,11,PR,1,100,112297
1201957.154676,1201957.154676,1760631886.878207,83031.333,10987,9,PR,1,100,112309
1201957.165009,1201957.165010,1760631886.888541,83041.667,10987,9,PR,1,100,112300
1201957.175343,1201957.175343,1760631886.898874,83052.000,10987,9,PR,1,100,112315
1201957.185676,1201957.185676,1760631886.909207,83062.333,10987,9,PR,1,100,112304
1201957.196009,1201957.196009,1760631886.919540,83072.667,10987,9,PR,1,100,112286
1201957.206342,1201957.206343,1760631886.929874,83083.000,10987,9,PR,1,100,112297
1201957.216676,1201957.216676,1760631886.940207,83093.333,10987,9,PR,1,100,112311
1201957.227009,1201957.227009,1760631886.950540,83103.667,10987,9,PR,1,100,112302
1201957.237342,1201957.237343,1760631886.960874,83114.000,10987,9,PR,1,100,112315
1201957.247069,1201957.247070,1760631886.970601,83123.727,11004,11,PR,1,100,112333
1201957.256797,1201957.256797,1760631886.980328,83133.455,11004,11,PR,1,100,112304
1201957.266524,1201957.266524,1760631886.990055,83143.182,11004,11,PR,1,100,112293
1201957.276251,1201957.276251,1760631886.999782,83152.909,11004,11,PR,1,100,112317
1201957.285978,1201957.285979,1760631887.009510,83162.636,11004,11,PR,1,100,112315
1201957.295706,1201957.295706,1760631887.019237,83172.364,11004,11,PR,1,100,112312
1201957.305433,1201957.305433,1760631887.028964,83182.091,11004,11,PR,1,100,112301
1201957.315160,1201957.315160,1760631887.038691,83191.818,11004,11,PR,1,100,112309
1201957.324887,1201957.324888,1760631887.048419,83201.545,11004,11,PR,1,100,112308
1201957.334614,1201957.334615,1760631887.058146,83211.273,11004,11,PR,1,100,112289
1201957.344342,1201957.344342,1760631887.067873,83221.000,11004,11,PR,1,100,112299
1201957.354942,1201957.354942,1760631887.078473,83231.600,11021,10,PR,1,100,112308
1201957.365542,1201957.365542,1760631887.089073,83242.200,11021,10,PR,1,100,112331
1201957.376142,1201957.376142,1760631887.099673,83252.800,11021,10,PR,1,100,112324
1201957.386741,1201957.386742,1760631887.110273,83263.400,11021,10,PR,1,100,112301
1201957.397341,1201957.397342,1760631887.120873,83274.000,11021,10,PR,1,100,112308
1201957.407941,1201957.407942,1760631887.131473,83284.600,11021,10,PR,1,100,112292
1201957.418541,1201957.418542,1760631887.142073,83295.200,11021,10,PR,1,100,112314
1201957.429141,1201957.429142,1760631887.152673,83305.800,11021,10,PR,1,100,112314
1201957.439741,1201957.439742,1760631887.163273,83316.400,11021,10,PR,1,100,112315
1201957.450341,1201957.450341,1760631887.173873,83327.000,11021,10,PR,1,100,112302
1201957.460786,1201957.460786,1760631887.184317,83337.444,11036,9,PR,1,100,112312
1201957.471230,1201957.471230,1760631887.194762,83347.889,11036,9,PR,1,100,112279
1201957.481674,1201957.481675,1760631887.205206,83358.333,11036,9,PR,1,100,112321
1201957.492119,1201957.492119,1760631887.215650,83368.778,11036,9,PR,1,100,112298
1201957.502563,1201957.502563,1760631887.226095,83379.222,11036,9,PR,1,100,112334
1201957.513008,1201957.513008,1760631887.236539,83389.667,11036,9,PR,1,100,112324
1201957.523452,1201957.523452,1760631887.246984,83400.111,11036,9,PR,1,100,112327
1201957.533896,1201957.533897,1760631887.257428,83410.556,11036,9,PR,1,100,112308
1201957.544341,1201957.544341,1760631887.267872,83421.000,11036,9,PR,1,100,112323
1201957.553977,1201957.553977,1760631887.277509,83430.636,11051,11,PR,1,100,112293
1201957.563613,1201957.563614,1760631887.287145,83440.273,11051,11,PR,1,100,112318
1201957.573250,1201957.573250,1760631887.296781,83449.909,11051,11,PR,1,100,112324
1201957.582886,1201957.582886,1760631887.306418,83459.545,11051,11,PR,1,100,112304
1201957.592522,1201957.592523,1760631887.316054,83469.182,11051,11,PR,1,100,112297
1201957.602159,1201957.602159,1760631887.325690,83478.818,11051,11,PR,1,100,112286
1201957.611795,1201957.611795,1760631887.335327,83488.455,11051,11,PR,1,100,112309
