LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1759437227.772122,159023.000,22450,1,T1,1,100,32.003
1759437227.906126,159157.000,22466,1,T1,1,100,31.931
1759437228.039131,159290.000,22499,1,T1,1,100,31.899
1759437228.172136,159423.000,22514,1,T1,1,100,31.814
1759437228.306140,159557.000,22530,1,T1,1,100,31.955
1759437228.439145,159690.000,22561,1,T1,1,100,32.016
1759437228.572150,159823.000,22576,1,T1,1,100,32.078
1759437228.706154,159957.000,22593,1,T1,1,100,32.069
1759437228.839159,160090.000,22623,1,T1,1,100,32.065
1759437228.972164,160223.000,22638,1,T1,1,100,32.028
1759437229.106168,160357.000,22656,1,T1,1,100,31.906
1759437229.239173,160490.000,22671,1,T1,1,100,31.959
1759437229.372178,160623.000,22702,1,T1,1,100,32.053
1759437229.506182,160757.000,22718,1,T1,1,100,31.917
1759437229.639187,160890.000,22733,1,T1,1,100,31.964
1759437229.772192,161023.000,22764,1,T1,1,100,32.091
1759437229.906196,161157.000,22782,1,T1,1,100,32.075
1759437230.039201,161290.000,22798,1,T1,1,100,31.997
1759437230.172205,161423.000,22828,1,T1,1,100,31.963
1759437230.305210,161556.000,22844,1,T1,1,100,31.842
1759437230.439215,161690.000,22860,1,T1,1,100,31.861
1759437230.572219,161823.000,22890,1,T1,1,100,31.833
1759437230.705224,161956.000,22907,1,T1,1,100,31.857
1759437230.839229,162090.000,22922,1,T1,1,100,31.938
1759437230.972233,162223.000,22953,1,T1,1,100,31.867
1759437231.105238,162356.000,22969,1,T1,1,100,31.978
1759437231.239243,162490.000,22984,1,T1,1,100,31.884
1759437231.372247,162623.000,23015,1,T1,1,100,31.950
1759437231.505252,162756.000,23031,1,T1,1,100,31.978
1759437231.639256,162890.000,23046,1,T1,1,100,31.991
1759437231.772261,163023.000,23077,1,T1,1,100,32.031
1759437231.905266,163156.000,23093,1,T1,1,100,31.943
1759437232.039270,163290.000,23109,1,T1,1,100,31.940
1759437232.172275,163423.000,23125,1,T1,1,100,32.080
1759437232.305280,163556.000,23156,1,T1,1,100,32.106
1759437232.439284,163690.000,23171,1,T1,1,100,32.081
1759437232.572289,163823.000,23187,1,T1,1,100,32.141
1759437232.705294,163956.000,23220,1,T1,1,100,32.097
1759437232.839298,164090.000,23235,1,T1,1,100,32.042
1759437232.972303,164223.000,23251,1,T1,1,100,32.089
1759437233.105308,164356.000,23282,1,T1,1,100,32.039
1759437233.238312,164489.000,23297,1,T1,1,100,32.017
1759437233.372317,164623.000,23314,1,T1,1,100,32.114
1759437233.505322,164756.000,23344,1,T1,1,100,32.085
1759437233.638326,164889.000,23359,1,T1,1,100,32.072
1759437233.772331,165023.000,23376,1,T1,1,100,32.067
1759437233.905335,165156.000,23406,1,T1,1,100,32.100
1759437234.038340,165289.000,23422,1,T1,1,100,32.114
1759437234.172345,165423.000,23438,1,T1,1,100,32.085
1759437234.305349,165556.000,23453,1,T1,1,100,32.108
1759437234.438354,165689.000,23484,1,T1,1,100,31.940
1759437234.572359,165823.000,23500,1,T1,1,100,32.010
1759437234.705363,165956.000,23516,1,T1,1,100,31.933
1759437234.838368,166089.000,23546,1,T1,1,100,32.007
1759437234.972373,166223.000,23562,1,T1,1,100,32.074
1759437235.105377,166356.000,23578,1,T1,1,100,32.174
1759437235.238382,166489.000,23608,1,T1,1,100,32.075
1759437235.372386,166623.000,23625,1,T1,1,100,32.139
1759437235.505391,166756.000,23640,1,T1,1,100,32.131
1759437235.638396,166889.000,23671,1,T1,1,100,32.128
1759437235.772400,167023.000,23687,1,T1,1,100,32.091
1759437235.905405,167156.000,23702,1,T1,1,100,32.110
1759437236.038410,167289.000,23733,1,T1,1,100,32.012
1759437236.172414,167423.000,23749,1,T1,1,100,32.076
1759437236.305419,167556.000,23766,1,T1,1,100,32.175
1759437236.438424,167689.000,23797,1,T1,1,100,32.111
1759437236.572428,167823.000,23813,1,T1,1,100,32.084
1759437236.705433,167956.000,23829,1,T1,1,100,32.213
1759437236.838438,168089.000,23845,1,T1,1,100,32.163
1759437236.971442,168222.000,23876,1,T1,1,100,32.106
1759437237.105447,168356.000,23891,1,T1,1,100,32.223
1759437237.238451,168489.000,23907,1,T1,1,100,32.097
1759437237.371456,168622.000,23938,1,T1,1,100,32.148
1759437237.505461,168756.000,23953,1,T1,1,100,32.135
1759437237.638465,168889.000,23969,1,T1,1,100,32.129
1759437237.771470,169022.000,24002,1,T1,1,100,32.162
1759437237.905475,169156.000,24017,1,T1,1,100,32.035
1759437238.038479,169289.000,24034,1,T1,1,100,32.015
1759437238.171484,169422.000,24064,1,T1,1,100,31.971
1759437238.305489,169556.000,24079,1,T1,1,100,32.058
1759437238.438493,169689.000,24096,1,T1,1,100,32.132
1759437238.571498,169822.000,24126,1,T1,1,100,32.128
1759437238.705503,169956.000,24144,1,T1,1,100,32.162
1759437238.838507,170089.000,24160,1,T1,1,100,32.247
1759437238.971512,170222.000,24175,1,T1,1,100,32.107
1759437239.105517,170356.000,24206,1,T1,1,100,32.153
1759437239.238521,170489.000,24224,1,T1,1,100,32.208
1759437239.371526,170622.000,24240,1,T1,1,100,32.161
1759437239.505531,170756.000,24270,1,T1,1,100,32.141
1759437239.638535,170889.000,24286,1,T1,1,100,32.203
1759437239.771540,171022.000,24302,1,T1,1,100,32.088
1759437239.904544,171155.000,24332,1,T1,1,100,32.180
1759437240.038549,171289.000,24350,1,T1,1,100,32.220
1759437240.171554,171422.000,24366,1,T1,1,100,32.272
1759437240.304558,171555.000,24381,1,T1,1,100,32.295
1759437240.438563,171689.000,24398,1,T1,1,100,32.340
1759437240.571568,171822.000,24413,1,T1,1,100,32.147
1759437240.704572,171955.000,24446,1,T1,1,100,32.064
1759437240.838577,172089.000,24462,1,T1,1,100,32.134
1759437240.971582,172222.000,24477,1,T1,1,100,32.271
1759437241.104586,172355.000,24508,1,T1,1,100,32.223
1759437241.238591,172489.000,24524,1,T1,1,100,32.309
1759437241.371596,172622.000,24540,1,T1,1,100,32.276
1759437241.504600,172755.000,24570,1,T1,1,100,32.155
1759437241.638605,172889.000,24588,1,T1,1,100,32.280
1759437241.771610,173022.000,24604,1,T1,1,100,32.192
1759437241.904614,173155.000,24634,1,T1,1,100,32.331
1759437242.038619,173289.000,24651,1,T1,1,100,32.250
1759437242.171623,173422.000,24666,1,T1,1,100,32.179
1759437242.304628,173555.000,24697,1,T1,1,100,32.113
1759437242.438633,173689.000,24713,1,T1,1,100,32.120
1759437242.571637,173822.000,24728,1,T1,1,100,32.194
1759437242.704642,173955.000,24745,1,T1,1,100,32.190
