LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1759437228.794158,160045.000,22603,3,PI,1,100,175123
1759437228.834159,160085.000,22603,3,PI,1,100,175122
1759437228.874160,160125.000,22618,2,PI,1,100,175137
1759437228.914162,160165.000,22618,2,PI,1,100,175128
1759437228.954163,160205.000,22633,3,PI,1,100,175134
1759437228.994164,160245.000,22633,3,PI,1,100,175138
1759437229.034166,160285.000,22633,3,PI,1,100,175131
1759437229.074167,160325.000,22651,2,PI,1,100,175130
1759437229.114169,160365.000,22651,2,PI,1,100,175152
1759437229.154170,160405.000,22666,3,PI,1,100,175155
1759437229.194171,160445.000,22666,3,PI,1,100,175161
1759437229.234173,160485.000,22666,3,PI,1,100,175167
1759437229.274174,160525.000,22682,2,PI,1,100,175181
1759437229.314176,160565.000,22682,2,PI,1,100,175172
1759437229.354177,160605.000,22697,3,PI,1,100,175170
1759437229.394178,160645.000,22697,3,PI,1,100,175173
1759437229.434180,160685.000,22697,3,PI,1,100,175179
1759437229.474181,160725.000,22713,2,PI,1,100,175179
1759437229.514183,160765.000,22713,2,PI,1,100,175181
1759437229.554184,160805.000,22728,3,PI,1,100,175177
1759437229.594185,160845.000,22728,3,PI,1,100,175188
1759437229.634187,160885.000,22728,3,PI,1,100,175201
1759437229.674188,160925.000,22745,2,PI,1,100,175191
1759437229.714190,160965.000,22745,2,PI,1,100,175192
1759437229.754191,161005.000,22759,3,PI,1,100,175198
1759437229.794192,161045.000,22759,3,PI,1,100,175196
1759437229.834194,161085.000,22759,3,PI,1,100,175195
1759437229.874195,161125.000,22777,2,PI,1,100,175219
1759437229.914196,161165.000,22777,2,PI,1,100,175207
1759437229.954198,161205.000,22793,3,PI,1,100,175226
1759437229.994199,161245.000,22793,3,PI,1,100,175211
1759437230.034201,161285.000,22793,3,PI,1,100,175217
1759437230.074202,161325.000,22809,2,PI,1,100,175236
1759437230.114203,161365.000,22809,2,PI,1,100,175212
1759437230.154205,161405.000,22823,3,PI,1,100,175226
1759437230.194206,161445.000,22823,3,PI,1,100,175234
1759437230.234208,161485.000,22823,3,PI,1,100,175215
1759437230.274209,161525.000,22839,3,PI,1,100,175245
1759437230.314210,161565.000,22839,3,PI,1,100,175250
1759437230.354212,161605.000,22839,3,PI,1,100,175270
1759437230.394213,161645.000,22855,2,PI,1,100,175250
1759437230.434215,161685.000,22855,2,PI,1,100,175267
1759437230.474216,161725.000,22871,3,PI,1,100,175256
1759437230.514217,161765.000,22871,3,PI,1,100,175265
1759437230.554219,161805.000,22871,3,PI,1,100,175268
1759437230.594220,161845.000,22885,2,PI,1,100,175283
1759437230.634222,161885.000,22885,2,PI,1,100,175285
1759437230.674223,161925.000,22902,3,PI,1,100,175270
1759437230.714224,161965.000,22902,3,PI,1,100,175283
1759437230.754226,162005.000,22902,3,PI,1,100,175294
1759437230.794227,162045.000,22917,2,PI,1,100,175300
1759437230.834229,162085.000,22917,2,PI,1,100,175305
1759437230.874230,162125.000,22933,3,PI,1,100,175300
1759437230.914231,162165.000,22933,3,PI,1,100,175283
1759437230.954233,162205.000,22933,3,PI,1,100,175292
1759437230.994234,162245.000,22948,2,PI,1,100,175310
1759437231.034235,162285.000,22948,2,PI,1,100,175314
1759437231.074237,162325.000,22964,3,PI,1,100,175304
1759437231.114238,162365.000,22964,3,PI,1,100,175309
1759437231.154240,162405.000,22964,3,PI,1,100,175300
1759437231.194241,162445.000,22979,2,PI,1,100,175330
1759437231.234242,162485.000,22979,2,PI,1,100,175313
1759437231.274244,162525.000,22995,3,PI,1,100,175314
1759437231.314245,162565.000,22995,3,PI,1,100,175300
1759437231.354247,162605.000,22995,3,PI,1,100,175312
1759437231.394248,162645.000,23010,2,PI,1,100,175325
1759437231.434249,162685.000,23010,2,PI,1,100,175337
