LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1759437234.045340,165296.000,23416,1,SF,1,100,16.2357
1759437234.379352,165630.000,23464,1,SF,1,100,16.0479
1759437234.712363,165963.000,23510,1,SF,1,100,15.8623
1759437235.112377,166363.000,23572,1,SF,1,100,15.6788
1759437235.378387,166629.000,23619,1,SF,1,100,15.4974
1759437235.712398,166963.000,23665,1,SF,1,100,15.3181
1759437236.112412,167363.000,23727,1,SF,1,100,15.1409
1759437236.378422,167629.000,23777,1,SF,1,100,17.0480
1759437236.712433,167963.000,23823,1,SF,1,100,16.8508
1759437237.045445,168296.000,23870,1,SF,1,100,16.6559
1759437237.445459,168696.000,23932,1,SF,1,100,16.4632
1759437237.712468,168963.000,23979,1,SF,1,100,16.2728
1759437238.045480,169296.000,24028,1,SF,1,100,16.0845
1759437238.445494,169696.000,24090,1,SF,1,100,15.8985
1759437238.711503,169962.000,24138,1,SF,1,100,17.7968
1759437239.045515,170296.000,24186,1,SF,1,100,17.5909
1759437239.378526,170629.000,24234,1,SF,1,100,17.3874
1759437239.778540,171029.000,24296,1,SF,1,100,17.1863
1759437240.111552,171362.000,24344,1,SF,1,100,16.9875
1759437240.445563,171696.000,24392,1,SF,1,100,16.7910
1759437240.778575,172029.000,24440,1,SF,1,100,18.6790
1759437241.045584,172296.000,24488,1,SF,1,100,18.4629
1759437241.378596,172629.000,24534,1,SF,1,100,18.2493
1759437241.778610,173029.000,24598,1,SF,1,100,20.1205
1759437242.044619,173295.000,24645,1,SF,1,100,19.8877
1759437242.378631,173629.000,24691,1,SF,1,100,19.6576
1759437242.778645,174029.000,24757,1,SF,1,100,19.4302
1759437243.111656,174362.000,24806,1,SF,1,100,21.2877
1759437243.378665,174629.000,24852,1,SF,1,100,21.0415
1759437243.711677,174962.000,24899,1,SF,1,100,20.7981
1759437244.111691,175362.000,24961,1,SF,1,100,20.5575
1759437244.378700,175629.000,25010,1,SF,1,100,22.4019
1759437244.711712,175962.000,25057,1,SF,1,100,22.1428
1759437245.111726,176362.000,25119,1,SF,1,100,21.8866
1759437245.444737,176695.000,25165,1,SF,1,100,21.6334
1759437245.711747,176962.000,25213,1,SF,1,100,21.3832
1759437246.044758,177295.000,25259,1,SF,1,100,21.1358
1759437246.444772,177695.000,25321,1,SF,1,100,20.8913
1759437246.711782,177962.000,25368,1,SF,1,100,20.6496
1759437247.044793,178295.000,25414,1,SF,1,100,20.4108
1759437247.444807,178695.000,25477,1,SF,1,100,20.1746
