LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1759437229.594185,160845.000,22729,3,PR,1,100,104927
1759437229.634187,160885.000,22729,3,PR,1,100,104934
1759437229.674188,160925.000,22746,2,PR,1,100,104913
1759437229.714190,160965.000,22746,2,PR,1,100,104913
1759437229.754191,161005.000,22760,3,PR,1,100,104935
1759437229.794192,161045.000,22760,3,PR,1,100,104927
1759437229.834194,161085.000,22760,3,PR,1,100,104918
1759437229.874195,161125.000,22778,2,PR,1,100,104927
1759437229.914196,161165.000,22778,2,PR,1,100,104928
1759437229.954198,161205.000,22794,3,PR,1,100,104938
1759437229.994199,161245.000,22794,3,PR,1,100,104933
1759437230.034201,161285.000,22794,3,PR,1,100,104927
1759437230.074202,161325.000,22810,2,PR,1,100,104935
1759437230.114203,161365.000,22810,2,PR,1,100,104920
1759437230.154205,161405.000,22824,3,PR,1,100,104929
1759437230.194206,161445.000,22824,3,PR,1,100,104952
1759437230.234208,161485.000,22824,3,PR,1,100,104944
1759437230.274209,161525.000,22840,3,PR,1,100,104934
1759437230.314210,161565.000,22840,3,PR,1,100,104944
1759437230.354212,161605.000,22840,3,PR,1,100,104942
1759437230.394213,161645.000,22856,2,PR,1,100,104942
1759437230.434215,161685.000,22856,2,PR,1,100,104957
1759437230.474216,161725.000,22872,3,PR,1,100,104946
1759437230.514217,161765.000,22872,3,PR,1,100,104949
1759437230.554219,161805.000,22872,3,PR,1,100,104954
1759437230.594220,161845.000,22886,2,PR,1,100,104967
1759437230.634222,161885.000,22886,2,PR,1,100,104961
1759437230.674223,161925.000,22903,3,PR,1,100,104964
1759437230.714224,161965.000,22903,3,PR,1,100,104965
1759437230.754226,162005.000,22903,3,PR,1,100,104971
1759437230.794227,162045.000,22918,2,PR,1,100,104962
1759437230.834229,162085.000,22918,2,PR,1,100,104967
1759437230.874230,162125.000,22934,3,PR,1,100,104960
1759437230.914231,162165.000,22934,3,PR,1,100,104969
1759437230.954233,162205.000,22934,3,PR,1,100,104976
1759437230.994234,162245.000,22949,2,PR,1,100,104971
1759437231.034235,162285.000,22949,2,PR,1,100,104956
1759437231.074237,162325.000,22965,3,PR,1,100,104970
1759437231.114238,162365.000,22965,3,PR,1,100,104989
1759437231.154240,162405.000,22965,3,PR,1,100,104981
1759437231.194241,162445.000,22980,2,PR,1,100,104972
1759437231.234242,162485.000,22980,2,PR,1,100,104970
1759437231.274244,162525.000,22996,3,PR,1,100,104965
1759437231.314245,162565.000,22996,3,PR,1,100,104972
1759437231.354247,162605.000,22996,3,PR,1,100,104973
1759437231.394248,162645.000,23011,2,PR,1,100,104976
1759437231.434249,162685.000,23011,2,PR,1,100,104980
1759437231.473917,162724.667,23027,3,PR,1,100,104976
1759437231.513586,162764.333,23027,3,PR,1,100,104992
1759437231.553253,162804.000,23027,3,PR,1,100,104991
1759437231.593755,162844.500,23042,2,PR,1,100,104966
1759437231.634256,162885.000,23042,2,PR,1,100,104973
1759437231.673924,162924.667,23059,3,PR,1,100,104974
1759437231.713593,162964.333,23059,3,PR,1,100,104981
1759437231.753260,163004.000,23059,3,PR,1,100,104989
1759437231.800262,163051.000,23073,2,PR,1,100,104995
1759437231.847264,163098.000,23073,2,PR,1,100,104986
1759437231.887265,163138.000,23089,3,PR,1,100,105005
1759437231.927267,163178.000,23089,3,PR,1,100,105002
1759437231.967268,163218.000,23089,3,PR,1,100,105008
1759437232.007269,163258.000,23105,2,PR,1,100,104993
1759437232.047271,163298.000,23105,2,PR,1,100,104992
1759437232.087272,163338.000,23121,3,PR,1,100,104990
1759437232.127274,163378.000,23121,3,PR,1,100,105004
1759437232.167275,163418.000,23121,3,PR,1,100,104999
1759437232.207276,163458.000,23136,2,PR,1,100,105019
1759437232.247278,163498.000,23136,2,PR,1,100,105012
1759437232.287279,163538.000,23152,3,PR,1,100,105026
1759437232.327281,163578.000,23152,3,PR,1,100,105015
1759437232.367282,163618.000,23152,3,PR,1,100,105012
1759437232.407283,163658.000,23167,2,PR,1,100,105007
1759437232.447285,163698.000,23167,2,PR,1,100,105012
1759437232.487286,163738.000,23183,3,PR,1,100,105031
1759437232.527287,163778.000,23183,3,PR,1,100,105024
1759437232.567289,163818.000,23183,3,PR,1,100,105029
1759437232.607290,163858.000,23198,2,PR,1,100,105030
1759437232.647292,163898.000,23198,2,PR,1,100,105021
1759437232.687293,163938.000,23216,3,PR,1,100,105037
1759437232.727294,163978.000,23216,3,PR,1,100,105037
1759437232.767296,164018.000,23216,3,PR,1,100,105037
1759437232.807297,164058.000,23231,3,PR,1,100,105029
1759437232.847299,164098.000,23231,3,PR,1,100,105039
1759437232.887300,164138.000,23231,3,PR,1,100,105033
1759437232.927301,164178.000,23247,2,PR,1,100,105028
1759437232.967303,164218.000,23247,2,PR,1,100,105037
1759437233.007304,164258.000,23263,3,PR,1,100,105046
1759437233.047306,164298.000,23263,3,PR,1,100,105054
1759437233.087307,164338.000,23263,3,PR,1,100,105057
1759437233.127308,164378.000,23278,2,PR,1,100,105045
1759437233.167310,164418.000,23278,2,PR,1,100,105052
1759437233.207311,164458.000,23293,3,PR,1,100,105046
1759437233.247313,164498.000,23293,3,PR,1,100,105073
1759437233.287314,164538.000,23293,3,PR,1,100,105057
1759437233.327315,164578.000,23310,2,PR,1,100,105058
1759437233.367317,164618.000,23310,2,PR,1,100,105058
1759437233.407318,164658.000,23325,3,PR,1,100,105070
1759437233.447320,164698.000,23325,3,PR,1,100,105065
1759437233.487321,164738.000,23325,3,PR,1,100,105065
1759437233.527322,164778.000,23340,2,PR,1,100,105062
1759437233.567324,164818.000,23340,2,PR,1,100,105061
1759437233.607325,164858.000,23355,3,PR,1,100,105074
1759437233.647326,164898.000,23355,3,PR,1,100,105071
1759437233.687328,164938.000,23355,3,PR,1,100,105066
1759437233.727329,164978.000,23372,2,PR,1,100,105073
1759437233.767331,165018.000,23372,2,PR,1,100,105068
1759437233.807332,165058.000,23387,3,PR,1,100,105087
1759437233.847333,165098.000,23387,3,PR,1,100,105084
1759437233.887335,165138.000,23387,3,PR,1,100,105083
1759437233.927336,165178.000,23402,2,PR,1,100,105083
1759437233.967338,165218.000,23402,2,PR,1,100,105082
1759437234.007339,165258.000,23418,3,PR,1,100,105081
1759437234.047340,165298.000,23418,3,PR,1,100,105088
1759437234.087342,165338.000,23418,3,PR,1,100,105105
1759437234.127343,165378.000,23434,3,PR,1,100,105091
1759437234.167345,165418.000,23434,3,PR,1,100,105106
1759437234.207346,165458.000,23434,3,PR,1,100,105104
1759437234.247347,165498.000,23449,2,PR,1,100,105101
1759437234.287349,165538.000,23449,2,PR,1,100,105103
