LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1759437225.912557,157163.500,22159,2,EL,1,100,-4600.000000
1759437225.979059,157230.000,22159,2,EL,1,100,-4604.000000
1759437226.046062,157297.000,22176,1,EL,1,100,-4608.200195
1759437226.112564,157363.500,22191,2,EL,1,100,-4612.799805
1759437226.179066,157430.000,22191,2,EL,1,100,-4619.000000
1759437226.246069,157497.000,22207,1,EL,1,100,-4626.600098
1759437226.312571,157563.500,22222,2,EL,1,100,-4635.000000
1759437226.379073,157630.000,22222,2,EL,1,100,-4644.799805
1759437226.446076,157697.000,22238,1,EL,1,100,-4656.600098
1759437226.512578,157763.500,22253,2,EL,1,100,-4667.799805
1759437226.579080,157830.000,22253,2,EL,1,100,-4679.399902
1759437226.646083,157897.000,22269,1,EL,1,100,-4689.200195
1759437226.712585,157963.500,22284,2,EL,1,100,-4698.200195
1759437226.779087,158030.000,22284,2,EL,1,100,-4708.200195
1759437226.846090,158097.000,22300,1,EL,1,100,-4718.600098
1759437226.912592,158163.500,22315,2,EL,1,100,-4727.000000
1759437226.979094,158230.000,22315,2,EL,1,100,-4733.399902
1759437227.046097,158297.000,22332,1,EL,1,100,-4741.000000
1759437227.112599,158363.500,22347,2,EL,1,100,-4747.600098
1759437227.179101,158430.000,22347,2,EL,1,100,-4754.799805
1759437227.246104,158497.000,22364,1,EL,1,100,-4758.799805
1759437227.312606,158563.500,22380,2,EL,1,100,-4761.399902
1759437227.379108,158630.000,22380,2,EL,1,100,-4764.399902
1759437227.446110,158697.000,22401,2,EL,1,100,-4768.399902
1759437227.513113,158764.000,22401,2,EL,1,100,-4773.600098
1759437227.579115,158830.000,22416,1,EL,1,100,-4779.600098
1759437227.646117,158897.000,22432,2,EL,1,100,-4782.000000
1759437227.713120,158964.000,22432,2,EL,1,100,-4784.799805
1759437227.779122,159030.000,22449,1,EL,1,100,-4787.600098
1759437227.846124,159097.000,22465,2,EL,1,100,-4790.799805
1759437227.913127,159164.000,22465,2,EL,1,100,-4794.399902
1759437227.979129,159230.000,22480,1,EL,1,100,-4797.200195
1759437228.046131,159297.000,22498,2,EL,1,100,-4800.200195
1759437228.113134,159364.000,22498,2,EL,1,100,-4801.799805
1759437228.179136,159430.000,22513,1,EL,1,100,-4803.799805
1759437228.246138,159497.000,22529,2,EL,1,100,-4804.200195
1759437228.313141,159564.000,22529,2,EL,1,100,-4804.000000
1759437228.379143,159630.000,22545,1,EL,1,100,-4804.000000
1759437228.445645,159696.500,22560,2,EL,1,100,-4804.799805
1759437228.512148,159763.000,22560,2,EL,1,100,-4806.000000
1759437228.579150,159830.000,22575,1,EL,1,100,-4805.000000
1759437228.645652,159896.500,22592,2,EL,1,100,-4804.600098
1759437228.712155,159963.000,22592,2,EL,1,100,-4804.000000
1759437228.779157,160030.000,22607,1,EL,1,100,-4804.600098
1759437228.845659,160096.500,22622,2,EL,1,100,-4805.399902
1759437228.912162,160163.000,22622,2,EL,1,100,-4808.200195
1759437228.979164,160230.000,22637,1,EL,1,100,-4812.600098
1759437229.045666,160296.500,22655,2,EL,1,100,-4816.000000
1759437229.112169,160363.000,22655,2,EL,1,100,-4821.000000
1759437229.179171,160430.000,22670,1,EL,1,100,-4826.000000
1759437229.245673,160496.500,22686,2,EL,1,100,-4832.000000
1759437229.312176,160563.000,22686,2,EL,1,100,-4839.399902
1759437229.379178,160630.000,22701,1,EL,1,100,-4849.000000
1759437229.445680,160696.500,22717,2,EL,1,100,-4858.799805
1759437229.512182,160763.000,22717,2,EL,1,100,-4867.000000
1759437229.579185,160830.000,22732,1,EL,1,100,-4875.399902
1759437229.645687,160896.500,22749,2,EL,1,100,-4885.000000
1759437229.712189,160963.000,22749,2,EL,1,100,-4893.200195
1759437229.779192,161030.000,22763,2,EL,1,100,-4899.000000
1759437229.846194,161097.000,22763,2,EL,1,100,-4902.399902
1759437229.912196,161163.000,22781,1,EL,1,100,-4905.000000
1759437229.979199,161230.000,22797,2,EL,1,100,-4907.399902
1759437230.046201,161297.000,22797,2,EL,1,100,-4908.000000
1759437230.112203,161363.000,22813,1,EL,1,100,-4905.799805
1759437230.179206,161430.000,22827,2,EL,1,100,-4903.200195
1759437230.246208,161497.000,22827,2,EL,1,100,-4900.000000
1759437230.312210,161563.000,22843,1,EL,1,100,-4894.799805
1759437230.379213,161630.000,22859,2,EL,1,100,-4889.200195
1759437230.446215,161697.000,22859,2,EL,1,100,-4882.200195
1759437230.512217,161763.000,22875,1,EL,1,100,-4874.200195
1759437230.579220,161830.000,22889,2,EL,1,100,-4867.200195
1759437230.646222,161897.000,22889,2,EL,1,100,-4858.799805
1759437230.712224,161963.000,22906,1,EL,1,100,-4849.200195
