LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1759437226.300071,157551.000,22224,3,AX,1,100,-0.131
1759437226.340072,157591.000,22224,3,AX,1,100,-0.142
1759437226.380073,157631.000,22224,3,AX,1,100,-0.137
1759437226.420075,157671.000,22240,2,AX,1,100,-0.133
1759437226.460076,157711.000,22240,2,AX,1,100,-0.134
1759437226.500077,157751.000,22255,3,AX,1,100,-0.128
1759437226.540079,157791.000,22255,3,AX,1,100,-0.132
1759437226.580080,157831.000,22255,3,AX,1,100,-0.134
1759437226.620082,157871.000,22270,3,AX,1,100,-0.135
1759437226.660083,157911.000,22270,3,AX,1,100,-0.130
1759437226.700084,157951.000,22270,3,AX,1,100,-0.135
1759437226.740086,157991.000,22286,2,AX,1,100,-0.131
1759437226.780087,158031.000,22286,2,AX,1,100,-0.133
1759437226.820089,158071.000,22302,3,AX,1,100,-0.125
1759437226.860090,158111.000,22302,3,AX,1,100,-0.132
1759437226.900091,158151.000,22302,3,AX,1,100,-0.124
1759437226.940093,158191.000,22317,2,AX,1,100,-0.127
1759437226.980094,158231.000,22317,2,AX,1,100,-0.136
1759437227.020096,158271.000,22334,3,AX,1,100,-0.135
1759437227.060097,158311.000,22334,3,AX,1,100,-0.136
1759437227.100098,158351.000,22334,3,AX,1,100,-0.127
1759437227.140100,158391.000,22348,2,AX,1,100,-0.132
1759437227.180101,158431.000,22348,2,AX,1,100,-0.132
1759437227.220103,158471.000,22366,3,AX,1,100,-0.131
1759437227.260104,158511.000,22366,3,AX,1,100,-0.136
1759437227.300105,158551.000,22366,3,AX,1,100,-0.130
1759437227.340107,158591.000,22382,2,AX,1,100,-0.132
1759437227.380108,158631.000,22382,2,AX,1,100,-0.118
1759437227.420110,158671.000,22403,3,AX,1,100,-0.121
1759437227.460111,158711.000,22403,3,AX,1,100,-0.120
1759437227.500112,158751.000,22403,3,AX,1,100,-0.138
1759437227.540114,158791.000,22417,2,AX,1,100,-0.120
1759437227.580115,158831.000,22417,2,AX,1,100,-0.118
1759437227.620116,158871.000,22434,3,AX,1,100,-0.131
1759437227.660118,158911.000,22434,3,AX,1,100,-0.126
1759437227.700119,158951.000,22434,3,AX,1,100,-0.126
1759437227.740121,158991.000,22451,2,AX,1,100,-0.136
1759437227.780122,159031.000,22451,2,AX,1,100,-0.137
1759437227.820123,159071.000,22467,3,AX,1,100,-0.128
1759437227.860125,159111.000,22467,3,AX,1,100,-0.124
1759437227.900126,159151.000,22467,3,AX,1,100,-0.132
1759437227.940128,159191.000,22481,3,AX,1,100,-0.131
1759437227.980129,159231.000,22481,3,AX,1,100,-0.127
1759437228.020130,159271.000,22481,3,AX,1,100,-0.127
1759437228.060132,159311.000,22500,2,AX,1,100,-0.125
1759437228.100133,159351.000,22500,2,AX,1,100,-0.129
1759437228.140135,159391.000,22515,3,AX,1,100,-0.130
1759437228.180136,159431.000,22515,3,AX,1,100,-0.130
1759437228.220137,159471.000,22515,3,AX,1,100,-0.137
1759437228.260139,159511.000,22531,2,AX,1,100,-0.131
1759437228.300140,159551.000,22531,2,AX,1,100,-0.124
1759437228.340142,159591.000,22546,3,AX,1,100,-0.128
1759437228.380143,159631.000,22546,3,AX,1,100,-0.128
1759437228.420144,159671.000,22546,3,AX,1,100,-0.129
1759437228.460146,159711.000,22562,2,AX,1,100,-0.128
1759437228.500147,159751.000,22562,2,AX,1,100,-0.133
1759437228.540148,159791.000,22577,3,AX,1,100,-0.130
