LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1759437226.912592,158163.500,22314,2,EA,1,100,0.093175
1759437226.979094,158230.000,22314,2,EA,1,100,0.093215
1759437227.046097,158297.000,22331,1,EA,1,100,0.093263
1759437227.112599,158363.500,22346,2,EA,1,100,0.093304
1759437227.179101,158430.000,22346,2,EA,1,100,0.093350
1759437227.246104,158497.000,22363,1,EA,1,100,0.093375
1759437227.312606,158563.500,22379,2,EA,1,100,0.093391
1759437227.379108,158630.000,22379,2,EA,1,100,0.093410
1759437227.446110,158697.000,22400,2,EA,1,100,0.093436
1759437227.513113,158764.000,22400,2,EA,1,100,0.093468
1759437227.579115,158830.000,22415,1,EA,1,100,0.093506
1759437227.646117,158897.000,22431,2,EA,1,100,0.093522
1759437227.713120,158964.000,22431,2,EA,1,100,0.093539
1759437227.779122,159030.000,22448,1,EA,1,100,0.093557
1759437227.846124,159097.000,22464,2,EA,1,100,0.093577
1759437227.913127,159164.000,22464,2,EA,1,100,0.093600
1759437227.979129,159230.000,22479,1,EA,1,100,0.093618
1759437228.046131,159297.000,22497,2,EA,1,100,0.093637
1759437228.113134,159364.000,22497,2,EA,1,100,0.093647
1759437228.179136,159430.000,22512,1,EA,1,100,0.093660
1759437228.246138,159497.000,22528,2,EA,1,100,0.093662
1759437228.313141,159564.000,22528,2,EA,1,100,0.093661
1759437228.379143,159630.000,22544,1,EA,1,100,0.093661
1759437228.445645,159696.500,22559,2,EA,1,100,0.093666
1759437228.512148,159763.000,22559,2,EA,1,100,0.093674
1759437228.579150,159830.000,22574,1,EA,1,100,0.093667
1759437228.645652,159896.500,22591,2,EA,1,100,0.093665
1759437228.712155,159963.000,22591,2,EA,1,100,0.093661
1759437228.779157,160030.000,22606,1,EA,1,100,0.093665
1759437228.845659,160096.500,22621,2,EA,1,100,0.093670
1759437228.912162,160163.000,22621,2,EA,1,100,0.093688
1759437228.979164,160230.000,22636,1,EA,1,100,0.093716
1759437229.045666,160296.500,22654,2,EA,1,100,0.093737
1759437229.112169,160363.000,22654,2,EA,1,100,0.093769
1759437229.179171,160430.000,22669,1,EA,1,100,0.093801
1759437229.245673,160496.500,22685,2,EA,1,100,0.093839
1759437229.312176,160563.000,22685,2,EA,1,100,0.093886
1759437229.379178,160630.000,22700,1,EA,1,100,0.093947
1759437229.445680,160696.500,22716,2,EA,1,100,0.094010
1759437229.512182,160763.000,22716,2,EA,1,100,0.094062
1759437229.579185,160830.000,22731,1,EA,1,100,0.094116
1759437229.645687,160896.500,22748,2,EA,1,100,0.094178
1759437229.712189,160963.000,22748,2,EA,1,100,0.094230
1759437229.779192,161030.000,22762,2,EA,1,100,0.094268
1759437229.846194,161097.000,22762,2,EA,1,100,0.094289
1759437229.912196,161163.000,22780,1,EA,1,100,0.094306
1759437229.979199,161230.000,22796,2,EA,1,100,0.094322
1759437230.046201,161297.000,22796,2,EA,1,100,0.094325
1759437230.112203,161363.000,22812,1,EA,1,100,0.094311
1759437230.179206,161430.000,22826,2,EA,1,100,0.094295
1759437230.246208,161497.000,22826,2,EA,1,100,0.094274
1759437230.312210,161563.000,22842,1,EA,1,100,0.094241
1759437230.379213,161630.000,22858,2,EA,1,100,0.094205
1759437230.446215,161697.000,22858,2,EA,1,100,0.094160
1759437230.512217,161763.000,22874,1,EA,1,100,0.094108
1759437230.579220,161830.000,22888,2,EA,1,100,0.094064
1759437230.646222,161897.000,22888,2,EA,1,100,0.094010
1759437230.712224,161963.000,22905,1,EA,1,100,0.093949
1759437230.779227,162030.000,22920,2,EA,1,100,0.093890
1759437230.846229,162097.000,22920,2,EA,1,100,0.093820
1759437230.912231,162163.000,22936,1,EA,1,100,0.093740
1759437230.979234,162230.000,22951,2,EA,1,100,0.093655
1759437231.046236,162297.000,22951,2,EA,1,100,0.093568
1759437231.112238,162363.000,22967,1,EA,1,100,0.093475
1759437231.179240,162430.000,22982,2,EA,1,100,0.093369
1759437231.246243,162497.000,22982,2,EA,1,100,0.093263
1759437231.312245,162563.000,22998,1,EA,1,100,0.093165
1759437231.379247,162630.000,23013,2,EA,1,100,0.093046
1759437231.446250,162697.000,23013,2,EA,1,100,0.092918
1759437231.512252,162763.000,23029,1,EA,1,100,0.092801
1759437231.579254,162830.000,23044,2,EA,1,100,0.092690
1759437231.646257,162897.000,23044,2,EA,1,100,0.092565
1759437231.712259,162963.000,23061,1,EA,1,100,0.092446
1759437231.778761,163029.500,23075,2,EA,1,100,0.092318
1759437231.845264,163096.000,23075,2,EA,1,100,0.092196
1759437231.912266,163163.000,23091,1,EA,1,100,0.092074
1759437231.979268,163230.000,23107,2,EA,1,100,0.091948
1759437232.046271,163297.000,23107,2,EA,1,100,0.091829
1759437232.112273,163363.000,23123,1,EA,1,100,0.091715
1759437232.178775,163429.500,23138,2,EA,1,100,0.091603
1759437232.245278,163496.000,23138,2,EA,1,100,0.091487
1759437232.312280,163563.000,23154,2,EA,1,100,0.091386
1759437232.379282,163630.000,23154,2,EA,1,100,0.091295
1759437232.445285,163696.000,23169,1,EA,1,100,0.091222
1759437232.512287,163763.000,23185,2,EA,1,100,0.091154
1759437232.579289,163830.000,23185,2,EA,1,100,0.091078
1759437232.645292,163896.000,23200,1,EA,1,100,0.091006
1759437232.712294,163963.000,23218,2,EA,1,100,0.090943
1759437232.779296,164030.000,23218,2,EA,1,100,0.090866
1759437232.845299,164096.000,23233,1,EA,1,100,0.090797
1759437232.912301,164163.000,23249,2,EA,1,100,0.090723
1759437232.979303,164230.000,23249,2,EA,1,100,0.090656
1759437233.045305,164296.000,23265,1,EA,1,100,0.090592
1759437233.112308,164363.000,23280,2,EA,1,100,0.090540
1759437233.179310,164430.000,23280,2,EA,1,100,0.090509
1759437233.245312,164496.000,23295,1,EA,1,100,0.090468
1759437233.312315,164563.000,23312,2,EA,1,100,0.090406
1759437233.379317,164630.000,23312,2,EA,1,100,0.090354
1759437233.445319,164696.000,23327,1,EA,1,100,0.090307
1759437233.512322,164763.000,23342,2,EA,1,100,0.090269
1759437233.579324,164830.000,23342,2,EA,1,100,0.090220
1759437233.645326,164896.000,23357,1,EA,1,100,0.090172
1759437233.712329,164963.000,23374,2,EA,1,100,0.090129
1759437233.779331,165030.000,23374,2,EA,1,100,0.090073
1759437233.845333,165096.000,23389,1,EA,1,100,0.090027
1759437233.912336,165163.000,23404,2,EA,1,100,0.089986
1759437233.979338,165230.000,23404,2,EA,1,100,0.089955
1759437234.045340,165296.000,23420,1,EA,1,100,0.089912
1759437234.112343,165363.000,23436,2,EA,1,100,0.089896
1759437234.179345,165430.000,23436,2,EA,1,100,0.089871
1759437234.245347,165496.000,23451,1,EA,1,100,0.089842
1759437234.312350,165563.000,23468,2,EA,1,100,0.089828
1759437234.379352,165630.000,23468,2,EA,1,100,0.089801
1759437234.445354,165696.000,23482,1,EA,1,100,0.089764
1759437234.512357,165763.000,23498,2,EA,1,100,0.089731
1759437234.579359,165830.000,23498,2,EA,1,100,0.089716
1759437234.645861,165896.500,23514,2,EA,1,100,0.089695
1759437234.712363,165963.000,23514,2,EA,1,100,0.089671
1759437234.779366,166030.000,23530,1,EA,1,100,0.089652
1759437234.845868,166096.500,23544,2,EA,1,100,0.089642
1759437234.912370,166163.000,23544,2,EA,1,100,0.089617
1759437234.979373,166230.000,23560,1,EA,1,100,0.089590
1759437235.045875,166296.500,23576,2,EA,1,100,0.089569
1759437235.112377,166363.000,23576,2,EA,1,100,0.089548
1759437235.178380,166429.000,23592,1,EA,1,100,0.089568
1759437235.245382,166496.000,23606,2,EA,1,100,0.089793
1759437235.312384,166563.000,23606,2,EA,1,100,0.090196
1759437235.378387,166629.000,23623,1,EA,1,100,0.090506
1759437235.445389,166696.000,23638,2,EA,1,100,0.090691
1759437235.512391,166763.000,23638,2,EA,1,100,0.090821
1759437235.578394,166829.000,23654,1,EA,1,100,0.090934
1759437235.645396,166896.000,23669,2,EA,1,100,0.091030
1759437235.712398,166963.000,23669,2,EA,1,100,0.091121
1759437235.778401,167029.000,23685,1,EA,1,100,0.091231
1759437235.845403,167096.000,23700,2,EA,1,100,0.091340
1759437235.912405,167163.000,23700,2,EA,1,100,0.091450
1759437235.978408,167229.000,23716,1,EA,1,100,0.091555
1759437236.045410,167296.000,23731,2,EA,1,100,0.091657
1759437236.112412,167363.000,23731,2,EA,1,100,0.091747
1759437236.178415,167429.000,23747,1,EA,1,100,0.091834
1759437236.245417,167496.000,23764,2,EA,1,100,0.091908
1759437236.312419,167563.000,23764,2,EA,1,100,0.091974
1759437236.378422,167629.000,23781,1,EA,1,100,0.092031
1759437236.445424,167696.000,23795,2,EA,1,100,0.092074
1759437236.512426,167763.000,23795,2,EA,1,100,0.092107
1759437236.578429,167829.000,23811,1,EA,1,100,0.092132
1759437236.645431,167896.000,23827,2,EA,1,100,0.092161
1759437236.712433,167963.000,23827,2,EA,1,100,0.092193
1759437236.778435,168029.000,23843,1,EA,1,100,0.092221
1759437236.845438,168096.000,23858,2,EA,1,100,0.092252
1759437236.912440,168163.000,23858,2,EA,1,100,0.092274
1759437236.978942,168229.500,23874,2,EA,1,100,0.092304
1759437237.045445,168296.000,23874,2,EA,1,100,0.092335
1759437237.112447,168363.000,23889,1,EA,1,100,0.092374
1759437237.178949,168429.500,23905,2,EA,1,100,0.092415
1759437237.245452,168496.000,23905,2,EA,1,100,0.092432
1759437237.312454,168563.000,23920,1,EA,1,100,0.092446
1759437237.378957,168629.500,23936,2,EA,1,100,0.092462
1759437237.445459,168696.000,23936,2,EA,1,100,0.092473
1759437237.512461,168763.000,23951,1,EA,1,100,0.092489
1759437237.578964,168829.500,23967,2,EA,1,100,0.092502
1759437237.645466,168896.000,23967,2,EA,1,100,0.092516
1759437237.712468,168963.000,23983,1,EA,1,100,0.092536
1759437237.778970,169029.500,24000,2,EA,1,100,0.092557
1759437237.845473,169096.000,24000,2,EA,1,100,0.092577
1759437237.912475,169163.000,24015,1,EA,1,100,0.092591
1759437237.978977,169229.500,24032,2,EA,1,100,0.092603
1759437238.045480,169296.000,24032,2,EA,1,100,0.092604
1759437238.112482,169363.000,24047,1,EA,1,100,0.092626
1759437238.178984,169429.500,24062,2,EA,1,100,0.092660
1759437238.245487,169496.000,24062,2,EA,1,100,0.092869
1759437238.312489,169563.000,24077,1,EA,1,100,0.093547
1759437238.378991,169629.500,24094,2,EA,1,100,0.094038
1759437238.445494,169696.000,24094,2,EA,1,100,0.094259
