LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1032505.178266,1032505.178268,1760462434.991129,117297.333,16330,3,AY,1,100,0.064
1032505.222933,1032505.222935,1760462435.035796,117342.000,16330,3,AY,1,100,0.081
1032505.262934,1032505.262936,1760462435.075797,117382.000,16346,2,AY,1,100,0.067
1032505.302934,1032505.302937,1760462435.115798,117422.000,16346,2,AY,1,100,0.077
1032505.342935,1032505.342937,1760462435.155798,117462.000,16362,3,AY,1,100,0.066
1032505.382936,1032505.382938,1760462435.195799,117502.000,16362,3,AY,1,100,0.069
1032505.422936,1032505.422938,1760462435.235800,117542.000,16362,3,AY,1,100,0.080
1032505.462937,1032505.462939,1760462435.275800,117582.000,16377,2,AY,1,100,0.067
1032505.502937,1032505.502939,1760462435.315801,117622.000,16377,2,AY,1,100,0.076
1032505.542938,1032505.542940,1760462435.355802,117662.000,16394,3,AY,1,100,0.076
1032505.582938,1032505.582941,1760462435.395802,117702.000,16394,3,AY,1,100,0.079
1032505.622939,1032505.622941,1760462435.435803,117742.000,16394,3,AY,1,100,0.073
1032505.662940,1032505.662942,1760462435.475804,117782.000,16408,2,AY,1,100,0.078
1032505.702940,1032505.702942,1760462435.515804,117822.000,16408,2,AY,1,100,0.071
1032505.742941,1032505.742943,1760462435.555805,117862.000,16426,3,AY,1,100,0.077
1032505.782941,1032505.782944,1760462435.595806,117902.000,16426,3,AY,1,100,0.079
1032505.822942,1032505.822944,1760462435.635806,117942.000,16426,3,AY,1,100,0.076
1032505.862943,1032505.862945,1760462435.675807,117982.000,16443,2,AY,1,100,0.074
1032505.902943,1032505.902945,1760462435.715808,118022.000,16443,2,AY,1,100,0.081
1032505.942944,1032505.942946,1760462435.755808,118062.000,16468,3,AY,1,100,0.073
1032505.982944,1032505.982947,1760462435.795809,118102.000,16468,3,AY,1,100,0.082
1032506.022945,1032506.022947,1760462435.835810,118142.000,16468,3,AY,1,100,0.078
1032506.062946,1032506.062948,1760462435.875810,118182.000,16483,3,AY,1,100,0.079
1032506.102946,1032506.102948,1760462435.915811,118222.000,16483,3,AY,1,100,0.079
1032506.142947,1032506.142949,1760462435.955812,118262.000,16483,3,AY,1,100,0.084
1032506.182947,1032506.182949,1760462435.995812,118302.000,16501,2,AY,1,100,0.078
1032506.222948,1032506.222950,1760462436.035813,118342.000,16501,2,AY,1,100,0.081
1032506.262948,1032506.262951,1760462436.075814,118382.000,16516,3,AY,1,100,0.077
1032506.302949,1032506.302951,1760462436.115814,118422.000,16516,3,AY,1,100,0.082
1032506.342950,1032506.342952,1760462436.155815,118462.000,16516,3,AY,1,100,0.078
1032506.389450,1032506.389452,1760462436.202316,118508.500,16532,2,AY,1,100,0.076
1032506.435951,1032506.435953,1760462436.248817,118555.000,16532,2,AY,1,100,0.080
1032506.475952,1032506.475954,1760462436.288817,118595.000,16548,2,AY,1,100,0.078
1032506.515952,1032506.515954,1760462436.328818,118635.000,16548,2,AY,1,100,0.078
1032506.555953,1032506.555955,1760462436.368819,118675.000,16563,3,AY,1,100,0.075
1032506.595953,1032506.595955,1760462436.408819,118715.000,16563,3,AY,1,100,0.082
1032506.635954,1032506.635956,1760462436.448820,118755.000,16563,3,AY,1,100,0.079
1032506.675955,1032506.675957,1760462436.488821,118795.000,16578,2,AY,1,100,0.080
1032506.715955,1032506.715957,1760462436.528822,118835.000,16578,2,AY,1,100,0.083
1032506.755956,1032506.755958,1760462436.568822,118875.000,16597,3,AY,1,100,0.077
1032506.795956,1032506.795958,1760462436.608823,118915.000,16597,3,AY,1,100,0.076
1032506.835957,1032506.835959,1760462436.648824,118955.000,16597,3,AY,1,100,0.083
1032506.875957,1032506.875960,1760462436.688824,118995.000,16613,3,AY,1,100,0.077
1032506.915958,1032506.915960,1760462436.728825,119035.000,16613,3,AY,1,100,0.078
1032506.955959,1032506.955961,1760462436.768826,119075.000,16613,3,AY,1,100,0.077
1032506.995959,1032506.995961,1760462436.808826,119115.000,16630,2,AY,1,100,0.081
1032507.035960,1032507.035962,1760462436.848827,119155.000,16630,2,AY,1,100,0.079
1032507.075960,1032507.075962,1760462436.888828,119195.000,16645,3,AY,1,100,0.075
1032507.115961,1032507.115963,1760462436.928828,119235.000,16645,3,AY,1,100,0.080
1032507.155962,1032507.155964,1760462436.968829,119275.000,16645,3,AY,1,100,0.081
1032507.195962,1032507.195964,1760462437.008830,119315.000,16662,2,AY,1,100,0.069
1032507.235963,1032507.235965,1760462437.048831,119355.000,16662,2,AY,1,100,0.059
1032507.275963,1032507.275965,1760462437.088831,119395.000,16679,3,AY,1,100,0.079
1032507.315964,1032507.315966,1760462437.128832,119435.000,16679,3,AY,1,100,0.077
1032507.355965,1032507.355967,1760462437.168833,119475.000,16679,3,AY,1,100,0.053
1032507.395965,1032507.395967,1760462437.208833,119515.000,16695,2,AY,1,100,0.061
1032507.435966,1032507.435968,1760462437.248834,119555.000,16695,2,AY,1,100,0.073
1032507.482466,1032507.482468,1760462437.295335,119601.500,16710,2,AY,1,100,0.071
1032507.528967,1032507.528969,1760462437.341835,119648.000,16710,2,AY,1,100,0.069
1032507.568968,1032507.568970,1760462437.381836,119688.000,16726,3,AY,1,100,0.067
1032507.608968,1032507.608970,1760462437.421837,119728.000,16726,3,AY,1,100,0.074
1032507.648969,1032507.648971,1760462437.461838,119768.000,16726,3,AY,1,100,0.071
1032507.688969,1032507.688971,1760462437.501838,119808.000,16741,3,AY,1,100,0.076
1032507.728970,1032507.728972,1760462437.541839,119848.000,16741,3,AY,1,100,0.064
1032507.768971,1032507.768973,1760462437.581840,119888.000,16741,3,AY,1,100,0.073
