LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1032479.603557,1032479.603561,1760462409.416359,91723.000,12250,1,T1,1,100,30.316
1032479.736559,1032479.736562,1760462409.549361,91856.000,12268,1,T1,1,100,30.350
1032479.869561,1032479.869564,1760462409.682363,91989.000,12284,1,T1,1,100,30.364
1032480.003563,1032480.003566,1760462409.816365,92123.000,12316,1,T1,1,100,30.228
1032480.136565,1032480.136568,1760462409.949368,92256.000,12332,1,T1,1,100,30.276
1032480.269566,1032480.269570,1760462410.082370,92389.000,12348,1,T1,1,100,30.439
1032480.403568,1032480.403572,1760462410.216372,92523.000,12378,1,T1,1,100,30.332
1032480.536570,1032480.536574,1760462410.349375,92656.000,12395,1,T1,1,100,30.427
1032480.669572,1032480.669576,1760462410.482377,92789.000,12410,1,T1,1,100,30.398
1032480.802574,1032480.802578,1760462410.615379,92922.000,12445,1,T1,1,100,30.420
1032480.936576,1032480.936580,1760462410.749381,93056.000,12461,1,T1,1,100,30.465
1032481.069578,1032481.069582,1760462410.882384,93189.000,12476,1,T1,1,100,30.343
1032481.203580,1032481.203584,1760462411.016386,93323.000,12507,1,T1,1,100,30.432
1032481.336582,1032481.336586,1760462411.149388,93456.000,12523,1,T1,1,100,30.400
1032481.469584,1032481.469588,1760462411.282391,93589.000,12538,1,T1,1,100,30.492
1032481.603586,1032481.603590,1760462411.416393,93723.000,12573,1,T1,1,100,30.497
1032481.736588,1032481.736592,1760462411.549395,93856.000,12589,1,T1,1,100,30.428
1032481.869590,1032481.869594,1760462411.682397,93989.000,12605,1,T1,1,100,30.398
1032482.002592,1032482.002596,1760462411.815400,94122.000,12621,1,T1,1,100,30.420
1032482.136594,1032482.136598,1760462411.949402,94256.000,12652,1,T1,1,100,30.430
1032482.269596,1032482.269600,1760462412.082404,94389.000,12667,1,T1,1,100,30.470
1032482.402598,1032482.402601,1760462412.215406,94522.000,12683,1,T1,1,100,30.451
1032482.536600,1032482.536603,1760462412.349409,94656.000,12716,1,T1,1,100,30.514
1032482.669602,1032482.669605,1760462412.482411,94789.000,12731,1,T1,1,100,30.506
1032482.802604,1032482.802607,1760462412.615413,94922.000,12747,1,T1,1,100,30.574
1032482.936606,1032482.936609,1760462412.749416,95056.000,12778,1,T1,1,100,30.532
1032483.069608,1032483.069611,1760462412.882418,95189.000,12793,1,T1,1,100,30.514
1032483.202610,1032483.202613,1760462413.015420,95322.000,12812,1,T1,1,100,30.506
1032483.336612,1032483.336615,1760462413.149422,95456.000,12844,1,T1,1,100,30.503
1032483.469614,1032483.469617,1760462413.282425,95589.000,12859,1,T1,1,100,30.430
1032483.602615,1032483.602619,1760462413.415427,95722.000,12876,1,T1,1,100,30.470
1032483.736617,1032483.736621,1760462413.549429,95856.000,12906,1,T1,1,100,30.487
1032483.869619,1032483.869623,1760462413.682431,95989.000,12922,1,T1,1,100,30.636
1032484.002621,1032484.002625,1760462413.815434,96122.000,12938,1,T1,1,100,30.665
1032484.136623,1032484.136627,1760462413.949436,96256.000,12953,1,T1,1,100,30.572
1032484.269625,1032484.269629,1760462414.082438,96389.000,12986,1,T1,1,100,30.460
1032484.402627,1032484.402631,1760462414.215441,96522.000,13002,1,T1,1,100,30.483
1032484.535629,1032484.535633,1760462414.348443,96655.000,13018,1,T1,1,100,30.563
1032484.669631,1032484.669635,1760462414.482445,96789.000,13048,1,T1,1,100,30.527
1032484.802633,1032484.802637,1760462414.615448,96922.000,13064,1,T1,1,100,30.618
1032484.935635,1032484.935639,1760462414.748450,97055.000,13082,1,T1,1,100,30.480
1032485.069637,1032485.069641,1760462414.882452,97189.000,13114,1,T1,1,100,30.598
1032485.202639,1032485.202642,1760462415.015454,97322.000,13131,1,T1,1,100,30.684
1032485.335641,1032485.335644,1760462415.148457,97455.000,13146,1,T1,1,100,30.615
1032485.469143,1032485.469146,1760462415.281959,97588.500,13181,2,T1,1,100,30.550
1032485.602645,1032485.602648,1760462415.415461,97722.000,13181,2,T1,1,100,30.557
1032485.735647,1032485.735650,1760462415.548463,97855.000,13196,1,T1,1,100,30.666
1032485.869649,1032485.869652,1760462415.682466,97989.000,13230,1,T1,1,100,30.714
1032486.002651,1032486.002654,1760462415.815468,98122.000,13248,1,T1,1,100,30.628
1032486.135653,1032486.135656,1760462415.948470,98255.000,13263,1,T1,1,100,30.555
1032486.269655,1032486.269658,1760462416.082473,98389.000,13294,1,T1,1,100,30.666
1032486.402657,1032486.402660,1760462416.215475,98522.000,13310,1,T1,1,100,30.784
1032486.535659,1032486.535662,1760462416.348477,98655.000,13328,1,T1,1,100,30.729
1032486.669661,1032486.669664,1760462416.482479,98789.000,13344,1,T1,1,100,30.706
1032486.802662,1032486.802666,1760462416.615482,98922.000,13376,1,T1,1,100,30.624
1032486.935664,1032486.935668,1760462416.748484,99055.000,13393,1,T1,1,100,30.731
1032487.069666,1032487.069670,1760462416.882486,99189.000,13409,1,T1,1,100,30.848
1032487.202668,1032487.202672,1760462417.015488,99322.000,13442,1,T1,1,100,30.792
1032487.335670,1032487.335674,1760462417.148491,99455.000,13457,1,T1,1,100,30.733
1032487.469672,1032487.469676,1760462417.282493,99589.000,13475,1,T1,1,100,30.778
1032487.602674,1032487.602678,1760462417.415495,99722.000,13508,1,T1,1,100,30.869
