LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1032565.269316,1032565.269314,1760462495.082321,177387.500,25843,2,EL,1,100,-12432.200195
1032565.335817,1032565.335815,1760462495.148823,177454.000,25843,2,EL,1,100,-12434.200195
1032565.402818,1032565.402816,1760462495.215824,177521.000,25859,1,EL,1,100,-12436.599609
1032565.469319,1032565.469317,1760462495.282325,177587.500,25876,2,EL,1,100,-12439.000000
1032565.535820,1032565.535818,1760462495.348826,177654.000,25876,2,EL,1,100,-12441.400391
1032565.602821,1032565.602819,1760462495.415827,177721.000,25892,1,EL,1,100,-12444.799805
1032565.669322,1032565.669320,1760462495.482328,177787.500,25907,2,EL,1,100,-12448.599609
1032565.735823,1032565.735821,1760462495.548829,177854.000,25907,2,EL,1,100,-12451.799805
1032565.802823,1032565.802822,1760462495.615830,177921.000,25923,1,EL,1,100,-12455.200195
1032565.869324,1032565.869323,1760462495.682332,177987.500,25939,2,EL,1,100,-12459.200195
1032565.935825,1032565.935824,1760462495.748833,178054.000,25939,2,EL,1,100,-12462.400391
1032566.002826,1032566.002825,1760462495.815834,178121.000,25956,1,EL,1,100,-12466.400391
1032566.069327,1032566.069326,1760462495.882335,178187.500,25971,2,EL,1,100,-12468.799805
1032566.135828,1032566.135827,1760462495.948836,178254.000,25971,2,EL,1,100,-12473.000000
1032566.202829,1032566.202828,1760462496.015837,178321.000,25988,2,EL,1,100,-12476.799805
1032566.269830,1032566.269829,1760462496.082839,178388.000,25988,2,EL,1,100,-12479.799805
1032566.335831,1032566.335830,1760462496.148839,178454.000,26003,1,EL,1,100,-12482.000000
1032566.402332,1032566.402331,1760462496.215341,178520.500,26020,2,EL,1,100,-12483.599609
1032566.468833,1032566.468831,1760462496.281842,178587.000,26020,2,EL,1,100,-12485.200195
1032566.535834,1032566.535832,1760462496.348843,178654.000,26038,1,EL,1,100,-12486.599609
1032566.602335,1032566.602333,1760462496.415344,178720.500,26054,2,EL,1,100,-12486.799805
1032566.668836,1032566.668834,1760462496.481845,178787.000,26054,2,EL,1,100,-12488.400391
1032566.735837,1032566.735835,1760462496.548846,178854.000,26069,1,EL,1,100,-12490.000000
1032566.802338,1032566.802336,1760462496.615348,178920.500,26085,2,EL,1,100,-12490.400391
1032566.868839,1032566.868837,1760462496.681849,178987.000,26085,2,EL,1,100,-12491.000000
1032566.935840,1032566.935838,1760462496.748850,179054.000,26100,1,EL,1,100,-12491.799805
1032567.002341,1032567.002339,1760462496.815351,179120.500,26116,2,EL,1,100,-12490.799805
1032567.068842,1032567.068840,1760462496.881852,179187.000,26116,2,EL,1,100,-12491.000000
1032567.135843,1032567.135841,1760462496.948853,179254.000,26133,1,EL,1,100,-12490.200195
1032567.202344,1032567.202342,1760462497.015354,179320.500,26149,2,EL,1,100,-12491.000000
1032567.268845,1032567.268843,1760462497.081856,179387.000,26149,2,EL,1,100,-12491.400391
1032567.335846,1032567.335844,1760462497.148857,179454.000,26164,1,EL,1,100,-12492.200195
