LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1032548.931848,1032548.931848,1760462478.744815,161050.273,23269,11,PG,1,100,6086
1032548.941485,1032548.941484,1760462478.754452,161059.909,23269,11,PG,1,100,6119
1032548.951121,1032548.951121,1760462478.764088,161069.545,23269,11,PG,1,100,6147
1032548.960758,1032548.960757,1760462478.773725,161079.182,23269,11,PG,1,100,6134
1032548.970394,1032548.970394,1760462478.783361,161088.818,23269,11,PG,1,100,6103
1032548.980031,1032548.980030,1760462478.792998,161098.455,23269,11,PG,1,100,6117
1032548.989667,1032548.989667,1760462478.802634,161108.091,23269,11,PG,1,100,6104
1032548.999304,1032548.999303,1760462478.812271,161117.727,23269,11,PG,1,100,6112
1032549.008940,1032549.008940,1760462478.821907,161127.364,23269,11,PG,1,100,6133
1032549.018577,1032549.018576,1760462478.831544,161137.000,23269,11,PG,1,100,6093
1032549.029021,1032549.029021,1760462478.841989,161147.444,23286,9,PG,1,100,6141
1032549.039466,1032549.039465,1760462478.852433,161157.889,23286,9,PG,1,100,6115
1032549.049911,1032549.049910,1760462478.862878,161168.333,23286,9,PG,1,100,6107
1032549.060355,1032549.060355,1760462478.873322,161178.778,23286,9,PG,1,100,6113
1032549.070800,1032549.070799,1760462478.883767,161189.222,23286,9,PG,1,100,6119
1032549.081244,1032549.081244,1760462478.894212,161199.667,23286,9,PG,1,100,6099
1032549.091689,1032549.091688,1760462478.904656,161210.111,23286,9,PG,1,100,6120
1032549.102134,1032549.102133,1760462478.915101,161220.556,23286,9,PG,1,100,6122
1032549.112578,1032549.112578,1760462478.925545,161231.000,23286,9,PG,1,100,6110
1032549.122306,1032549.122305,1760462478.935273,161240.727,23303,11,PG,1,100,6114
1032549.132033,1032549.132032,1760462478.945000,161250.455,23303,11,PG,1,100,6128
1032549.141760,1032549.141760,1760462478.954728,161260.182,23303,11,PG,1,100,6110
1032549.151488,1032549.151487,1760462478.964455,161269.909,23303,11,PG,1,100,6113
1032549.161215,1032549.161215,1760462478.974183,161279.636,23303,11,PG,1,100,6102
1032549.170943,1032549.170942,1760462478.983910,161289.364,23303,11,PG,1,100,6100
1032549.180670,1032549.180669,1760462478.993638,161299.091,23303,11,PG,1,100,6147
1032549.190398,1032549.190397,1760462479.003365,161308.818,23303,11,PG,1,100,6129
