peak_time,ibi_sec,hr_bpm,peak_time_from_segment_start_sec,emotibit_id,segment,selected_channel,ibi_valid,hr_valid,keep
63878.58147557557,0.9402603744674707,63.8121116546912,22.126127109717345,EmotiBit_7,recovery,PPG_1,True,True,True
63879.62176364944,1.0402880738693057,57.67633168842612,23.16641518358665,EmotiBit_7,recovery,PPG_1,True,True,True
63880.692060033136,1.070296383695677,56.059238276432524,24.236711567282327,EmotiBit_7,recovery,PPG_1,True,True,True
63881.702339797186,1.0102797640502104,59.38949005517053,25.246991331332538,EmotiBit_7,recovery,PPG_1,True,True,True
63882.68261125141,0.9802714542238391,61.20753566929774,26.227262785556377,EmotiBit_7,recovery,PPG_1,True,True,True
63883.74290486517,1.0602936137584038,56.5880990146862,27.28755639931478,EmotiBit_7,recovery,PPG_1,True,True,True
63884.84320955869,1.1003046935220482,54.53034995964752,28.38786109283683,EmotiBit_7,recovery,PPG_1,True,True,True
63885.863492092685,1.0202825339947594,58.807240152469554,29.40814362683159,EmotiBit_7,recovery,PPG_1,True,True,True
63886.88377462667,1.0202825339874835,58.80724015288893,30.428426160819072,EmotiBit_7,recovery,PPG_1,True,True,True
63887.95407101037,1.070296383695677,56.059238276432524,31.49872254451475,EmotiBit_7,recovery,PPG_1,True,True,True
63889.00436185419,1.0502908438211307,57.12703329080747,32.54901338833588,EmotiBit_7,recovery,PPG_1,True,True,True
63889.97463053848,0.9702686842938419,61.83854119095659,33.51928207262972,EmotiBit_7,recovery,PPG_1,True,True,True
63890.99491307246,1.0202825339802075,58.8072401533083,34.53956460660993,EmotiBit_7,recovery,PPG_1,True,True,True
63892.20524823534,1.2103351628757082,49.57304541780178,35.74989976948564,EmotiBit_7,recovery,PPG_1,True,True,True
63893.26554184909,1.0602936137511279,56.58809901507452,36.810193383236765,EmotiBit_7,recovery,PPG_1,True,True,True
63894.24581330332,0.9802714542311151,61.207535668843434,37.79046483746788,EmotiBit_7,recovery,PPG_1,True,True,True
63895.2861013772,1.0402880738765816,57.676331688022714,38.83075291134446,EmotiBit_7,recovery,PPG_1,True,True,True
63896.36640053083,1.08029915363295,55.54017125555022,39.91105206497741,EmotiBit_7,recovery,PPG_1,True,True,True
63897.37668029488,1.0102797640502104,59.38949005517053,40.92133182902762,EmotiBit_7,recovery,PPG_1,True,True,True
63898.326943439286,0.9502631444047438,63.14040521647792,41.871594973432366,EmotiBit_7,recovery,PPG_1,True,True,True
63899.38723705304,1.0602936137511279,56.58809901507452,42.931888587183494,EmotiBit_7,recovery,PPG_1,True,True,True
63900.43752789686,1.0502908438211307,57.12703329080747,43.982179431004624,EmotiBit_7,recovery,PPG_1,True,True,True
63901.407796581145,0.970268684286566,61.83854119142031,44.95244811529119,EmotiBit_7,recovery,PPG_1,True,True,True
63902.37806526543,0.970268684286566,61.83854119142031,45.922716799577756,EmotiBit_7,recovery,PPG_1,True,True,True
63903.398347799426,1.0202825339947594,58.807240152469554,46.942999333572516,EmotiBit_7,recovery,PPG_1,True,True,True
63904.4386358733,1.0402880738765816,57.676331688022714,47.9832874074491,EmotiBit_7,recovery,PPG_1,True,True,True
63905.41890732753,0.9802714542238391,61.20753566929774,48.96355886167294,EmotiBit_7,recovery,PPG_1,True,True,True
63906.37917324187,0.9602659143420169,62.482692662388786,49.92382477601495,EmotiBit_7,recovery,PPG_1,True,True,True
63907.43946685563,1.0602936137584038,56.5880990146862,50.98411838977336,EmotiBit_7,recovery,PPG_1,True,True,True
63908.5297687792,1.0903019235702232,55.03062840018513,52.07442031334358,EmotiBit_7,recovery,PPG_1,True,True,True
63909.5500513132,1.0202825340020354,58.807240152050184,53.094702847345616,EmotiBit_7,recovery,PPG_1,True,True,True
63910.56033107725,1.0102797640502104,59.38949005517053,54.104982611395826,EmotiBit_7,recovery,PPG_1,True,True,True
63911.64063023089,1.080299153640226,55.54017125517615,55.18528176503605,EmotiBit_7,recovery,PPG_1,True,True,True
63912.70092384465,1.0602936137584038,56.5880990146862,56.245575378794456,EmotiBit_7,recovery,PPG_1,True,True,True
63913.671192528935,0.970268684286566,61.83854119142031,57.21584406308102,EmotiBit_7,recovery,PPG_1,True,True,True
63914.7114806028,1.0402880738620297,57.676331688829514,58.25613213694305,EmotiBit_7,recovery,PPG_1,True,True,True
63915.76177144662,1.0502908438211307,57.12703329080747,59.30642298076418,EmotiBit_7,recovery,PPG_1,True,True,True
63916.6820262812,0.9202548345856485,65.19933147323854,60.22667781534983,EmotiBit_7,recovery,PPG_1,True,True,True
63917.66229773543,0.9802714542238391,61.20753566929774,61.20694926957367,EmotiBit_7,recovery,PPG_1,True,True,True
63918.67257749948,1.0102797640502104,59.38949005517053,62.21722903362388,EmotiBit_7,recovery,PPG_1,True,True,True
63919.69286003347,1.0202825339947594,58.807240152469554,63.23751156761864,EmotiBit_7,recovery,PPG_1,True,True,True
63920.6731314877,0.9802714542311151,61.207535668843434,64.21778302184975,EmotiBit_7,recovery,PPG_1,True,True,True
63921.733425101454,1.0602936137511279,56.58809901507452,65.27807663560088,EmotiBit_7,recovery,PPG_1,True,True,True
63922.85373533486,1.1203102334038704,53.55659371038708,66.39838686900475,EmotiBit_7,recovery,PPG_1,True,True,True
63923.81400124921,0.9602659143492929,62.48269266191535,67.35865278335405,EmotiBit_7,recovery,PPG_1,True,True,True
63924.84428655314,1.0302853039320325,58.2362960735371,68.38893808728608,EmotiBit_7,recovery,PPG_1,True,True,True
63925.97459955648,1.1303130033411435,53.08264155383799,69.51925109062722,EmotiBit_7,recovery,PPG_1,True,True,True
63927.00488486041,1.0302853039320325,58.2362960735371,70.54953639455925,EmotiBit_7,recovery,PPG_1,True,True,True
63927.94514523488,0.9402603744674707,63.8121116546912,71.48979676902673,EmotiBit_7,recovery,PPG_1,True,True,True
63928.97543053881,1.0302853039320325,58.2362960735371,72.52008207295876,EmotiBit_7,recovery,PPG_1,True,True,True
63929.9957130728,1.0202825339874835,58.80724015288893,73.54036460694624,EmotiBit_7,recovery,PPG_1,True,True,True
63930.95597898715,0.9602659143492929,62.48269266191535,74.50063052129553,EmotiBit_7,recovery,PPG_1,True,True,True
63931.89623936161,0.9402603744601947,63.81211165518499,75.44089089575573,EmotiBit_7,recovery,PPG_1,True,True,True
63932.89651635572,1.0002769941129372,59.98338495549328,76.44116788986867,EmotiBit_7,recovery,PPG_1,True,True,True
63933.89679334983,1.0002769941056613,59.983384955929594,77.44144488397433,EmotiBit_7,recovery,PPG_1,True,True,True
63934.837053724295,0.9402603744674707,63.8121116546912,78.3817052584418,EmotiBit_7,recovery,PPG_1,True,True,True
63935.67728639935,0.8402326750510838,71.40879161400403,79.22193793349288,EmotiBit_7,recovery,PPG_1,True,True,True
63936.55753015416,0.8802437548147282,68.16293744978478,80.10218168830761,EmotiBit_7,recovery,PPG_1,True,True,True
63937.53780160839,0.9802714542311151,61.207535668843434,81.08245314253872,EmotiBit_7,recovery,PPG_1,True,True,True
63938.518073062616,0.9802714542238391,61.20753566929774,82.06272459676256,EmotiBit_7,recovery,PPG_1,True,True,True
63939.51835005673,1.0002769941129372,59.98338495549328,83.0630015908755,EmotiBit_7,recovery,PPG_1,True,True,True
63940.418599351426,0.9002492946965504,66.6482055064807,83.96325088557205,EmotiBit_7,recovery,PPG_1,True,True,True
63941.24882925654,0.8302299051138107,72.26913850058799,84.79348079068586,EmotiBit_7,recovery,PPG_1,True,True,True
