timestamp,time_from_segment_start_sec,selected_channel_name,backup_channel_name,selected_channel_raw,selected_channel_clipped,selected_channel_detrended,selected_channel_filtered,selected_channel_filtered_z
63290.0065734848,187.01919142442057,PPG_2,PPG_3,93702.0,93702.0,67.17793500510743,20.195841324320448,0.4858680920381353
63290.01666245234,187.0292803919656,PPG_2,PPG_3,93708.0,93708.0,73.13947562553221,21.419571418943736,0.5152856848496824
63290.026751419886,187.0393693595106,PPG_2,PPG_3,93688.0,93688.0,53.10101624597155,22.579570435197855,0.5431712282974503
63290.03684038744,187.0494583270629,PPG_2,PPG_3,93698.0,93698.0,63.062556866396335,23.775625320215745,0.5719235289414493
63290.04692935498,187.0595472946079,PPG_2,PPG_3,93699.0,93699.0,64.02409748683567,25.120512736468662,0.6042536567715415
63290.05701832253,187.06963626215293,PPG_2,PPG_3,93713.0,93713.0,77.98563810726046,26.72844500177591,0.642907193901327
63290.06710729008,187.0797252297052,PPG_2,PPG_3,93699.0,93699.0,63.94717872769979,28.704608681841727,0.6904127498442332
63290.077196257625,187.08981419725023,PPG_2,PPG_3,93706.0,93706.0,70.90871934812458,31.135482264551797,0.7488492053557119
63290.08728522517,187.09990316479525,PPG_2,PPG_3,93716.0,93716.0,80.87025996856391,34.07983048892512,0.819629222567497
63290.09737419272,187.10999213234027,PPG_2,PPG_3,93727.0,93727.0,91.8318005889887,37.56093492358518,0.9033124736726559
63290.10746316027,187.12008109989256,PPG_2,PPG_3,93713.0,93713.0,77.79334120942804,41.55998962347035,0.9994468772549593
63290.11755212781,187.1301700674376,PPG_2,PPG_3,93712.0,93712.0,76.75488182985282,46.009978113327215,1.1064214053685129
63290.12764109536,187.1402590349826,PPG_2,PPG_3,93702.0,93702.0,66.71642245029216,50.79091000938728,1.2213515753430677
63290.13773006291,187.15034800253488,PPG_2,PPG_3,93734.0,93734.0,98.67796307071694,55.729853154492986,1.3400802222893764
63290.147819030455,187.1604369700799,PPG_2,PPG_3,93754.0,93754.0,118.63950369115628,60.60921748048123,1.4573766372029098
63290.157907998,187.17052593762492,PPG_2,PPG_3,93732.0,93732.0,96.60104431158106,65.18313343753051,1.5673302926453172
