timestamp,time_from_segment_start_sec,selected_channel_name,backup_channel_name,selected_channel_raw,selected_channel_clipped,selected_channel_detrended,selected_channel_filtered,selected_channel_filtered_z
63901.08888829873,44.62488408359059,PPG_1,PPG_2,126531.0,126531.0,-26.432949323949288,-18.325029062582967,-0.8995392626944945
63901.09893894829,44.634934733156115,PPG_1,PPG_2,126524.0,126524.0,-33.40401812996424,-19.116125803882507,-0.9383991106960521
63901.108989597866,44.64498538272892,PPG_1,PPG_2,126516.0,126516.0,-41.37508693599375,-19.427206343984672,-0.9536798492878388
63901.11904024743,44.65503603229445,PPG_1,PPG_2,126505.0,126505.0,-52.34615574202326,-19.357958718362493,-0.9502783029716118
63901.12909089701,44.66508668186725,PPG_1,PPG_2,126519.0,126519.0,-38.31722454803821,-18.990737503487413,-0.9322398509745131
63901.13914154657,44.67513733143278,PPG_1,PPG_2,126513.0,126513.0,-44.28829335406772,-18.390655355233292,-0.9027629237515582
63901.149192196135,44.68518798099831,PPG_1,PPG_2,126515.0,126515.0,-42.259362160097226,-17.611470398727185,-0.8644882003274823
63901.15924284571,44.69523863057111,PPG_1,PPG_2,126464.0,126464.0,-93.23043096612673,-16.70589554313674,-0.8200050171652441
63901.16929349527,44.70528928013664,PPG_1,PPG_2,126493.0,126493.0,-64.20149977214169,-15.737189542464519,-0.7724207383038729
63901.179344144846,44.71533992970944,PPG_1,PPG_2,126520.0,126520.0,-37.172568578171195,-14.78606101422087,-0.7256998910194083
63901.18939479441,44.72539057927497,PPG_1,PPG_2,126502.0,126502.0,-55.1436373842007,-13.948044048302064,-0.6845352518314928
63901.19944544398,44.7354412288405,PPG_1,PPG_2,126517.0,126517.0,-40.11470619023021,-13.321873270638726,-0.6537768123477924
63901.20949609355,44.745491878413304,PPG_1,PPG_2,126536.0,126536.0,-21.085774996245163,-12.993149856038395,-0.637629429532212
63901.21954674312,44.75554252797883,PPG_1,PPG_2,126526.0,126526.0,-31.05684380227467,-13.017817125695219,-0.6388411224888825
