peak_index,peak_time,peak_time_from_segment_start_sec,peak_amplitude_filtered,emotibit_id,segment,selected_channel
21277,63316.83457823948,213.84767086632928,35.67196627657108,EmotiBit_1,main_meditation,PPG_1
21368,63317.74918735021,214.76227997705428,21.04770611603643,EmotiBit_1,main_meditation,PPG_1
21448,63318.553239315675,215.56633194252208,37.417616628472146,EmotiBit_1,main_meditation,PPG_1
21535,63319.42764582813,216.4407384549704,32.798428060326906,EmotiBit_1,main_meditation,PPG_1
21620,63320.281951041434,217.2950436682804,34.22921883020455,EmotiBit_1,main_meditation,PPG_1
21696,63321.04580040863,218.05889303547883,26.86700926241473,EmotiBit_1,main_meditation,PPG_1
21783,63321.92020692108,218.93329954792716,17.093312246205148,EmotiBit_1,main_meditation,PPG_1
21859,63322.68405628828,219.6971489151256,20.88808156880658,EmotiBit_1,main_meditation,PPG_1
21962,63323.71927319382,220.732365820666,29.029762874572324,EmotiBit_1,main_meditation,PPG_1
22038,63324.48312256102,221.49621518786444,12.450728972011856,EmotiBit_1,main_meditation,PPG_1
22135,63325.45803556915,222.47112819599715,22.00431510742758,EmotiBit_1,main_meditation,PPG_1
22224,63326.35254338074,223.36563600758384,22.89483287344171,EmotiBit_1,main_meditation,PPG_1
22321,63327.32745638887,224.34054901571653,36.19057025522245,EmotiBit_1,main_meditation,PPG_1
22413,63328.25211614916,225.26520877600703,15.844682426919952,EmotiBit_1,main_meditation,PPG_1
22496,63329.08632006333,226.09941269017872,26.106956872173097,EmotiBit_1,main_meditation,PPG_1
22593,63330.061233071465,227.07432569831144,16.547685690920375,EmotiBit_1,main_meditation,PPG_1
22696,63331.096449977005,228.10954260385188,19.114354155082,EmotiBit_1,main_meditation,PPG_1
22783,63331.97085648945,228.9839491163002,14.84714544001236,EmotiBit_1,main_meditation,PPG_1
22860,63332.74475650622,229.75784913306416,10.4857419408006,EmotiBit_1,main_meditation,PPG_1
22994,63334.091543548384,231.10463617523055,23.894235388020533,EmotiBit_1,main_meditation,PPG_1
23097,63335.12676045392,232.139853080771,24.497562854305677,EmotiBit_1,main_meditation,PPG_1
23207,63336.232331906445,233.24542453329195,30.385040227688393,EmotiBit_1,main_meditation,PPG_1
23309,63337.25749816242,234.2705907892669,30.475056468789,EmotiBit_1,main_meditation,PPG_1
23409,63338.26256311926,235.27565574610344,13.146971067822818,EmotiBit_1,main_meditation,PPG_1
23512,63339.297780024805,236.31087265165115,26.01321737280113,EmotiBit_1,main_meditation,PPG_1
23586,63340.041528092865,237.05462071971124,41.37134888700502,EmotiBit_1,main_meditation,PPG_1
23718,63341.368213835885,238.38130646273203,52.13427027744892,EmotiBit_1,main_meditation,PPG_1
23818,63342.37327879272,239.3863714195686,35.12106468724301,EmotiBit_1,main_meditation,PPG_1
23925,63343.44869829654,240.4617909233857,30.091959990947636,EmotiBit_1,main_meditation,PPG_1
24028,63344.48391520209,241.49700782893345,30.028365939191417,EmotiBit_1,main_meditation,PPG_1
24115,63345.358321714535,242.37141434138175,33.61624756075784,EmotiBit_1,main_meditation,PPG_1
24196,63346.17242432957,243.18551695641509,31.80150385121737,EmotiBit_1,main_meditation,PPG_1
24283,63347.04683084202,244.05992346886345,30.58075453339446,EmotiBit_1,main_meditation,PPG_1
24384,63348.061946448426,245.0750390752728,30.647641220435226,EmotiBit_1,main_meditation,PPG_1
