peak_index,peak_time,peak_time_from_segment_start_sec,peak_amplitude_filtered,emotibit_id,segment,selected_channel
5062,63907.63742877591,51.17258870888327,3.652839575640588,EmotiBit_3,recovery,PPG_1
5142,63908.44616190446,51.981321837432915,201.3510091723468,EmotiBit_3,recovery,PPG_1
5200,63909.03249342266,52.5676533556325,9.182698198501962,EmotiBit_3,recovery,PPG_1
5283,63909.87155404353,53.40671397650294,48.06317690881322,EmotiBit_3,recovery,PPG_1
6754,63924.74213444471,68.27729437767994,35.306322893410304,EmotiBit_3,recovery,PPG_1
6886,63926.076544106814,69.61170403978758,426.47006683278585,EmotiBit_3,recovery,PPG_1
7015,63927.380626276594,70.91578620956716,166.68723709649228,EmotiBit_3,recovery,PPG_1
7097,63928.20957773336,71.7447376663331,9.541769380950068,EmotiBit_3,recovery,PPG_1
7191,63929.1598391594,72.69499909237493,44.97134072886746,EmotiBit_3,recovery,PPG_1
7271,63929.96857228795,73.50373222092458,21.841019469571375,EmotiBit_3,recovery,PPG_1
7362,63930.88850622167,74.42366615464562,33.06481511927929,EmotiBit_3,recovery,PPG_1
7432,63931.596147709155,75.13130764212838,40.62725684436661,EmotiBit_3,recovery,PPG_1
7537,63932.657609940376,76.19276987334888,38.7886539963899,EmotiBit_3,recovery,PPG_1
7622,63933.516888889455,77.05204882242833,57.049218906198355,EmotiBit_3,recovery,PPG_1
7706,63934.36605867443,77.90121860740328,42.69278740435299,EmotiBit_3,recovery,PPG_1
7795,63935.26577427994,78.80093421291531,64.30648626109185,EmotiBit_3,recovery,PPG_1
7887,63936.195817377775,79.73097731074813,52.339778912977664,EmotiBit_3,recovery,PPG_1
7961,63936.94389552168,80.47905545464891,32.99843388398922,EmotiBit_3,recovery,PPG_1
8041,63937.752628650225,81.28778858319856,25.17181443064585,EmotiBit_3,recovery,PPG_1
8118,63938.531034286454,82.06619421942742,54.85567847773739,EmotiBit_3,recovery,PPG_1
8199,63939.34987657911,82.88503651208157,46.39566376155457,EmotiBit_3,recovery,PPG_1
8289,63940.259701348725,83.7948612816981,58.86150706893122,EmotiBit_3,recovery,PPG_1
8381,63941.18974444656,84.72490437953093,48.45340262318468,EmotiBit_3,recovery,PPG_1
8469,63942.07935088796,85.61451082093117,55.388223498342704,EmotiBit_3,recovery,PPG_1
8555,63942.94873900115,86.48389893412241,51.1034794539334,EmotiBit_3,recovery,PPG_1
8644,63943.84845460666,87.38361453963444,50.46509989242579,EmotiBit_3,recovery,PPG_1
8725,63944.667296899315,88.20245683228859,38.55460307208932,EmotiBit_3,recovery,PPG_1
8814,63945.56701250483,89.10217243780062,39.35210516727147,EmotiBit_3,recovery,PPG_1
8914,63946.57792891551,90.11308884848404,103.2232417408477,EmotiBit_3,recovery,PPG_1
8978,63947.224915418345,90.76007535131794,64.0950086654355,EmotiBit_3,recovery,PPG_1
9047,63947.92244774172,91.4576076746962,29.714603797994517,EmotiBit_3,recovery,PPG_1
9129,63948.75139919848,92.28655913145484,32.302993157002405,EmotiBit_3,recovery,PPG_1
9175,63949.2164207474,92.75158068037126,51.49818162436384,EmotiBit_3,recovery,PPG_1
9260,63950.07569969648,93.61085962945072,37.61873393401804,EmotiBit_3,recovery,PPG_1
9365,63951.1371619277,94.67232186067122,31.36472847136969,EmotiBit_3,recovery,PPG_1
