subject,ppg_stream,ppg_channel_1based,fs,segment,t_start,t_end,t_center,t_rel,window_s,step_s,bandpass,low_hz,high_hz,lle_1,lle_2
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63046.734184313915,63056.82388625483,63051.77903528437,192.9041484925183,10.0,1.0,True,0.5,8.0,0.0014352739681258563,-0.003467740206620697
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63047.74416448818,63057.83386642909,63052.789015458635,193.91412866678,10.0,1.0,True,0.5,8.0,-0.00044997605095299984,-0.003654342589190052
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63048.754144662445,63058.84384660336,63053.798995632904,194.92410884104905,10.0,1.0,True,0.5,8.0,0.0012969542401126822,-0.0015285277242381191
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63049.76412483671,63059.853826777624,63054.808975807166,195.93408901531075,10.0,1.0,True,0.5,8.0,-0.0006538966085090891,-0.0004203851399921304
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63050.774105010976,63060.86380695189,63055.818955981435,196.94406918957975,10.0,1.0,True,0.5,8.0,0.0006477217315895365,-0.0003601263853718288
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63051.784085185245,63061.873787126155,63056.828936155696,197.95404936384148,10.0,1.0,True,0.5,8.0,-0.002195540399325933,0.001263895742304275
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63052.79406535951,63062.883767300424,63057.838916329965,198.96402953811048,10.0,1.0,True,0.5,8.0,-0.0028782055057072096,-0.0025785369426451804
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63053.804045533776,63063.893747474685,63058.848896504234,199.97400971237948,10.0,1.0,True,0.5,8.0,-0.002794771547176041,-0.0018422144117030076
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63054.81402570804,63064.903727648954,63059.858876678496,200.9839898866412,10.0,1.0,True,0.5,8.0,-0.002317949641956981,-0.00217737421255816
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63055.82400588231,63065.913707823216,63060.86885685276,201.99397006090297,10.0,1.0,True,0.5,8.0,0.0016704927507284891,-0.0025614523273504654
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63056.83398605657,63066.923687997485,63061.87883702703,203.0039502351719,10.0,1.0,True,0.5,8.0,0.004246341679832698,-0.0017576200823333406
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63057.84396623084,63067.933668171754,63062.888817201296,204.01393040944097,10.0,1.0,True,0.5,8.0,0.003519504048504448,-0.001273416342995572
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63058.8539464051,63068.943648346016,63063.89879737556,205.02391058370267,10.0,1.0,True,0.5,8.0,0.004235330491181272,0.0008415468301824704
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63059.86392657937,63069.953628520285,63064.90877754983,206.03389075797168,10.0,1.0,True,0.5,8.0,0.0022486253731004787,0.004696554692254992
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63060.87390675364,63070.96360869455,63065.918757724095,207.04387093224068,10.0,1.0,True,0.5,8.0,1.2924624080970047e-05,0.004804702211661441
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63061.8838869279,63071.973588868816,63066.92873789836,208.0538511065024,10.0,1.0,True,0.5,8.0,-0.0010946879082040393,0.0007452006611656751
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63062.89386710217,63072.98356904308,63067.93871807262,209.06383128076413,10.0,1.0,True,0.5,8.0,-0.0019630285819564166,-0.0018816362118762226
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63063.90384727643,63073.993549217346,63068.94869824689,210.0738114550331,10.0,1.0,True,0.5,8.0,-0.00029690669594093573,0.001503698622730933
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63064.9138274507,63075.00352939161,63069.95867842116,211.08379162930217,10.0,1.0,True,0.5,8.0,0.0004521684593923022,0.0019474364350612115
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63065.92380762496,63076.01350956588,63070.96865859542,212.09377180356387,10.0,1.0,True,0.5,8.0,-0.0007335710344379447,-0.00011648225456858572
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63066.93378779923,63077.023489740146,63071.97863876969,213.10375197783287,10.0,1.0,True,0.5,8.0,-0.0046339532785729986,-0.0012876476563348281
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63067.94376797349,63078.03346991441,63072.98861894395,214.1137321520946,10.0,1.0,True,0.5,8.0,-0.0038779726520200165,-0.001466113539047413
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63068.95374814776,63079.04345008868,63073.99859911822,215.1237123263636,10.0,1.0,True,0.5,8.0,-0.00123721708896628,-0.0028000847884729636
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63069.96372832202,63080.05343026294,63075.00857929248,216.13369250062533,10.0,1.0,True,0.5,8.0,0.000689976304418077,-0.0006270729001524081
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63070.97370849629,63081.06341043721,63076.01855946675,217.14367267489433,10.0,1.0,True,0.5,8.0,0.0005800116544101778,-0.001780684698005967
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63071.98368867056,63082.07339061147,63077.02853964102,218.15365284916336,10.0,1.0,True,0.5,8.0,-5.687550838570094e-05,0.0009860404111400151
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63072.99366884482,63083.08337078574,63078.03851981528,219.16363302342504,10.0,1.0,True,0.5,8.0,-0.0030854861259773476,-0.0016019976870228804
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63074.00364901909,63084.09335096,63079.04849998954,220.1736131976868,10.0,1.0,True,0.5,8.0,-0.00663069420327904,-0.0015279520273068113
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63075.01362919335,63085.10333113427,63080.05848016381,221.1835933719558,10.0,1.0,True,0.5,8.0,-0.005446077759061986,-0.0028612010252942657
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63076.02360936762,63086.11331130854,63081.06846033808,222.1935735462248,10.0,1.0,True,0.5,8.0,-0.004231719806574642,-0.003917627484325709
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63077.03358954188,63087.1232914828,63082.07844051234,223.20355372048652,10.0,1.0,True,0.5,8.0,-0.0019666742405884037,-0.005541855301517778
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63078.04356971615,63088.13327165707,63083.08842068661,224.21353389475553,10.0,1.0,True,0.5,8.0,-0.0010470774275363613,-0.004770399558971386
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63079.053549890414,63089.14325183133,63084.09840086087,225.22351406901728,10.0,1.0,True,0.5,8.0,-0.000947048532538385,-0.0042275788002734595
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63080.06353006468,63090.1532320056,63085.10838103514,226.23349424328623,10.0,1.0,True,0.5,8.0,0.0015683408614008921,-0.00104496186112022
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63081.07351023895,63091.16321217986,63086.1183612094,227.243474417548,10.0,1.0,True,0.5,8.0,0.0005551444706024017,-0.0006988317802556858
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63082.08349041321,63092.17319235413,63087.12834138367,228.253454591817,10.0,1.0,True,0.5,8.0,0.0011271263595003273,0.0002075597740845761
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63083.09347058748,63093.18317252839,63088.13832155794,229.263434766086,10.0,1.0,True,0.5,8.0,-0.00040854727268003235,0.001468822236952157
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63084.103450761744,63094.19315270266,63089.1483017322,230.27341494034772,10.0,1.0,True,0.5,8.0,-0.0002070571562744783,-0.0011831177963555807
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63085.11343093601,63095.20313287693,63090.15828190647,231.28339511461672,10.0,1.0,True,0.5,8.0,-0.00070237917624364,0.00029996917869968816
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63086.123411110275,63096.21311305119,63091.16826208073,232.29337528887845,10.0,1.0,True,0.5,8.0,-0.001619926459667107,8.587486542233823e-05
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63087.133391284544,63097.22309322546,63092.178242255,233.30335546314743,10.0,1.0,True,0.5,8.0,-0.0014759482679188062,-0.0009234546331852133
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63088.143371458806,63098.23307339972,63093.188222429264,234.3133356374092,10.0,1.0,True,0.5,8.0,-0.0014259805247811461,-0.0019035682134436332
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63089.153351633075,63099.24305357399,63094.19820260353,235.3233158116782,10.0,1.0,True,0.5,8.0,-0.0012467962470626324,-0.002412520253977985
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63090.163331807344,63100.25303374825,63095.2081827778,236.3332959859472,10.0,1.0,True,0.5,8.0,-0.00022513350570929123,-0.0025500879709956467
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63091.173311981605,63101.26301392252,63096.218162952064,237.34327616020892,10.0,1.0,True,0.5,8.0,0.0017647278308996607,-0.0012249397804892123
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,pre,63092.183292155874,63102.272994096784,63097.228143126325,238.35325633447064,10.0,1.0,True,0.5,8.0,-0.000694827205485276,-0.0006938337043119145
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63102.990080020514,63113.07978196143,63108.03493099097,5.049891302529431,10.0,1.0,True,0.5,8.0,-0.0033281974456429034,-0.0020877959647473614
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63104.00006019478,63114.08976213569,63109.04491116524,6.059871476798435,10.0,1.0,True,0.5,8.0,-0.0027096899910009605,-0.004346124225309252
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63105.010040369045,63115.09974230996,63110.0548913395,7.069851651060162,10.0,1.0,True,0.5,8.0,0.0010909082504030462,-0.00246400803378201
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63106.020020543314,63116.10972248423,63111.06487151377,8.079831825329165,10.0,1.0,True,0.5,8.0,-0.001258805215369168,0.00046327995160161297
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63107.030000717576,63117.11970265849,63112.074851688034,9.089811999590893,10.0,1.0,True,0.5,8.0,-0.001253061330216604,-0.00119687867838734
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63108.039980891845,63118.12968283276,63113.0848318623,10.099792173859896,10.0,1.0,True,0.5,8.0,0.0003078989205637348,-0.0020608382769930276
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63109.049961066106,63119.13966300702,63114.094812036565,11.109772348121624,10.0,1.0,True,0.5,8.0,-0.005268561623420118,-0.0021168605645887147
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63110.059941240375,63120.14964318129,63115.104792210834,12.119752522390629,10.0,1.0,True,0.5,8.0,-0.003940692681300435,-0.004327703229788102
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63111.06992141464,63121.159623355554,63116.1147723851,13.12973269665963,10.0,1.0,True,0.5,8.0,-0.0016493761188426292,-0.0025607489900090997
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63112.079901588906,63122.16960352982,63117.12475255936,14.139712870921358,10.0,1.0,True,0.5,8.0,-0.0023883343488645954,-0.00157347660923888
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63113.089881763175,63123.179583704085,63118.134732733626,15.149693045183083,10.0,1.0,True,0.5,8.0,-0.0010055263501824443,-0.0023120940634036528
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63114.09986193744,63124.18956387835,63119.144712907895,16.15967321945209,10.0,1.0,True,0.5,8.0,-0.00506338314923682,-0.0011775813704732571
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63115.109842111706,63125.19954405262,63120.15469308216,17.16965339372109,10.0,1.0,True,0.5,8.0,-0.005241807818155042,-0.004047884886555223
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63116.11982228597,63126.20952422688,63121.164673256426,18.17963356798282,10.0,1.0,True,0.5,8.0,-0.0013668417355610087,-0.006896416619628896
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63117.12980246024,63127.21950440115,63122.174653430695,19.189613742251822,10.0,1.0,True,0.5,8.0,0.0004030698240385583,-0.005118198244647549
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63118.1397826345,63128.229484575415,63123.18463360496,20.19959391651355,10.0,1.0,True,0.5,8.0,0.002301294848383311,-0.003374617697278509
