LslMarkerSourceTimestamp,EmotiBitTimestamp,PI,PG,PR
1032476.838516,88958.000,170560,6071,112502
1032476.84885,88968.333,170537,6065,112451
1032476.859183,88978.667,170540,6055,112460
1032476.869517,88989.000,170533,6089,112488
1032476.87985,88999.333,170496,6082,112476
1032476.890183,89009.667,170442,6102,112441
1032476.900517,89020.000,170438,6062,112434
1032476.91085,89030.333,170411,6072,112443
1032476.921184,89040.667,170375,6087,112390
1032476.931517,89051.000,170307,6078,112361
1032476.941245,89060.727,170330,6101,112341
1032476.950972,89070.455,170290,6074,112273
1032476.9607,89080.182,170318,6078,112307
1032476.970427,89089.909,170288,6077,112326
1032476.980155,89099.636,170307,6085,112325
1032476.989882,89109.364,170317,6078,112360
1032476.999609,89119.091,170322,6088,112362
1032477.009337,89128.818,170341,6091,112377
1032477.019064,89138.545,170340,6101,112364
1032477.028792,89148.273,170307,6112,112334
1032477.038519,89158.000,170241,6083,112292
1032477.048852,89168.333,170124,6057,112200
1032477.059186,89178.667,170131,6048,112191
1032477.069519,89189.000,170099,6032,112184
1032477.079853,89199.333,170101,6052,112176
1032477.090186,89209.667,170051,6035,112177
1032477.10052,89220.000,170013,6045,112168
1032477.110853,89230.333,170053,6056,112118
1032477.121187,89240.667,170027,6017,112135
1032477.13152,89251.000,169997,6023,112178
1032477.141248,89260.727,169958,6014,112146
1032477.150975,89270.455,170013,6041,112232
1032477.160703,89280.182,169995,6040,112224
1032477.17043,89289.909,170018,6032,112270
1032477.180157,89299.636,170042,6029,112268
1032477.189885,89309.364,170114,6051,112307
1032477.199612,89319.091,170151,6023,112350
1032477.20934,89328.818,170206,6028,112368
1032477.219067,89338.545,170256,6054,112395
1032477.228795,89348.273,170273,6046,112389
1032477.238522,89358.000,170254,6044,112385
1032477.249122,89368.600,170297,6048,112404
1032477.259722,89379.200,170299,6067,112427
1032477.270322,89389.800,170307,6058,112425
1032477.280923,89400.400,170298,6067,112385
1032477.291523,89411.000,170293,6048,112400
1032477.302123,89421.600,170316,6037,112396
1032477.312723,89432.200,170365,6052,112402
1032477.323323,89442.800,170361,6033,112418
1032477.333923,89453.400,170408,6054,112444
1032477.344523,89464.000,170446,6032,112480
1032477.353924,89473.400,170429,6071,112489
1032477.363324,89482.800,170414,6058,112452
1032477.372724,89492.200,170453,6058,112489
1032477.382124,89501.600,170481,6063,112488
1032477.391524,89511.000,170541,6067,112550
1032477.400924,89520.400,170611,6076,112592
