t_center,mean_pairwise_r,t_start,t_end
63223.0,-0.045349611440007605,63208,63238
63224.0,-0.054361862275012385,63209,63239
63225.0,-0.06086503555124527,63210,63240
63226.0,-0.059019936381131254,63211,63241
63227.0,-0.05458719821182475,63212,63242
63228.0,-0.05198360471967003,63213,63243
63229.0,-0.052561025931598296,63214,63244
63230.0,-0.052931542550085205,63215,63245
63231.0,-0.05252038547119916,63216,63246
63232.0,-0.05081733835774135,63217,63247
63233.0,-0.044955693519913006,63218,63248
63234.0,-0.030147805686912825,63219,63249
63235.0,-0.01899674010786923,63220,63250
63236.0,-0.0180117617304636,63221,63251
63237.0,-0.02108411243037577,63222,63252
63238.0,-0.018546900342267154,63223,63253
63239.0,-0.015136553784699101,63224,63254
63240.0,-0.00775322682804606,63225,63255
63241.0,-0.0027469039283949817,63226,63256
63242.0,-0.0012959274495126477,63227,63257
63243.0,0.0005513443183278442,63228,63258
63244.0,0.002198238960251054,63229,63259
63245.0,-0.0022774602752038556,63230,63260
63246.0,-0.009844730680872115,63231,63261
63247.0,-0.012753483820986823,63232,63262
63248.0,-0.01757645741689053,63233,63263
63249.0,-0.020426098079102388,63234,63264
63250.0,-0.02288325056477563,63235,63265
63251.0,-0.02770732911998511,63236,63266
63252.0,-0.029459529221653253,63237,63267
63253.0,-0.026676766580384367,63238,63268
63254.0,-0.02639256438231965,63239,63269
63255.0,-0.020663338813061614,63240,63270
63256.0,-0.015668644494578603,63241,63271
63257.0,0.0002137814613798525,63242,63272
63258.0,0.018795022654059607,63243,63273
63259.0,0.005533889693739472,63244,63274
63260.0,-0.018231157412492156,63245,63275
63261.0,-0.04028875449824024,63246,63276
63262.0,-0.05633999331988868,63247,63277
63263.0,-0.05827410740660884,63248,63278
63264.0,-0.06366661808533662,63249,63279
63265.0,-0.0681214240633355,63250,63280
63266.0,-0.07069281599277287,63251,63281
63267.0,-0.07074152003490526,63252,63282
63268.0,-0.06983332446927218,63253,63283
63269.0,-0.07051112961737453,63254,63284
63270.0,-0.0729840132434897,63255,63285
63271.0,-0.07689343081180151,63256,63286
63272.0,-0.07887681247807538,63257,63287
63273.0,-0.07956550132992335,63258,63288
63274.0,-0.0758256967835756,63259,63289
63275.0,-0.06740164981074409,63260,63290
63276.0,-0.05908101461147266,63261,63291
63277.0,-0.05162779614123067,63262,63292
63278.0,-0.04143758196962345,63263,63293
63279.0,-0.033689374125756906,63264,63294
63280.0,-0.027621253017340086,63265,63295
63281.0,-0.02219501005761299,63266,63296
63282.0,-0.015778474271555137,63267,63297
63283.0,-0.015507917474220692,63268,63298
63284.0,-0.0166014903152379,63269,63299
63285.0,-0.01938100020879701,63270,63300
63286.0,-0.02357364264873411,63271,63301
63287.0,-0.03662171511457464,63272,63302
63288.0,-0.05728452336399098,63273,63303
63289.0,-0.055461603519054894,63274,63304
63290.0,-0.04054269307502765,63275,63305
63291.0,-0.025358174922687132,63276,63306
63292.0,-0.01169727032877416,63277,63307
63293.0,-0.007374048672581933,63278,63308
63294.0,-0.0033768419093379272,63279,63309
63295.0,-0.002225452022806662,63280,63310
63296.0,0.004192120815215076,63281,63311
63297.0,0.008807874581999178,63282,63312
63298.0,0.009082205834302168,63283,63313
63299.0,0.009912105862915351,63284,63314
63300.0,0.019354107871709738,63285,63315
63301.0,0.0318776801423647,63286,63316
63302.0,0.035537942222314954,63287,63317
63303.0,0.03880072301073696,63288,63318
63304.0,0.04788641785546063,63289,63319
63305.0,0.06584176356736657,63290,63320
63306.0,0.0922883209776832,63291,63321
63307.0,0.11378211456932047,63292,63322
63308.0,0.12910731664807523,63293,63323
63309.0,0.16168567967725783,63294,63324
63310.0,0.17248387008627883,63295,63325
63311.0,0.15768492710273496,63296,63326
63312.0,0.11950116944072323,63297,63327
63313.0,0.08968955657540348,63298,63328
63314.0,0.0710044364974544,63299,63329
63315.0,0.05805079361019541,63300,63330
63316.0,0.047777827440697376,63301,63331
63317.0,0.04886712388766777,63302,63332
63318.0,0.05211060345781134,63303,63333
63319.0,0.05410433003322011,63304,63334
63320.0,0.051934771405356836,63305,63335
63321.0,0.04110170525179345,63306,63336
63322.0,0.04049979341375757,63307,63337
63323.0,0.045957241443079916,63308,63338
63324.0,0.04708546411834901,63309,63339
63325.0,0.041184217378174036,63310,63340
63326.0,0.01709868991821133,63311,63341
63327.0,-0.013782405297224243,63312,63342
63328.0,-0.033476551777981284,63313,63343
63329.0,-0.04574891297105685,63314,63344
63330.0,-0.045704679207966864,63315,63345
63331.0,-0.032407458819155535,63316,63346
63332.0,-0.013102811838712763,63317,63347
63333.0,-0.0059411222457995206,63318,63348
63334.0,-0.0023782632755159246,63319,63349
63335.0,0.005256091683029566,63320,63350
63336.0,0.011692071911079422,63321,63351
63337.0,0.014425970560151533,63322,63352
63338.0,0.010693244572679686,63323,63353
63339.0,-0.005449740391208539,63324,63354
63340.0,-0.01147009788985511,63325,63355
63341.0,-0.007112653096960903,63326,63356
63342.0,-0.002314892074325627,63327,63357
63343.0,0.010822044055079553,63328,63358
63344.0,0.027689028127305365,63329,63359
63345.0,0.04020140256849361,63330,63360
63346.0,0.05335399632511523,63331,63361
63347.0,0.060076755095301033,63332,63362
63348.0,0.058172669753800754,63333,63363
63349.0,0.045363687445924845,63334,63364
63350.0,0.021570491290132082,63335,63365
63351.0,0.014678713083084079,63336,63366
63352.0,0.02141206828877304,63337,63367
63353.0,0.02446783725966111,63338,63368
63354.0,0.026561968516418587,63339,63369
63355.0,0.022186644734865552,63340,63370
63356.0,0.00831499625417579,63341,63371
63357.0,-0.008422684388617123,63342,63372
63358.0,-0.026748371506878015,63343,63373
63359.0,-0.029243880773893633,63344,63374
63360.0,-0.037460050430825245,63345,63375
63361.0,-0.03994982946874406,63346,63376
63362.0,-0.04024225168428564,63347,63377
63363.0,-0.04907957081447651,63348,63378
63364.0,-0.06430374737609974,63349,63379
63365.0,-0.06787646894677647,63350,63380
63366.0,-0.06053031611840155,63351,63381
63367.0,-0.04769400592053463,63352,63382
63368.0,-0.04277586690606448,63353,63383
63369.0,-0.04540713738569905,63354,63384
63370.0,-0.04708694940211969,63355,63385
63371.0,-0.049798584476281285,63356,63386
63372.0,-0.05188173628529619,63357,63387
63373.0,-0.05369266399397125,63358,63388
63374.0,-0.053784364659178345,63359,63389
63375.0,-0.04931688874249436,63360,63390
63376.0,-0.051430829454093635,63361,63391
63377.0,-0.05486519493705311,63362,63392
63378.0,-0.04877450796444444,63363,63393
63379.0,-0.03846420648457087,63364,63394
63380.0,-0.031784335355511235,63365,63395
63381.0,-0.027888073338069745,63366,63396
63382.0,-0.023944693314629478,63367,63397
63383.0,-0.02323595706008751,63368,63398
63384.0,-0.02566336659430751,63369,63399
63385.0,-0.027099030621799396,63370,63400
63386.0,-0.03327417308319134,63371,63401
63387.0,-0.042658221884018785,63372,63402
63388.0,-0.052216589937085084,63373,63403
63389.0,-0.06093642947026767,63374,63404
63390.0,-0.06609422521395414,63375,63405
63391.0,-0.07036557908841092,63376,63406
63392.0,-0.08039425418596698,63377,63407
63393.0,-0.08043295792947654,63378,63408
63394.0,-0.07100823697074375,63379,63409
63395.0,-0.056589292181055066,63380,63410
63396.0,-0.038451284804649044,63381,63411
63397.0,-0.030782143384220192,63382,63412
63398.0,-0.034131558432207214,63383,63413
63399.0,-0.029244802449971102,63384,63414
63400.0,-0.013201191693595201,63385,63415
63401.0,0.007219509252673865,63386,63416
63402.0,0.020424037096029954,63387,63417
63403.0,0.02572212374807248,63388,63418
63404.0,0.022455300573190014,63389,63419
63405.0,0.017933618285116033,63390,63420
63406.0,0.016478097239326476,63391,63421
63407.0,0.015862474898813678,63392,63422
63408.0,0.008541520382318176,63393,63423
63409.0,-0.006911667869922221,63394,63424
63410.0,-0.018978283350992425,63395,63425
63411.0,-0.030365358661218738,63396,63426
63412.0,-0.04547892583798634,63397,63427
63413.0,-0.05114858924934785,63398,63428
63414.0,-0.05053607963219057,63399,63429
63415.0,-0.051125751010491764,63400,63430
63416.0,-0.050200667484490535,63401,63431
63417.0,-0.05058710722512534,63402,63432
63418.0,-0.05345642550528379,63403,63433
63419.0,-0.05754182597247711,63404,63434
63420.0,-0.06214769159150223,63405,63435
63421.0,-0.06987770263710026,63406,63436
63422.0,-0.0661627426805568,63407,63437
63423.0,-0.06740640491404512,63408,63438
63424.0,-0.06851251613349543,63409,63439
63425.0,-0.06448867052238276,63410,63440
