time,ppg
63751.05279154191,126625.0
63751.06284219147,126635.0
63751.072892841046,126633.0
63751.08294349061,126621.0
63751.092994140185,126638.0
63751.10304478975,126600.0
63751.113095439316,126613.0
63751.12314608889,126593.0
63751.133196738454,126601.0
63751.14324738803,126548.0
63751.15329803759,126576.0
63751.16334868716,126563.0
63751.17339933673,126575.0
63751.183449986296,126572.0
63751.19350063587,126560.0
63751.203551285435,126530.0
63751.213601935,126562.0
63751.22365258457,126573.0
63751.23370323414,126600.0
63751.243753883704,126550.0
63751.25380453328,126576.0
63751.26385518284,126591.0
63751.273905832415,126562.0
63751.28395648198,126579.0
63751.294007131546,126596.0
63751.30405778112,126590.0
63751.314108430684,126589.0
63751.32415908026,126599.0
63751.33420972982,126580.0
63751.34426037939,126576.0
63751.35431102896,126580.0
63751.36436167853,126605.0
63751.3744123281,126588.0
63751.384462977665,126586.0
63751.39451362723,126570.0
63751.4045642768,126596.0
63751.41461492637,126555.0
63751.42466557594,126562.0
63751.43471622551,126588.0
63751.44476687507,126576.0
63751.454817524645,126600.0
63751.46486817421,126556.0
63751.47491882378,126567.0
63751.48496947335,126585.0
63751.495020122915,126584.0
63751.50507077249,126613.0
63751.51512142205,126593.0
63751.52517207162,126601.0
63751.53522272119,126598.0
63751.54527337076,126601.0
63751.55532402033,126596.0
63751.565374669895,126582.0
63751.57542531946,126603.0
63751.585475969034,126595.0
63751.5955266186,126605.0
63751.60557726817,126621.0
63751.61562791774,126585.0
63751.6256785673,126606.0
63751.635729216876,126619.0
63751.64577986644,126600.0
63751.655830516014,126622.0
63751.66588116558,126611.0
63751.675931815145,126618.0
63751.68598246472,126610.0
63751.69603311428,126615.0
63751.70608376385,126585.0
63751.71613441342,126631.0
63751.72618506299,126631.0
63751.73623571256,126595.0
63751.746286362126,126608.0
63751.75633701169,126612.0
63751.766387661264,126588.0
63751.77643831083,126610.0
63751.7864889604,126592.0
63751.79653960997,126628.0
63751.80659025953,126630.0
63751.816640909106,126607.0
63751.82669155867,126593.0
63751.836742208245,126611.0
63751.84679285781,126626.0
63751.856843507376,126620.0
63751.86689415695,126649.0
63751.876944806514,126613.0
63751.88699545609,126632.0
63751.89704610565,126612.0
63751.90709675522,126656.0
63751.91714740479,126612.0
63751.927198054356,126634.0
63751.93724870392,126647.0
63751.947299353495,126621.0
63751.95735000306,126621.0
63751.96740065263,126639.0
63751.9774513022,126644.0
63751.987501951764,126646.0
63751.99755260134,126606.0
63752.0076032509,126622.0
63752.017653900475,126631.0
63752.02770455004,126591.0
63752.037755199606,126586.0
63752.04780584918,126587.0
63752.057856498745,126598.0
63752.06790714832,126552.0
63752.07795779788,126549.0
63752.08800844745,126574.0
63752.09805909702,126580.0
63752.10810974659,126543.0
63752.11816039616,126543.0
63752.128211045725,126586.0
63752.13826169529,126612.0
63752.14831234486,126588.0
63752.15836299443,126617.0
63752.168413643994,126595.0
63752.17846429357,126606.0
63752.18851494313,126563.0
63752.198565592706,126614.0
63752.20861624227,126574.0
63752.21866689184,126572.0
63752.22871754141,126586.0
63752.238768190975,126570.0
63752.24881884055,126583.0
63752.25886949011,126588.0
63752.26892013968,126585.0
63752.27897078925,126603.0
63752.28902143882,126566.0
63752.29907208839,126580.0
63752.309122737955,126595.0
63752.31917338752,126591.0
63752.329224037094,126574.0
63752.33927468666,126556.0
63752.34932533623,126592.0
63752.3593759858,126565.0
63752.36942663536,126572.0
63752.379477284936,126581.0
63752.3895279345,126569.0
63752.39957858407,126556.0
63752.40962923364,126540.0
63752.419679883205,126575.0
63752.42973053278,126593.0
63752.439781182344,126551.0
63752.44983183191,126588.0
63752.45988248148,126589.0
63752.46993313105,126549.0
63752.47998378062,126564.0
63752.490034430186,126593.0
63752.50008507975,126589.0
63752.510135729324,126574.0
63752.52018637889,126575.0
63752.53023702846,126618.0
63752.54028767803,126590.0
63752.55033832759,126565.0
63752.56038897717,126604.0
63752.57043962673,126618.0
63752.580490276305,126601.0
63752.59054092587,126592.0
63752.600591575436,126642.0
63752.61064222501,126587.0
63752.620692874574,126593.0
63752.63074352414,126606.0
63752.64079417371,126604.0
63752.65084482328,126586.0
63752.66089547285,126603.0
63752.670946122416,126604.0
63752.68099677198,126628.0
63752.691047421555,126584.0
63752.70109807112,126616.0
63752.71114872069,126614.0
63752.72119937026,126638.0
63752.731250019824,126617.0
63752.7413006694,126606.0
63752.75135131896,126603.0
63752.761401968535,126623.0
63752.7714526181,126610.0
63752.781503267666,126651.0
63752.79155391724,126619.0
63752.801604566805,126594.0
63752.81165521638,126599.0
63752.82170586594,126610.0
63752.83175651551,126608.0
63752.84180716508,126580.0
63752.85185781465,126621.0
63752.86190846421,126598.0
63752.871959113785,126566.0
63752.88200976335,126577.0
63752.89206041292,126578.0
63752.90211106249,126557.0
63752.912161712055,126556.0
63752.92221236163,126537.0
63752.93226301119,126568.0
63752.942313660766,126578.0
63752.95236431033,126564.0
63752.9624149599,126559.0
63752.97246560947,126596.0
63752.982516259035,126542.0
63752.99256690861,126558.0
63753.00261755817,126557.0
63753.01266820774,126566.0
63753.02271885731,126531.0
63753.03276950688,126571.0
63753.04282015645,126561.0
63753.052870806016,126551.0
63753.06292145558,126561.0
63753.072972105154,126567.0
63753.08302275472,126588.0
63753.093073404285,126562.0
63753.10312405386,126582.0
63753.11317470342,126573.0
63753.123225352996,126545.0
63753.13327600256,126555.0
63753.14332665213,126591.0
63753.1533773017,126567.0
63753.163427951265,126558.0
63753.17347860084,126562.0
63753.183529250404,126605.0
63753.19357989997,126580.0
63753.20363054954,126559.0
63753.21368119911,126595.0
63753.22373184868,126586.0
63753.233782498246,126561.0
63753.24383314781,126580.0
63753.253883797384,126571.0
63753.26393444695,126588.0
63753.27398509652,126531.0
63753.28403574609,126586.0
63753.294086395654,126555.0
63753.30413704523,126609.0
63753.31418769479,126564.0
63753.32423834436,126589.0
63753.33428899393,126593.0
63753.344339643496,126561.0
63753.35439029307,126582.0
63753.364440942634,126608.0
63753.3744915922,126605.0
63753.38454224177,126599.0
63753.39459289134,126625.0
63753.40464354091,126613.0
63753.41469419048,126622.0
63753.42474484004,126574.0
63753.434795489615,126609.0
63753.44484613918,126598.0
63753.45489678875,126594.0
63753.46494743832,126573.0
63753.474998087884,126638.0
63753.48504873746,126610.0
63753.49509938702,126599.0
63753.505150036595,126591.0
63753.51520068616,126613.0
63753.525251335726,126622.0
63753.5353019853,126639.0
63753.545352634865,126615.0
63753.55540328443,126629.0
63753.565453934,126629.0
63753.57550458357,126590.0
63753.58555523314,126584.0
63753.59560588271,126660.0
63753.60565653227,126629.0
63753.615707181845,126623.0
63753.62575783141,126628.0
63753.63580848098,126613.0
63753.64585913055,126628.0
63753.655909780115,126614.0
63753.66596042969,126640.0
63753.67601107925,126607.0
63753.686061728826,126613.0
63753.69611237839,126622.0
63753.70616302796,126641.0
