LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1759437222.475718,150585.500,21437,2,GZ,1,100,-0.214
1759437222.516219,150626.000,21437,2,GZ,1,100,-0.305
1759437222.555887,150665.667,21454,3,GZ,1,100,-0.214
1759437222.595554,150705.333,21454,3,GZ,1,100,-0.153
1759437222.635221,150745.000,21454,3,GZ,1,100,-0.214
1759437222.675222,150785.000,21470,2,GZ,1,100,-0.244
1759437222.715223,150825.000,21470,2,GZ,1,100,-0.336
1759437222.755224,150865.000,21485,3,GZ,1,100,-0.214
1759437222.795225,150905.000,21485,3,GZ,1,100,-0.305
1759437222.835226,150945.000,21485,3,GZ,1,100,-0.336
1759437222.875226,150985.000,21502,2,GZ,1,100,-0.092
1759437222.915227,151025.000,21502,2,GZ,1,100,-0.122
1759437222.955228,151065.000,21516,3,GZ,1,100,-0.244
1759437222.995229,151105.000,21516,3,GZ,1,100,-0.122
1759437223.035230,151145.000,21516,3,GZ,1,100,-0.183
1759437223.075230,151185.000,21532,2,GZ,1,100,-0.214
1759437223.115231,151225.000,21532,2,GZ,1,100,-0.092
1759437223.155232,151265.000,21548,3,GZ,1,100,-0.092
1759437223.195233,151305.000,21548,3,GZ,1,100,-0.183
1759437223.235234,151345.000,21548,3,GZ,1,100,-0.214
1759437223.275234,151385.000,21564,2,GZ,1,100,-0.580
1759437223.315235,151425.000,21564,2,GZ,1,100,-0.763
1759437223.359903,151469.667,21578,3,GZ,1,100,-0.488
1759437223.404571,151514.333,21578,3,GZ,1,100,-0.458
1759437223.449238,151559.000,21578,3,GZ,1,100,-0.397
1759437223.489239,151599.000,21595,2,GZ,1,100,-0.122
1759437223.529240,151639.000,21595,2,GZ,1,100,0.061
1759437223.569241,151679.000,21610,3,GZ,1,100,0.305
1759437223.609241,151719.000,21610,3,GZ,1,100,0.427
1759437223.649242,151759.000,21610,3,GZ,1,100,0.397
1759437223.689243,151799.000,21626,2,GZ,1,100,0.275
1759437223.729244,151839.000,21626,2,GZ,1,100,0.397
1759437223.769245,151879.000,21640,3,GZ,1,100,0.153
1759437223.809245,151919.000,21640,3,GZ,1,100,-0.061
1759437223.849246,151959.000,21640,3,GZ,1,100,-0.092
1759437223.889247,151999.000,21659,2,GZ,1,100,-0.061
1759437223.929248,152039.000,21659,2,GZ,1,100,0.122
1759437223.969249,152079.000,21674,3,GZ,1,100,0.153
1759437224.009249,152119.000,21674,3,GZ,1,100,-0.275
1759437224.049250,152159.000,21674,3,GZ,1,100,0.183
1759437224.089251,152199.000,21690,2,GZ,1,100,0.122
1759437224.129252,152239.000,21690,2,GZ,1,100,-0.519
1759437224.169253,152279.000,21705,3,GZ,1,100,-0.305
1759437224.209254,152319.000,21705,3,GZ,1,100,-0.641
1759437224.249254,152359.000,21705,3,GZ,1,100,-0.854
1759437224.289255,152399.000,21721,2,GZ,1,100,-0.366
1759437224.329256,152439.000,21721,2,GZ,1,100,-0.092
1759437224.369257,152479.000,21736,3,GZ,1,100,-0.244
