LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1759437232.073914,160183.500,22900,2,EL,1,100,-1548.599976
1759437232.140415,160250.000,22900,2,EL,1,100,-1547.000000
1759437232.207417,160317.000,22917,1,EL,1,100,-1545.199951
1759437232.273918,160383.500,22931,2,EL,1,100,-1544.599976
1759437232.340420,160450.000,22931,2,EL,1,100,-1543.000000
1759437232.407421,160517.000,22947,1,EL,1,100,-1543.599976
1759437232.473922,160583.500,22963,2,EL,1,100,-1543.400024
1759437232.540424,160650.000,22963,2,EL,1,100,-1542.800049
1759437232.607425,160717.000,22979,1,EL,1,100,-1543.199951
1759437232.673926,160783.500,22993,2,EL,1,100,-1544.800049
1759437232.740428,160850.000,22993,2,EL,1,100,-1545.400024
1759437232.807429,160917.000,23009,1,EL,1,100,-1547.000000
1759437232.873930,160983.500,23025,2,EL,1,100,-1548.599976
1759437232.940432,161050.000,23025,2,EL,1,100,-1551.599976
1759437233.007433,161117.000,23041,1,EL,1,100,-1554.199951
1759437233.073935,161183.500,23056,2,EL,1,100,-1555.800049
1759437233.140436,161250.000,23056,2,EL,1,100,-1560.000000
1759437233.207437,161317.000,23072,2,EL,1,100,-1565.599976
1759437233.274439,161384.000,23072,2,EL,1,100,-1569.199951
1759437233.340440,161450.000,23087,1,EL,1,100,-1569.400024
1759437233.407441,161517.000,23103,2,EL,1,100,-1570.400024
1759437233.474443,161584.000,23103,2,EL,1,100,-1573.800049
1759437233.540444,161650.000,23119,1,EL,1,100,-1579.400024
1759437233.607445,161717.000,23134,2,EL,1,100,-1585.000000
1759437233.674447,161784.000,23134,2,EL,1,100,-1589.400024
1759437233.740448,161850.000,23149,1,EL,1,100,-1592.000000
1759437233.807450,161917.000,23168,2,EL,1,100,-1589.400024
1759437233.874451,161984.000,23168,2,EL,1,100,-1589.599976
1759437233.940452,162050.000,23185,1,EL,1,100,-1590.400024
1759437234.007454,162117.000,23200,2,EL,1,100,-1595.000000
1759437234.074455,162184.000,23200,2,EL,1,100,-1600.400024
1759437234.140456,162250.000,23215,1,EL,1,100,-1601.400024
1759437234.207458,162317.000,23234,2,EL,1,100,-1600.000000
1759437234.274459,162384.000,23234,2,EL,1,100,-1597.599976
1759437234.340460,162450.000,23249,1,EL,1,100,-1595.199951
1759437234.407462,162517.000,23264,2,EL,1,100,-1596.800049
1759437234.474463,162584.000,23264,2,EL,1,100,-1596.400024
1759437234.540464,162650.000,23280,1,EL,1,100,-1596.000000
1759437234.606966,162716.500,23296,2,EL,1,100,-1595.599976
1759437234.673467,162783.000,23296,2,EL,1,100,-1595.800049
1759437234.740469,162850.000,23311,1,EL,1,100,-1597.400024
1759437234.806970,162916.500,23327,2,EL,1,100,-1598.599976
1759437234.873471,162983.000,23327,2,EL,1,100,-1600.599976
1759437234.940473,163050.000,23342,1,EL,1,100,-1602.199951
1759437235.006974,163116.500,23358,2,EL,1,100,-1606.800049
1759437235.073475,163183.000,23358,2,EL,1,100,-1610.199951
1759437235.140477,163250.000,23373,1,EL,1,100,-1612.199951
1759437235.206978,163316.500,23390,2,EL,1,100,-1615.400024
1759437235.273479,163383.000,23390,2,EL,1,100,-1618.400024
1759437235.340481,163450.000,23404,1,EL,1,100,-1621.800049
1759437235.406982,163516.500,23420,2,EL,1,100,-1624.800049
1759437235.473484,163583.000,23420,2,EL,1,100,-1628.199951
1759437235.540485,163650.000,23436,1,EL,1,100,-1630.800049
1759437235.606986,163716.500,23454,2,EL,1,100,-1632.599976
1759437235.673488,163783.000,23454,2,EL,1,100,-1632.400024
1759437235.740489,163850.000,23468,2,EL,1,100,-1634.000000
1759437235.807490,163917.000,23468,2,EL,1,100,-1636.599976
1759437235.873492,163983.000,23485,1,EL,1,100,-1638.400024
1759437235.940493,164050.000,23500,2,EL,1,100,-1639.400024
1759437236.007494,164117.000,23500,2,EL,1,100,-1641.000000
1759437236.073496,164183.000,23516,1,EL,1,100,-1644.000000
1759437236.140497,164250.000,23531,2,EL,1,100,-1647.400024
1759437236.207499,164317.000,23531,2,EL,1,100,-1651.199951
