LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1759437238.400543,166510.000,23878,1,T1,1,100,30.801
1759437238.533546,166643.000,23895,1,T1,1,100,30.701
1759437238.666549,166776.000,23925,1,T1,1,100,30.622
1759437238.800551,166910.000,23940,1,T1,1,100,30.695
1759437238.933554,167043.000,23959,1,T1,1,100,30.726
1759437239.066557,167176.000,23989,1,T1,1,100,30.669
1759437239.200560,167310.000,24005,1,T1,1,100,30.644
1759437239.333562,167443.000,24021,1,T1,1,100,30.704
1759437239.466565,167576.000,24052,1,T1,1,100,30.695
1759437239.600568,167710.000,24067,1,T1,1,100,30.513
1759437239.733571,167843.000,24085,1,T1,1,100,30.577
1759437239.866573,167976.000,24116,1,T1,1,100,30.746
1759437239.999576,168109.000,24131,1,T1,1,100,30.677
1759437240.133579,168243.000,24147,1,T1,1,100,30.754
1759437240.266581,168376.000,24178,1,T1,1,100,30.752
1759437240.399584,168509.000,24193,1,T1,1,100,30.751
1759437240.533587,168643.000,24210,1,T1,1,100,30.821
1759437240.666589,168776.000,24225,1,T1,1,100,30.674
1759437240.799592,168909.000,24256,1,T1,1,100,30.611
1759437240.933595,169043.000,24272,1,T1,1,100,30.619
1759437241.066598,169176.000,24287,1,T1,1,100,30.764
1759437241.199600,169309.000,24318,1,T1,1,100,30.756
1759437241.333603,169443.000,24334,1,T1,1,100,30.824
1759437241.466606,169576.000,24349,1,T1,1,100,30.746
1759437241.599609,169709.000,24380,1,T1,1,100,30.607
1759437241.733611,169843.000,24396,1,T1,1,100,30.582
1759437241.866614,169976.000,24412,1,T1,1,100,30.677
1759437241.999617,170109.000,24442,1,T1,1,100,30.612
1759437242.133620,170243.000,24458,1,T1,1,100,30.690
1759437242.266622,170376.000,24474,1,T1,1,100,30.760
1759437242.399625,170509.000,24504,1,T1,1,100,30.861
1759437242.533628,170643.000,24521,1,T1,1,100,30.762
1759437242.666630,170776.000,24536,1,T1,1,100,30.720
1759437242.799633,170909.000,24567,1,T1,1,100,30.808
1759437242.933636,171043.000,24583,1,T1,1,100,30.740
1759437243.066638,171176.000,24600,1,T1,1,100,30.852
1759437243.199641,171309.000,24616,1,T1,1,100,30.688
1759437243.332644,171442.000,24647,1,T1,1,100,30.723
1759437243.466647,171576.000,24662,1,T1,1,100,30.703
1759437243.599649,171709.000,24679,1,T1,1,100,30.765
1759437243.732652,171842.000,24711,1,T1,1,100,30.757
1759437243.866655,171976.000,24727,1,T1,1,100,30.646
