LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1759437222.663222,150773.000,21461,2,PG,1,100,7443
1759437222.703223,150813.000,21461,2,PG,1,100,7455
1759437222.743224,150853.000,21476,3,PG,1,100,7427
1759437222.783225,150893.000,21476,3,PG,1,100,7454
1759437222.823225,150933.000,21476,3,PG,1,100,7431
1759437222.863226,150973.000,21493,3,PG,1,100,7448
1759437222.903227,151013.000,21493,3,PG,1,100,7456
1759437222.943228,151053.000,21493,3,PG,1,100,7449
1759437222.983228,151093.000,21508,2,PG,1,100,7448
1759437223.023229,151133.000,21508,2,PG,1,100,7437
1759437223.063230,151173.000,21523,3,PG,1,100,7453
1759437223.103231,151213.000,21523,3,PG,1,100,7449
1759437223.143232,151253.000,21523,3,PG,1,100,7447
1759437223.183233,151293.000,21539,2,PG,1,100,7442
1759437223.223233,151333.000,21539,2,PG,1,100,7440
1759437223.263234,151373.000,21555,3,PG,1,100,7442
1759437223.303235,151413.000,21555,3,PG,1,100,7441
1759437223.343236,151453.000,21555,3,PG,1,100,7443
1759437223.383237,151493.000,21570,2,PG,1,100,7441
1759437223.423238,151533.000,21570,2,PG,1,100,7432
1759437223.463238,151573.000,21586,3,PG,1,100,7437
1759437223.503239,151613.000,21586,3,PG,1,100,7442
1759437223.543240,151653.000,21586,3,PG,1,100,7441
1759437223.583241,151693.000,21601,2,PG,1,100,7452
1759437223.623242,151733.000,21601,2,PG,1,100,7449
1759437223.663242,151773.000,21617,3,PG,1,100,7441
1759437223.703243,151813.000,21617,3,PG,1,100,7439
1759437223.743244,151853.000,21617,3,PG,1,100,7434
1759437223.783245,151893.000,21632,2,PG,1,100,7446
1759437223.823246,151933.000,21632,2,PG,1,100,7436
1759437223.863246,151973.000,21650,3,PG,1,100,7432
1759437223.903247,152013.000,21650,3,PG,1,100,7434
1759437223.943248,152053.000,21650,3,PG,1,100,7434
1759437223.983249,152093.000,21665,2,PG,1,100,7433
1759437224.023250,152133.000,21665,2,PG,1,100,7435
1759437224.063251,152173.000,21681,3,PG,1,100,7422
1759437224.103251,152213.000,21681,3,PG,1,100,7427
1759437224.143252,152253.000,21681,3,PG,1,100,7435
1759437224.183253,152293.000,21697,3,PG,1,100,7442
1759437224.223254,152333.000,21697,3,PG,1,100,7441
1759437224.263255,152373.000,21697,3,PG,1,100,7421
1759437224.303256,152413.000,21712,2,PG,1,100,7436
1759437224.343256,152453.000,21712,2,PG,1,100,7437
1759437224.383257,152493.000,21727,3,PG,1,100,7437
1759437224.423258,152533.000,21727,3,PG,1,100,7441
1759437224.463259,152573.000,21727,3,PG,1,100,7438
1759437224.503260,152613.000,21744,2,PG,1,100,7418
1759437224.543260,152653.000,21744,2,PG,1,100,7435
1759437224.583261,152693.000,21759,3,PG,1,100,7420
1759437224.623262,152733.000,21759,3,PG,1,100,7431
1759437224.663263,152773.000,21759,3,PG,1,100,7425
1759437224.702764,152812.500,21775,2,PG,1,100,7413
1759437224.742265,152852.000,21775,2,PG,1,100,7415
1759437224.782265,152892.000,21789,3,PG,1,100,7423
1759437224.822266,152932.000,21789,3,PG,1,100,7422
1759437224.862267,152972.000,21789,3,PG,1,100,7423
