LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1759437269.604180,197713.000,28707,1,SF,1,100,43.7389
1759437269.871186,197980.000,28755,1,SF,1,100,45.3152
1759437270.204193,198313.000,28802,1,SF,1,100,44.7910
1759437270.604201,198713.000,28866,1,SF,1,100,46.3551
1759437270.871206,198980.000,28915,1,SF,1,100,47.9011
1759437271.204213,199313.000,28962,1,SF,1,100,47.3470
1759437271.537220,199646.000,29010,1,SF,1,100,48.8815
1759437271.937228,200046.000,29072,1,SF,1,100,48.3161
1759437272.204233,200313.000,29120,1,SF,1,100,47.7571
1759437272.537240,200646.000,29166,1,SF,1,100,47.2047
1759437272.937248,201046.000,29230,1,SF,1,100,48.7409
1759437273.204254,201313.000,29277,1,SF,1,100,48.1770
1759437273.537261,201646.000,29326,1,SF,1,100,49.7020
1759437273.871267,201980.000,29373,1,SF,1,100,49.1270
1759437274.271276,202380.000,29437,1,SF,1,100,48.5587
1759437274.537281,202646.000,29485,1,SF,1,100,50.0792
1759437274.870288,202979.000,29532,1,SF,1,100,49.4999
1759437275.270296,203379.000,29594,1,SF,1,100,48.9273
1759437275.537301,203646.000,29643,1,SF,1,100,50.4436
1759437275.870308,203979.000,29690,1,SF,1,100,49.8600
1759437276.270316,204379.000,29752,1,SF,1,100,49.2832
1759437276.604323,204713.000,29800,1,SF,1,100,50.7954
1759437276.870329,204979.000,29848,1,SF,1,100,50.2078
1759437277.204335,205313.000,29894,1,SF,1,100,49.6270
1759437277.604344,205713.000,29956,1,SF,1,100,49.0529
1759437277.870349,205979.000,30007,1,SF,1,100,50.5677
1759437278.203356,206312.000,30055,1,SF,1,100,52.0650
1759437278.603364,206712.000,30118,1,SF,1,100,51.4627
1759437278.937371,207046.000,30169,1,SF,1,100,52.9496
1759437279.203376,207312.000,30215,1,SF,1,100,52.3371
1759437279.537383,207646.000,30264,1,SF,1,100,53.8139
1759437279.937391,208046.000,30326,1,SF,1,100,53.1914
1759437280.203397,208312.000,30373,1,SF,1,100,52.5760
1759437280.537404,208646.000,30422,1,SF,1,100,54.0501
1759437280.937412,209046.000,30484,1,SF,1,100,53.4248
1759437281.270418,209379.000,30532,1,SF,1,100,54.8891
1759437281.536424,209645.000,30580,1,SF,1,100,54.2541
1759437281.870431,209979.000,30628,1,SF,1,100,55.7087
1759437282.270439,210379.000,30692,1,SF,1,100,57.1465
1759437282.536444,210645.000,30739,1,SF,1,100,56.4855
1759437282.870451,210979.000,30787,1,SF,1,100,57.9143
1759437283.270459,211379.000,30851,1,SF,1,100,59.3266
1759437283.536465,211645.000,30899,1,SF,1,100,58.6403
1759437283.870471,211979.000,30945,1,SF,1,100,57.9619
1759437284.203478,212312.000,30996,1,SF,1,100,59.3737
1759437284.603487,212712.000,31060,1,SF,1,100,60.7691
1759437284.869492,212978.000,31109,1,SF,1,100,62.1484
1759437285.203499,213312.000,31156,1,SF,1,100,61.4294
1759437285.603507,213712.000,31218,1,SF,1,100,60.7188
1759437285.936514,214045.000,31266,1,SF,1,100,62.0987
1759437286.203519,214312.000,31314,1,SF,1,100,61.3803
1759437286.536526,214645.000,31362,1,SF,1,100,62.7525
1759437286.936534,215045.000,31424,1,SF,1,100,62.0266
1759437287.203540,215312.000,31473,1,SF,1,100,63.3913
1759437287.536546,215645.000,31521,1,SF,1,100,64.7402
1759437287.936554,216045.000,31584,1,SF,1,100,63.9913
1759437288.202560,216311.000,31633,1,SF,1,100,65.3333
1759437288.536567,216645.000,31679,1,SF,1,100,64.5775
1759437288.869574,216978.000,31728,1,SF,1,100,65.9128
1759437289.269582,217378.000,31792,1,SF,1,100,65.1503
1759437289.602588,217711.000,31841,1,SF,1,100,66.4789
1759437289.869594,217978.000,31888,1,SF,1,100,65.7098
1759437290.202601,218311.000,31934,1,SF,1,100,64.9497
1759437290.602609,218711.000,31999,1,SF,1,100,66.2806
1759437290.936616,219045.000,32046,1,SF,1,100,65.5139
1759437291.202621,219311.000,32092,1,SF,1,100,64.7560
1759437291.536628,219645.000,32141,1,SF,1,100,66.0891
1759437291.935636,220044.000,32203,1,SF,1,100,65.3246
1759437292.202642,220311.000,32250,1,SF,1,100,64.5689
1759437292.535648,220644.000,32297,1,SF,1,100,63.8220
