LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1759437224.183253,152293.000,21696,3,PR,1,100,104707
1759437224.223254,152333.000,21696,3,PR,1,100,104704
1759437224.263255,152373.000,21696,3,PR,1,100,104704
1759437224.303256,152413.000,21711,2,PR,1,100,104714
1759437224.343256,152453.000,21711,2,PR,1,100,104689
1759437224.383257,152493.000,21726,3,PR,1,100,104715
1759437224.423258,152533.000,21726,3,PR,1,100,104709
1759437224.463259,152573.000,21726,3,PR,1,100,104704
1759437224.503260,152613.000,21743,2,PR,1,100,104723
1759437224.543260,152653.000,21743,2,PR,1,100,104717
1759437224.582928,152692.667,21758,3,PR,1,100,104718
1759437224.622595,152732.333,21758,3,PR,1,100,104702
1759437224.662263,152772.000,21758,3,PR,1,100,104717
1759437224.702264,152812.000,21774,2,PR,1,100,104699
1759437224.742265,152852.000,21774,2,PR,1,100,104706
1759437224.782265,152892.000,21788,3,PR,1,100,104714
1759437224.822266,152932.000,21788,3,PR,1,100,104711
1759437224.862267,152972.000,21788,3,PR,1,100,104711
1759437224.902268,153012.000,21805,2,PR,1,100,104715
1759437224.942269,153052.000,21805,2,PR,1,100,104697
1759437224.982269,153092.000,21820,3,PR,1,100,104709
1759437225.022270,153132.000,21820,3,PR,1,100,104697
1759437225.062271,153172.000,21820,3,PR,1,100,104701
1759437225.102272,153212.000,21836,2,PR,1,100,104719
1759437225.142273,153252.000,21836,2,PR,1,100,104704
1759437225.182273,153292.000,21851,3,PR,1,100,104722
1759437225.222274,153332.000,21851,3,PR,1,100,104700
1759437225.262275,153372.000,21851,3,PR,1,100,104700
1759437225.302276,153412.000,21867,6,PR,1,100,104710
1759437225.342277,153452.000,21867,6,PR,1,100,104705
1759437225.382277,153492.000,21867,6,PR,1,100,104711
1759437225.422278,153532.000,21867,6,PR,1,100,104700
1759437225.462279,153572.000,21867,6,PR,1,100,104696
1759437225.502280,153612.000,21867,6,PR,1,100,104710
1759437225.542281,153652.000,21883,2,PR,1,100,104693
1759437225.582282,153692.000,21883,2,PR,1,100,104704
1759437225.622283,153732.000,21899,3,PR,1,100,104712
1759437225.662283,153772.000,21899,3,PR,1,100,104689
1759437225.702284,153812.000,21899,3,PR,1,100,104691
1759437225.749285,153859.000,21913,2,PR,1,100,104710
1759437225.796286,153906.000,21913,2,PR,1,100,104724
1759437225.836287,153946.000,21930,3,PR,1,100,104711
1759437225.876288,153986.000,21930,3,PR,1,100,104684
1759437225.916288,154026.000,21930,3,PR,1,100,104688
1759437225.956289,154066.000,21945,2,PR,1,100,104706
1759437225.996290,154106.000,21945,2,PR,1,100,104703
1759437226.036291,154146.000,21961,3,PR,1,100,104696
1759437226.076292,154186.000,21961,3,PR,1,100,104706
1759437226.116292,154226.000,21961,3,PR,1,100,104700
1759437226.156293,154266.000,21976,2,PR,1,100,104701
1759437226.196294,154306.000,21976,2,PR,1,100,104713
1759437226.236295,154346.000,21992,3,PR,1,100,104706
1759437226.276296,154386.000,21992,3,PR,1,100,104693
1759437226.316297,154426.000,21992,3,PR,1,100,104699
1759437226.356297,154466.000,22009,2,PR,1,100,104707
1759437226.396298,154506.000,22009,2,PR,1,100,104708
1759437226.436299,154546.000,22025,3,PR,1,100,104710
1759437226.476300,154586.000,22025,3,PR,1,100,104684
1759437226.516301,154626.000,22025,3,PR,1,100,104689
1759437226.556302,154666.000,22040,2,PR,1,100,104695
1759437226.596302,154706.000,22040,2,PR,1,100,104714
1759437226.636303,154746.000,22056,3,PR,1,100,104697
1759437226.676304,154786.000,22056,3,PR,1,100,104693
1759437226.716305,154826.000,22056,3,PR,1,100,104705
1759437226.756305,154866.000,22071,2,PR,1,100,104690
1759437226.796306,154906.000,22071,2,PR,1,100,104691
1759437226.836307,154946.000,22090,3,PR,1,100,104700
1759437226.876308,154986.000,22090,3,PR,1,100,104699
1759437226.916309,155026.000,22090,3,PR,1,100,104698
1759437226.956310,155066.000,22104,3,PR,1,100,104707
1759437226.996310,155106.000,22104,3,PR,1,100,104695
1759437227.036311,155146.000,22104,3,PR,1,100,104701
1759437227.076312,155186.000,22120,2,PR,1,100,104690
1759437227.116313,155226.000,22120,2,PR,1,100,104673
1759437227.156314,155266.000,22136,3,PR,1,100,104699
1759437227.196315,155306.000,22136,3,PR,1,100,104700
1759437227.236315,155346.000,22136,3,PR,1,100,104698
1759437227.276316,155386.000,22152,2,PR,1,100,104680
1759437227.316317,155426.000,22152,2,PR,1,100,104691
1759437227.356318,155466.000,22167,3,PR,1,100,104689
1759437227.396319,155506.000,22167,3,PR,1,100,104688
1759437227.436319,155546.000,22167,3,PR,1,100,104693
1759437227.476320,155586.000,22183,2,PR,1,100,104690
1759437227.516321,155626.000,22183,2,PR,1,100,104684
1759437227.556322,155666.000,22198,3,PR,1,100,104691
1759437227.596323,155706.000,22198,3,PR,1,100,104686
1759437227.636323,155746.000,22198,3,PR,1,100,104687
1759437227.676324,155786.000,22216,2,PR,1,100,104692
1759437227.716325,155826.000,22216,2,PR,1,100,104685
1759437227.756326,155866.000,22231,3,PR,1,100,104685
1759437227.796327,155906.000,22231,3,PR,1,100,104683
1759437227.836328,155946.000,22231,3,PR,1,100,104711
1759437227.875829,155985.500,22247,2,PR,1,100,104695
1759437227.915329,156025.000,22247,2,PR,1,100,104689
1759437227.955330,156065.000,22262,3,PR,1,100,104701
1759437227.995331,156105.000,22262,3,PR,1,100,104693
1759437228.035332,156145.000,22262,3,PR,1,100,104709
1759437228.075332,156185.000,22278,2,PR,1,100,104699
1759437228.115333,156225.000,22278,2,PR,1,100,104691
1759437228.155334,156265.000,22294,3,PR,1,100,104682
1759437228.195335,156305.000,22294,3,PR,1,100,104696
1759437228.235336,156345.000,22294,3,PR,1,100,104689
1759437228.275337,156385.000,22311,2,PR,1,100,104699
1759437228.315337,156425.000,22311,2,PR,1,100,104687
1759437228.355338,156465.000,22326,3,PR,1,100,104694
1759437228.395339,156505.000,22326,3,PR,1,100,104707
1759437228.435340,156545.000,22326,3,PR,1,100,104705
1759437228.475341,156585.000,22343,3,PR,1,100,104701
1759437228.515342,156625.000,22343,3,PR,1,100,104698
1759437228.555342,156665.000,22343,3,PR,1,100,104703
1759437228.595843,156705.500,22358,2,PR,1,100,104686
1759437228.636344,156746.000,22358,2,PR,1,100,104712
1759437228.676011,156785.667,22373,3,PR,1,100,104704
