LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1759437224.423258,152533.000,21725,3,PI,1,100,166775
1759437224.463259,152573.000,21725,3,PI,1,100,166763
1759437224.503260,152613.000,21742,2,PI,1,100,166772
1759437224.543260,152653.000,21742,2,PI,1,100,166766
1759437224.582928,152692.667,21757,3,PI,1,100,166788
1759437224.622595,152732.333,21757,3,PI,1,100,166768
1759437224.662263,152772.000,21757,3,PI,1,100,166769
1759437224.702264,152812.000,21773,2,PI,1,100,166782
1759437224.742265,152852.000,21773,2,PI,1,100,166776
1759437224.782265,152892.000,21787,3,PI,1,100,166770
1759437224.822266,152932.000,21787,3,PI,1,100,166787
1759437224.862267,152972.000,21787,3,PI,1,100,166773
1759437224.902268,153012.000,21804,2,PI,1,100,166772
1759437224.942269,153052.000,21804,2,PI,1,100,166798
1759437224.982269,153092.000,21819,3,PI,1,100,166778
1759437225.022270,153132.000,21819,3,PI,1,100,166782
1759437225.062271,153172.000,21819,3,PI,1,100,166776
1759437225.102272,153212.000,21835,2,PI,1,100,166803
1759437225.142273,153252.000,21835,2,PI,1,100,166796
1759437225.182273,153292.000,21850,3,PI,1,100,166793
1759437225.222274,153332.000,21850,3,PI,1,100,166785
1759437225.262275,153372.000,21850,3,PI,1,100,166787
1759437225.302276,153412.000,21866,6,PI,1,100,166781
1759437225.342277,153452.000,21866,6,PI,1,100,166797
1759437225.382277,153492.000,21866,6,PI,1,100,166781
1759437225.422278,153532.000,21866,6,PI,1,100,166785
1759437225.462279,153572.000,21866,6,PI,1,100,166763
1759437225.502280,153612.000,21866,6,PI,1,100,166786
1759437225.542281,153652.000,21882,2,PI,1,100,166782
1759437225.582282,153692.000,21882,2,PI,1,100,166794
1759437225.622283,153732.000,21898,3,PI,1,100,166800
1759437225.662283,153772.000,21898,3,PI,1,100,166793
1759437225.702284,153812.000,21898,3,PI,1,100,166791
1759437225.749285,153859.000,21912,2,PI,1,100,166810
1759437225.796286,153906.000,21912,2,PI,1,100,166781
1759437225.836287,153946.000,21929,3,PI,1,100,166808
1759437225.876288,153986.000,21929,3,PI,1,100,166797
1759437225.916288,154026.000,21929,3,PI,1,100,166799
1759437225.956289,154066.000,21944,2,PI,1,100,166777
1759437225.996290,154106.000,21944,2,PI,1,100,166782
1759437226.036291,154146.000,21960,3,PI,1,100,166794
1759437226.076292,154186.000,21960,3,PI,1,100,166789
1759437226.116292,154226.000,21960,3,PI,1,100,166790
1759437226.156293,154266.000,21975,2,PI,1,100,166800
1759437226.196294,154306.000,21975,2,PI,1,100,166800
1759437226.236295,154346.000,21991,3,PI,1,100,166785
1759437226.276296,154386.000,21991,3,PI,1,100,166793
1759437226.316297,154426.000,21991,3,PI,1,100,166779
1759437226.356297,154466.000,22008,2,PI,1,100,166792
1759437226.396298,154506.000,22008,2,PI,1,100,166817
1759437226.436299,154546.000,22024,3,PI,1,100,166808
1759437226.476300,154586.000,22024,3,PI,1,100,166798
1759437226.516301,154626.000,22024,3,PI,1,100,166806
1759437226.556302,154666.000,22039,2,PI,1,100,166794
1759437226.596302,154706.000,22039,2,PI,1,100,166783
1759437226.636303,154746.000,22055,3,PI,1,100,166800
1759437226.676304,154786.000,22055,3,PI,1,100,166796
1759437226.716305,154826.000,22055,3,PI,1,100,166795
1759437226.756305,154866.000,22070,2,PI,1,100,166789
1759437226.796306,154906.000,22070,2,PI,1,100,166788
1759437226.836307,154946.000,22089,3,PI,1,100,166795
1759437226.876308,154986.000,22089,3,PI,1,100,166791
1759437226.916309,155026.000,22089,3,PI,1,100,166793
1759437226.956310,155066.000,22103,3,PI,1,100,166791
1759437226.996310,155106.000,22103,3,PI,1,100,166798
1759437227.036311,155146.000,22103,3,PI,1,100,166816
1759437227.076312,155186.000,22119,2,PI,1,100,166807
1759437227.116313,155226.000,22119,2,PI,1,100,166789
1759437227.156314,155266.000,22135,3,PI,1,100,166805
1759437227.196315,155306.000,22135,3,PI,1,100,166812
1759437227.236315,155346.000,22135,3,PI,1,100,166809
1759437227.276316,155386.000,22151,2,PI,1,100,166800
1759437227.316317,155426.000,22151,2,PI,1,100,166795
1759437227.355984,155465.667,22166,3,PI,1,100,166779
1759437227.395652,155505.333,22166,3,PI,1,100,166791
1759437227.435319,155545.000,22166,3,PI,1,100,166776
1759437227.475820,155585.500,22182,2,PI,1,100,166789
1759437227.516321,155626.000,22182,2,PI,1,100,166783
1759437227.555989,155665.667,22197,3,PI,1,100,166780
1759437227.595656,155705.333,22197,3,PI,1,100,166793
1759437227.635324,155745.000,22197,3,PI,1,100,166782
1759437227.675824,155785.500,22215,2,PI,1,100,166807
1759437227.716325,155826.000,22215,2,PI,1,100,166797
1759437227.756326,155866.000,22230,3,PI,1,100,166804
1759437227.796327,155906.000,22230,3,PI,1,100,166794
1759437227.836328,155946.000,22230,3,PI,1,100,166803
1759437227.875829,155985.500,22246,2,PI,1,100,166806
1759437227.915329,156025.000,22246,2,PI,1,100,166793
1759437227.955330,156065.000,22261,3,PI,1,100,166793
1759437227.995331,156105.000,22261,3,PI,1,100,166817
1759437228.035332,156145.000,22261,3,PI,1,100,166811
1759437228.075332,156185.000,22277,2,PI,1,100,166797
1759437228.115333,156225.000,22277,2,PI,1,100,166788
1759437228.155334,156265.000,22293,3,PI,1,100,166781
1759437228.195335,156305.000,22293,3,PI,1,100,166791
1759437228.235336,156345.000,22293,3,PI,1,100,166789
1759437228.275337,156385.000,22310,2,PI,1,100,166803
1759437228.315337,156425.000,22310,2,PI,1,100,166799
1759437228.355338,156465.000,22325,3,PI,1,100,166788
1759437228.395339,156505.000,22325,3,PI,1,100,166807
1759437228.435340,156545.000,22325,3,PI,1,100,166784
1759437228.475341,156585.000,22342,3,PI,1,100,166806
1759437228.515342,156625.000,22342,3,PI,1,100,166811
1759437228.555342,156665.000,22342,3,PI,1,100,166817
1759437228.595343,156705.000,22357,2,PI,1,100,166804
1759437228.635344,156745.000,22357,2,PI,1,100,166827
1759437228.675345,156785.000,22372,3,PI,1,100,166811
1759437228.715346,156825.000,22372,3,PI,1,100,166814
1759437228.755346,156865.000,22372,3,PI,1,100,166804
1759437228.795347,156905.000,22387,2,PI,1,100,166792
1759437228.835348,156945.000,22387,2,PI,1,100,166815
1759437228.875349,156985.000,22406,3,PI,1,100,166815
1759437228.915350,157025.000,22406,3,PI,1,100,166819
1759437228.955350,157065.000,22406,3,PI,1,100,166809
1759437229.002352,157112.000,22421,2,PI,1,100,166808
1759437229.049352,157159.000,22421,2,PI,1,100,166823
1759437229.089353,157199.000,22436,2,PI,1,100,166826
1759437229.129354,157239.000,22436,2,PI,1,100,166842
1759437229.169355,157279.000,22453,4,PI,1,100,166816
1759437229.209356,157319.000,22453,4,PI,1,100,166827
1759437229.249357,157359.000,22453,4,PI,1,100,166827
1759437229.289357,157399.000,22453,4,PI,1,100,166832
1759437229.329358,157439.000,22469,3,PI,1,100,166835
1759437229.369359,157479.000,22469,3,PI,1,100,166836
1759437229.409360,157519.000,22469,3,PI,1,100,166817
1759437229.449361,157559.000,22484,2,PI,1,100,166830
1759437229.489361,157599.000,22484,2,PI,1,100,166823
1759437229.529362,157639.000,22501,3,PI,1,100,166822
1759437229.569363,157679.000,22501,3,PI,1,100,166815
1759437229.609364,157719.000,22501,3,PI,1,100,166825
1759437229.649365,157759.000,22516,2,PI,1,100,166826
1759437229.689365,157799.000,22516,2,PI,1,100,166850
1759437229.729366,157839.000,22531,3,PI,1,100,166851
1759437229.769367,157879.000,22531,3,PI,1,100,166832
1759437229.809368,157919.000,22531,3,PI,1,100,166828
1759437229.849369,157959.000,22547,2,PI,1,100,166825
1759437229.889369,157999.000,22547,2,PI,1,100,166850
1759437229.929370,158039.000,22563,3,PI,1,100,166858
1759437229.969371,158079.000,22563,3,PI,1,100,166850
1759437230.009372,158119.000,22563,3,PI,1,100,166854
1759437230.049373,158159.000,22578,2,PI,1,100,166860
1759437230.089374,158199.000,22578,2,PI,1,100,166837
1759437230.129375,158239.000,22594,3,PI,1,100,166843
1759437230.169375,158279.000,22594,3,PI,1,100,166861
1759437230.209376,158319.000,22594,3,PI,1,100,166850
1759437230.249377,158359.000,22609,3,PI,1,100,166836
1759437230.289378,158399.000,22609,3,PI,1,100,166855
1759437230.329379,158439.000,22609,3,PI,1,100,166863
1759437230.369379,158479.000,22625,2,PI,1,100,166854
1759437230.409380,158519.000,22625,2,PI,1,100,166849
1759437230.449381,158559.000,22640,3,PI,1,100,166864
1759437230.489382,158599.000,22640,3,PI,1,100,166853
1759437230.529383,158639.000,22640,3,PI,1,100,166867
1759437230.569383,158679.000,22656,2,PI,1,100,166867
1759437230.609384,158719.000,22656,2,PI,1,100,166865
1759437230.649385,158759.000,22672,3,PI,1,100,166852
1759437230.689386,158799.000,22672,3,PI,1,100,166868
1759437230.729387,158839.000,22672,3,PI,1,100,166869
1759437230.769387,158879.000,22688,2,PI,1,100,166879
1759437230.809388,158919.000,22688,2,PI,1,100,166869
1759437230.849056,158958.667,22704,3,PI,1,100,166867
1759437230.888723,158998.333,22704,3,PI,1,100,166863
1759437230.928391,159038.000,22704,3,PI,1,100,166856
1759437230.968892,159078.500,22720,2,PI,1,100,166897
1759437231.009392,159119.000,22720,2,PI,1,100,166885
1759437231.049393,159159.000,22734,3,PI,1,100,166890
1759437231.089394,159199.000,22734,3,PI,1,100,166890
1759437231.129395,159239.000,22734,3,PI,1,100,166881
1759437231.169396,159279.000,22751,2,PI,1,100,166894
1759437231.209396,159319.000,22751,2,PI,1,100,166891
1759437231.249064,159358.667,22768,3,PI,1,100,166887
1759437231.288731,159398.333,22768,3,PI,1,100,166882
1759437231.328399,159438.000,22768,3,PI,1,100,166898
1759437231.368400,159478.000,22784,2,PI,1,100,166891
1759437231.408401,159518.000,22784,2,PI,1,100,166905
1759437231.448401,159558.000,22799,3,PI,1,100,166884
1759437231.488402,159598.000,22799,3,PI,1,100,166882
1759437231.528403,159638.000,22799,3,PI,1,100,166901
1759437231.568404,159678.000,22815,3,PI,1,100,166911
1759437231.608405,159718.000,22815,3,PI,1,100,166909
1759437231.648406,159758.000,22815,3,PI,1,100,166900
1759437231.688406,159798.000,22832,2,PI,1,100,166902
1759437231.728407,159838.000,22832,2,PI,1,100,166914
1759437231.768408,159878.000,22848,3,PI,1,100,166923
1759437231.808409,159918.000,22848,3,PI,1,100,166926
1759437231.848409,159958.000,22848,3,PI,1,100,166917
1759437231.888410,159998.000,22863,2,PI,1,100,166910
1759437231.928411,160038.000,22863,2,PI,1,100,166926
1759437231.968412,160078.000,22879,3,PI,1,100,166906
1759437232.008413,160118.000,22879,3,PI,1,100,166928
1759437232.048414,160158.000,22879,3,PI,1,100,166921
1759437232.088414,160198.000,22896,2,PI,1,100,166909
1759437232.128415,160238.000,22896,2,PI,1,100,166911
1759437232.168416,160278.000,22913,3,PI,1,100,166921
1759437232.208417,160318.000,22913,3,PI,1,100,166941
1759437232.248418,160358.000,22913,3,PI,1,100,166939
1759437232.295419,160405.000,22927,2,PI,1,100,166927
1759437232.342420,160452.000,22927,2,PI,1,100,166927
1759437232.382421,160492.000,22943,2,PI,1,100,166927
1759437232.422421,160532.000,22943,2,PI,1,100,166951
1759437232.462422,160572.000,22959,3,PI,1,100,166939
1759437232.502423,160612.000,22959,3,PI,1,100,166940
1759437232.542424,160652.000,22959,3,PI,1,100,166956
1759437232.582424,160692.000,22975,3,PI,1,100,166961
1759437232.622425,160732.000,22975,3,PI,1,100,166941
1759437232.662426,160772.000,22975,3,PI,1,100,166954
1759437232.702427,160812.000,22989,2,PI,1,100,166943
1759437232.742428,160852.000,22989,2,PI,1,100,166941
1759437232.782429,160892.000,23005,3,PI,1,100,166945
