t_sec,EmotiBit_1,EmotiBit_2,EmotiBit_3,EmotiBit_4,EmotiBit_5,EmotiBit_6,EmotiBit_7
62907,67.24387707742699,65.82375190642544,64.57825003818061,72.92414277733526,76.80419631986584,74.89857809602589,63.17786713005414
62908,63.72716465755428,66.02172623044831,66.70026348600254,71.67904265781519,79.37490004352017,74.69752704143269,63.69704940207248
62909,61.53161033483025,66.47926119315528,71.55645257772434,70.04654148331278,82.4200210254337,75.15417948426094,64.08194787810625
62910,60.766360822797424,67.19635679454633,74.39804037988965,69.75305798772663,86.23463124154073,75.73826475279884,64.17828561413802
62911,60.37134957238279,68.17301303462148,74.60995582391021,70.4632589934952,90.61490681114566,76.37118162590583,64.93842050317387
62912,61.48013370626545,68.47104607486105,73.03367639592007,69.97036131517316,92.04047133327455,77.74250270662105,65.46079528425298
62913,62.95036546260269,70.32098179789446,71.3692124047302,68.84811355652059,91.59720752457712,80.29776819839103,65.00909501987773
62914,64.35820747486233,73.7228202037217,66.4350521865587,68.07246663713809,89.2851153850533,83.15986409639345,64.40140035789739
62915,65.00328710396222,75.22013027094417,63.88875934476114,67.99441425489061,85.97481844606834,84.49569344191772,63.970930618363525
62916,66.04975090518643,74.81291199956188,64.24085268953723,67.61280331059697,82.35920593221294,85.00771515182468,62.37967137695854
62917,66.29227581193396,75.75196019463449,65.62176274997424,67.77466015442948,79.61421694972282,83.49440554914561,60.98055186726974
62918,65.60124286431932,75.5471883348485,67.4166580002644,68.21561287376244,77.33832130502044,81.32319566699145,60.13135295504262
62919,66.00679527650591,74.1985964202039,68.64963605805164,69.52858157699796,76.55310852413223,79.20846867680487,59.62777697956285
62920,66.9326933438221,75.16261547209929,69.23387967523736,71.6218125180818,76.14940461020569,79.57544711101848,58.64661319156912
62921,67.21479051098383,78.4392454905347,68.75038790378468,74.21934102616407,76.33951735843722,80.99918712903941,56.79807660773798
62922,67.7244180852354,78.13367106531886,67.96056511643872,74.5602501705927,76.46526501422366,82.73813453183558,57.054157141269286
62923,69.70431190517809,76.98238572083456,65.77565067756817,74.04508150424724,77.60903120940914,83.79086889614737,59.358411456907575
62924,71.82638203981529,74.94521690589501,65.39302356544951,72.6322438856876,78.61998051483083,84.48534327746202,63.3322308790674
62925,72.43740496608379,72.02216462050022,66.35697005013135,69.94711478244876,79.89372035388593,84.47816306336608,66.28536740313427
62926,71.51135804440837,68.21322886465023,68.90944404720715,67.58055117009539,80.4872273534986,82.6119595497468,68.36144051205058
62927,70.23791955555126,67.33117154874,70.69271781324596,69.17659974260008,80.54771706097225,80.01161960437065,68.80101403144997
62928,69.45885600718124,67.03270655809118,71.5042528354255,70.77444589902737,80.08942485797057,77.94644443844092,68.58553808085968
62929,68.83521285253842,67.18309256120857,71.90450274710099,71.33546390537771,78.76159530325965,75.48789142092134,66.72882810001337
62930,68.37816066998018,67.00875220446169,70.6454064846854,71.12755988316896,76.76772634693877,72.66129859272296,65.17155447972547
62931,68.14747120164311,67.22559696588026,67.85873380057257,70.13429317214027,75.09306774076333,71.46036598091408,63.71069719453838
62932,68.37617108518518,66.64900635397562,66.1388671890121,69.19992353040483,74.68469527363727,71.31924548220259,62.629745510191505
