subject,ppg_stream,ppg_channel_1based,fs,segment,t_start,t_end,t_center,t_rel,window_s,step_s,bandpass,low_hz,high_hz
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63680.50006240324,63690.578940982996,63685.539501693114,205.81946780794533,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63681.50895915797,63691.58783773773,63686.54839844785,206.82836456267978,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63682.5178559127,63692.59673449246,63687.55729520258,207.83726131741423,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63683.52675266743,63693.60563124719,63688.56619195731,208.8461580721414,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63684.53564942216,63694.61452800192,63689.57508871204,209.85505482686858,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63685.54454617689,63695.623424756646,63690.58398546677,210.86395158160303,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63686.55344293162,63696.63232151138,63691.5928822215,211.8728483363302,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63687.56233968635,63697.64121826611,63692.601778976226,212.88174509105738,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63688.57123644108,63698.65011502084,63693.61067573096,213.89064184579183,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63689.580133195814,63699.65901177557,63694.619572485695,214.89953860052628,10.0,1.0,True,0.5,8.0
EmotiBit_6,PPG_EmotiBit_6,1,99.11816997508183,med_2,63690.58902995054,63700.667908530304,63695.62846924042,215.90843535525346,10.0,1.0,True,0.5,8.0
