LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1759437238.428574,173721.000,25354,1,SF,1,100,98.7176
1759437238.694589,173987.000,25403,1,SF,1,100,99.6579
1759437239.028608,174321.000,25454,1,SF,1,100,100.5873
1759437239.361627,174654.000,25503,1,SF,1,100,101.5060
1759437239.761649,175054.000,25565,1,SF,1,100,100.3317
1759437240.028665,175321.000,25614,1,SF,1,100,101.2533
1759437240.361683,175654.000,25663,1,SF,1,100,102.1643
1759437240.761706,176054.000,25725,1,SF,1,100,100.9824
1759437241.027721,176320.000,25776,1,SF,1,100,101.8965
1759437241.361740,176654.000,25825,1,SF,1,100,102.8000
1759437241.694759,176987.000,25873,1,SF,1,100,103.6931
1759437242.094782,177387.000,25937,1,SF,1,100,102.4935
1759437242.361797,177654.000,25987,1,SF,1,100,103.3901
1759437242.827823,178120.000,26037,1,SF,1,100,104.2764
1759437243.027835,178320.000,26070,1,SF,1,100,105.1523
1759437243.427858,178720.000,26132,1,SF,1,100,103.9359
1759437243.694873,178987.000,26183,1,SF,1,100,104.8158
1759437244.027892,179320.000,26230,1,SF,1,100,103.6033
1759437244.427914,179720.000,26296,1,SF,1,100,104.4871
1759437244.760933,180053.000,26345,1,SF,1,100,105.3606
1759437245.027948,180320.000,26393,1,SF,1,100,104.1418
1759437245.360967,180653.000,26443,1,SF,1,100,105.0193
1759437245.760990,181053.000,26505,1,SF,1,100,103.8045
1759437246.028005,181320.000,26554,1,SF,1,100,104.6859
1759437246.361024,181653.000,26602,1,SF,1,100,105.5571
1759437246.761047,182053.000,26669,1,SF,1,100,106.4183
1759437247.028062,182320.000,26720,1,SF,1,100,107.2695
1759437247.361081,182653.000,26768,1,SF,1,100,108.1108
1759437247.694100,182986.000,26815,1,SF,1,100,106.8602
1759437248.094122,183386.000,26881,1,SF,1,100,107.7063
1759437248.361138,183653.000,26930,1,SF,1,100,108.5426
1759437248.694157,183986.000,26979,1,SF,1,100,107.2870
1759437249.094179,184386.000,27045,1,SF,1,100,108.1281
1759437249.361194,184653.000,27093,1,SF,1,100,108.9595
1759437249.694213,184986.000,27143,1,SF,1,100,109.7813
1759437250.028232,185320.000,27191,1,SF,1,100,108.5114
1759437250.428255,185720.000,27257,1,SF,1,100,109.3384
1759437250.694270,185986.000,27306,1,SF,1,100,110.1558
1759437251.027289,186319.000,27356,1,SF,1,100,110.9637
1759437251.427312,186719.000,27420,1,SF,1,100,111.7624
1759437251.694327,186986.000,27470,1,SF,1,100,112.5517
1759437252.027346,187319.000,27518,1,SF,1,100,111.2497
1759437252.361365,187653.000,27567,1,SF,1,100,112.0450
1759437252.761388,188053.000,27633,1,SF,1,100,112.8311
1759437253.027403,188319.000,27682,1,SF,1,100,113.6082
1759437253.361422,188653.000,27733,1,SF,1,100,114.3762
1759437253.761444,189053.000,27795,1,SF,1,100,113.0531
1759437254.027459,189319.000,27843,1,SF,1,100,113.8275
1759437254.360478,189652.000,27893,1,SF,1,100,114.5930
1759437254.694497,189986.000,27939,1,SF,1,100,113.2674
1759437255.094520,190386.000,28003,1,SF,1,100,114.0394
1759437255.360535,190652.000,28052,1,SF,1,100,114.8024
1759437255.694554,190986.000,28098,1,SF,1,100,113.4743
1759437256.094577,191386.000,28164,1,SF,1,100,116.3262
1759437256.360592,191652.000,28212,1,SF,1,100,114.9805
1759437256.694611,191986.000,28262,1,SF,1,100,115.7327
1759437257.027630,192319.000,28313,1,SF,1,100,116.4761
1759437257.427652,192719.000,28377,1,SF,1,100,117.2110
1759437257.693668,192985.000,28428,1,SF,1,100,117.9373
1759437258.027687,193319.000,28475,1,SF,1,100,116.5730
1759437258.360705,193652.000,28527,1,SF,1,100,117.3067
1759437258.693724,193985.000,28573,1,SF,1,100,115.9497
1759437259.093747,194385.000,28637,1,SF,1,100,116.6907
1759437259.360762,194652.000,28684,1,SF,1,100,115.3408
1759437259.693781,194985.000,28732,1,SF,1,100,116.0888
1759437260.093804,195385.000,28797,1,SF,1,100,114.7458
1759437260.427823,195719.000,28846,1,SF,1,100,115.5007
