LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1759437225.682850,160976.000,23350,3,GY,1,100,0.977
1759437225.722852,161016.000,23367,2,GY,1,100,0.427
1759437225.762855,161056.000,23367,2,GY,1,100,-2.258
1759437225.802857,161096.000,23383,3,GY,1,100,0.214
1759437225.842859,161136.000,23383,3,GY,1,100,0.153
1759437225.882861,161176.000,23383,3,GY,1,100,-1.495
1759437225.922863,161216.000,23397,2,GY,1,100,-0.702
1759437225.962866,161256.000,23397,2,GY,1,100,-0.244
1759437226.002868,161296.000,23416,3,GY,1,100,-2.502
1759437226.042870,161336.000,23416,3,GY,1,100,-1.373
1759437226.082873,161376.000,23416,3,GY,1,100,1.282
1759437226.122875,161416.000,23431,3,GY,1,100,-0.702
1759437226.162877,161456.000,23431,3,GY,1,100,-0.854
1759437226.202879,161496.000,23431,3,GY,1,100,0.702
1759437226.242882,161536.000,23447,2,GY,1,100,-0.458
1759437226.282884,161576.000,23447,2,GY,1,100,-1.373
1759437226.322886,161616.000,23462,3,GY,1,100,-1.007
1759437226.362889,161656.000,23462,3,GY,1,100,-1.221
1759437226.402891,161696.000,23462,3,GY,1,100,-0.610
1759437226.449394,161742.500,23478,2,GY,1,100,-0.671
1759437226.495896,161789.000,23478,2,GY,1,100,-0.031
1759437226.535898,161829.000,23493,2,GY,1,100,-1.526
1759437226.575901,161869.000,23493,2,GY,1,100,1.312
1759437226.615903,161909.000,23510,3,GY,1,100,-0.854
1759437226.655905,161949.000,23510,3,GY,1,100,-2.594
1759437226.695907,161989.000,23510,3,GY,1,100,1.007
1759437226.735910,162029.000,23526,2,GY,1,100,-0.458
1759437226.775912,162069.000,23526,2,GY,1,100,-1.099
1759437226.815914,162109.000,23542,3,GY,1,100,-0.275
1759437226.855917,162149.000,23542,3,GY,1,100,-1.160
1759437226.895919,162189.000,23542,3,GY,1,100,-1.556
1759437226.935921,162229.000,23557,2,GY,1,100,1.556
1759437226.975923,162269.000,23557,2,GY,1,100,1.495
1759437227.015926,162309.000,23576,3,GY,1,100,-1.129
1759437227.055928,162349.000,23576,3,GY,1,100,-0.854
1759437227.095930,162389.000,23576,3,GY,1,100,-1.617
1759437227.135932,162429.000,23590,3,GY,1,100,-0.641
1759437227.175935,162469.000,23590,3,GY,1,100,-2.960
1759437227.215937,162509.000,23590,3,GY,1,100,-2.167
1759437227.255939,162549.000,23606,2,GY,1,100,-2.014
1759437227.295942,162589.000,23606,2,GY,1,100,-3.448
1759437227.335944,162629.000,23622,3,GY,1,100,-1.984
1759437227.375946,162669.000,23622,3,GY,1,100,-0.092
1759437227.415948,162709.000,23622,3,GY,1,100,-1.251
1759437227.455950,162749.000,23640,2,GY,1,100,1.465
1759437227.495953,162789.000,23640,2,GY,1,100,1.526
1759437227.535955,162829.000,23655,2,GY,1,100,-0.854
1759437227.575957,162869.000,23655,2,GY,1,100,0.336
1759437227.620627,162913.667,23671,3,GY,1,100,0.427
1759437227.665296,162958.333,23671,3,GY,1,100,-3.571
1759437227.709965,163003.000,23671,3,GY,1,100,-2.716
1759437227.749967,163043.000,23688,2,GY,1,100,-1.221
1759437227.789970,163083.000,23688,2,GY,1,100,-1.190
1759437227.829972,163123.000,23704,3,GY,1,100,-2.533
1759437227.869974,163163.000,23704,3,GY,1,100,-1.190
1759437227.909976,163203.000,23704,3,GY,1,100,1.190
1759437227.949979,163243.000,23722,3,GY,1,100,0.183
1759437227.989981,163283.000,23722,3,GY,1,100,-1.526
1759437228.029983,163323.000,23722,3,GY,1,100,-0.580
1759437228.069985,163363.000,23737,2,GY,1,100,-0.275
1759437228.109988,163403.000,23737,2,GY,1,100,-0.275
1759437228.149990,163443.000,23752,3,GY,1,100,0.366
1759437228.189992,163483.000,23752,3,GY,1,100,-0.885
1759437228.229995,163523.000,23752,3,GY,1,100,-1.373
1759437228.269997,163563.000,23770,2,GY,1,100,-0.824
1759437228.309999,163603.000,23770,2,GY,1,100,-0.549
1759437228.349668,163642.667,23786,3,GY,1,100,-0.671
1759437228.389337,163682.333,23786,3,GY,1,100,0.702
1759437228.429006,163722.000,23786,3,GY,1,100,-0.977
1759437228.469008,163762.000,23801,2,GY,1,100,-0.793
1759437228.509010,163802.000,23801,2,GY,1,100,0.519
1759437228.549013,163842.000,23816,3,GY,1,100,-0.916
1759437228.589015,163882.000,23816,3,GY,1,100,-0.183
1759437228.629017,163922.000,23816,3,GY,1,100,1.068
1759437228.669019,163962.000,23833,2,GY,1,100,-1.556
1759437228.709022,164002.000,23833,2,GY,1,100,-0.519
1759437228.756024,164049.000,23848,2,GY,1,100,0.397
1759437228.803027,164096.000,23848,2,GY,1,100,-0.854
1759437228.843029,164136.000,23863,3,GY,1,100,-0.854
1759437228.883032,164176.000,23863,3,GY,1,100,0.275
1759437228.923034,164216.000,23863,3,GY,1,100,-1.038
1759437228.963036,164256.000,23879,3,GY,1,100,-0.793
1759437229.003038,164296.000,23879,3,GY,1,100,0.122
1759437229.043041,164336.000,23879,3,GY,1,100,-1.373
1759437229.083043,164376.000,23895,2,GY,1,100,-0.458
1759437229.123045,164416.000,23895,2,GY,1,100,-0.488
1759437229.163048,164456.000,23912,3,GY,1,100,-0.427
1759437229.203050,164496.000,23912,3,GY,1,100,-0.702
1759437229.243052,164536.000,23912,3,GY,1,100,-0.732
1759437229.283054,164576.000,23927,2,GY,1,100,-0.214
1759437229.323057,164616.000,23927,2,GY,1,100,-0.610
1759437229.363059,164656.000,23945,3,GY,1,100,0.427
