LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1759437235.621414,170914.000,24921,1,T1,1,100,33.746
1759437235.755422,171048.000,24936,1,T1,1,100,33.607
1759437235.888429,171181.000,24957,1,T1,1,100,33.688
1759437236.021437,171314.000,24988,1,T1,1,100,33.688
1759437236.155445,171448.000,25003,1,T1,1,100,33.652
1759437236.288452,171581.000,25021,1,T1,1,100,33.743
1759437236.421460,171714.000,25037,1,T1,1,100,33.712
1759437236.554467,171847.000,25069,1,T1,1,100,33.627
1759437236.688475,171981.000,25086,1,T1,1,100,33.484
1759437236.821482,172114.000,25103,1,T1,1,100,33.599
1759437236.954490,172247.000,25136,1,T1,1,100,33.578
1759437237.088498,172381.000,25152,1,T1,1,100,33.534
1759437237.221505,172514.000,25167,1,T1,1,100,33.550
1759437237.354513,172647.000,25200,1,T1,1,100,33.593
1759437237.488520,172781.000,25216,1,T1,1,100,33.576
1759437237.621528,172914.000,25231,1,T1,1,100,33.604
1759437237.754535,173047.000,25264,1,T1,1,100,33.545
1759437237.888543,173181.000,25280,1,T1,1,100,33.519
1759437238.021551,173314.000,25296,1,T1,1,100,33.579
1759437238.154558,173447.000,25326,1,T1,1,100,33.605
1759437238.288566,173581.000,25344,1,T1,1,100,33.510
1759437238.421573,173714.000,25362,1,T1,1,100,33.575
1759437238.554581,173847.000,25378,1,T1,1,100,33.603
1759437238.688588,173981.000,25409,1,T1,1,100,33.687
1759437238.821596,174114.000,25426,1,T1,1,100,33.723
1759437238.954603,174247.000,25442,1,T1,1,100,33.703
1759437239.088611,174381.000,25477,1,T1,1,100,33.730
1759437239.221619,174514.000,25492,1,T1,1,100,33.635
1759437239.354626,174647.000,25509,1,T1,1,100,33.736
1759437239.487634,174780.000,25539,1,T1,1,100,33.708
1759437239.621641,174914.000,25554,1,T1,1,100,33.661
1759437239.754649,175047.000,25573,1,T1,1,100,33.605
1759437239.888657,175181.000,25603,1,T1,1,100,33.723
1759437240.021664,175314.000,25620,1,T1,1,100,33.703
1759437240.154672,175447.000,25638,1,T1,1,100,33.730
1759437240.287679,175580.000,25669,1,T1,1,100,33.635
1759437240.421687,175714.000,25684,1,T1,1,100,33.558
1759437240.554694,175847.000,25700,1,T1,1,100,33.632
1759437240.687702,175980.000,25733,1,T1,1,100,33.628
1759437240.821710,176114.000,25748,1,T1,1,100,33.697
1759437240.954717,176247.000,25764,1,T1,1,100,33.621
1759437241.087725,176380.000,25799,1,T1,1,100,33.623
1759437241.221732,176514.000,25814,1,T1,1,100,33.624
1759437241.354740,176647.000,25831,1,T1,1,100,33.589
1759437241.487747,176780.000,25846,1,T1,1,100,33.716
1759437241.621755,176914.000,25879,1,T1,1,100,33.664
1759437241.754762,177047.000,25897,1,T1,1,100,33.642
1759437241.887770,177180.000,25912,1,T1,1,100,33.739
1759437242.021778,177314.000,25945,1,T1,1,100,33.674
1759437242.154785,177447.000,25961,1,T1,1,100,33.717
1759437242.287793,177580.000,25976,1,T1,1,100,33.771
1759437242.421800,177714.000,26009,1,T1,1,100,33.688
1759437242.554808,177847.000,26025,1,T1,1,100,33.688
1759437242.687815,177980.000,26045,2,T1,1,100,33.723
1759437242.820823,178113.000,26045,2,T1,1,100,33.738
1759437242.954831,178247.000,26076,1,T1,1,100,33.639
1759437243.087838,178380.000,26091,1,T1,1,100,33.702
1759437243.220846,178513.000,26107,1,T1,1,100,33.658
1759437243.354853,178647.000,26138,1,T1,1,100,33.746
1759437243.487861,178780.000,26155,1,T1,1,100,33.642
1759437243.620868,178913.000,26173,1,T1,1,100,33.810
1759437243.754876,179047.000,26204,1,T1,1,100,33.740
1759437243.887884,179180.000,26219,1,T1,1,100,33.710
1759437244.020891,179313.000,26236,1,T1,1,100,33.697
1759437244.154899,179447.000,26268,1,T1,1,100,33.692
1759437244.287906,179580.000,26283,1,T1,1,100,33.654
1759437244.420914,179713.000,26302,1,T1,1,100,33.708
1759437244.554922,179847.000,26318,1,T1,1,100,33.767
1759437244.687929,179980.000,26351,1,T1,1,100,33.758
1759437244.820937,180113.000,26367,1,T1,1,100,33.753
1759437244.954944,180247.000,26382,1,T1,1,100,33.716
1759437245.087952,180380.000,26413,1,T1,1,100,33.629
1759437245.220959,180513.000,26433,1,T1,1,100,33.662
1759437245.354967,180647.000,26449,1,T1,1,100,33.747
1759437245.487974,180780.000,26479,1,T1,1,100,33.713
1759437245.620982,180913.000,26495,1,T1,1,100,33.628
