LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1759437231.095157,166388.000,24196,1,EA,1,100,0.041494
1759437231.161661,166454.500,24212,2,EA,1,100,0.041499
1759437231.228165,166521.000,24212,2,EA,1,100,0.041510
1759437231.295169,166588.000,24227,1,EA,1,100,0.041522
1759437231.361672,166654.500,24243,2,EA,1,100,0.041530
1759437231.428176,166721.000,24243,2,EA,1,100,0.041539
1759437231.495180,166788.000,24258,1,EA,1,100,0.041550
1759437231.561684,166854.500,24274,2,EA,1,100,0.041560
1759437231.628187,166921.000,24274,2,EA,1,100,0.041569
1759437231.695191,166988.000,24290,1,EA,1,100,0.041579
1759437231.761695,167054.500,24308,2,EA,1,100,0.041591
1759437231.828199,167121.000,24308,2,EA,1,100,0.041604
1759437231.895203,167188.000,24322,1,EA,1,100,0.041617
1759437231.961706,167254.500,24341,2,EA,1,100,0.041622
1759437232.028210,167321.000,24341,2,EA,1,100,0.041630
1759437232.095214,167388.000,24356,1,EA,1,100,0.041640
1759437232.161718,167454.500,24372,2,EA,1,100,0.041649
1759437232.228222,167521.000,24372,2,EA,1,100,0.041658
1759437232.295225,167588.000,24387,2,EA,1,100,0.041666
1759437232.362229,167655.000,24387,2,EA,1,100,0.041674
1759437232.428233,167721.000,24403,1,EA,1,100,0.041686
1759437232.495237,167788.000,24418,2,EA,1,100,0.041698
1759437232.562241,167855.000,24418,2,EA,1,100,0.041711
1759437232.628244,167921.000,24434,1,EA,1,100,0.041720
1759437232.695248,167988.000,24449,2,EA,1,100,0.041729
1759437232.762252,168055.000,24449,2,EA,1,100,0.041743
1759437232.828256,168121.000,24465,1,EA,1,100,0.041755
1759437232.895259,168188.000,24482,2,EA,1,100,0.041764
1759437232.962263,168255.000,24482,2,EA,1,100,0.041770
1759437233.028267,168321.000,24499,1,EA,1,100,0.041777
1759437233.095271,168388.000,24515,2,EA,1,100,0.041789
1759437233.162275,168455.000,24515,2,EA,1,100,0.041799
1759437233.228278,168521.000,24531,1,EA,1,100,0.041807
1759437233.295282,168588.000,24547,2,EA,1,100,0.041814
1759437233.362286,168655.000,24547,2,EA,1,100,0.041825
1759437233.428290,168721.000,24563,1,EA,1,100,0.041836
1759437233.495294,168788.000,24577,2,EA,1,100,0.041850
1759437233.562297,168855.000,24577,2,EA,1,100,0.041860
1759437233.628301,168921.000,24593,1,EA,1,100,0.041870
1759437233.695305,168988.000,24611,2,EA,1,100,0.041877
1759437233.762309,169055.000,24611,2,EA,1,100,0.041884
1759437233.828312,169121.000,24627,1,EA,1,100,0.041894
1759437233.895316,169188.000,24644,2,EA,1,100,0.041904
1759437233.962320,169255.000,24644,2,EA,1,100,0.041914
1759437234.028324,169321.000,24660,1,EA,1,100,0.041922
1759437234.094828,169387.500,24675,2,EA,1,100,0.041935
1759437234.161331,169454.000,24675,2,EA,1,100,0.041945
1759437234.228335,169521.000,24693,1,EA,1,100,0.041953
1759437234.294839,169587.500,24709,2,EA,1,100,0.041963
1759437234.361343,169654.000,24709,2,EA,1,100,0.041971
1759437234.428346,169721.000,24724,2,EA,1,100,0.041982
1759437234.495350,169788.000,24724,2,EA,1,100,0.041995
1759437234.561354,169854.000,24739,1,EA,1,100,0.042005
1759437234.628358,169921.000,24758,2,EA,1,100,0.042014
1759437234.695362,169988.000,24758,2,EA,1,100,0.042021
1759437234.761365,170054.000,24773,1,EA,1,100,0.042029
1759437234.828369,170121.000,24788,2,EA,1,100,0.042044
1759437234.895373,170188.000,24788,2,EA,1,100,0.042052
1759437234.961377,170254.000,24803,1,EA,1,100,0.042063
1759437235.028381,170321.000,24822,2,EA,1,100,0.042073
1759437235.095384,170388.000,24822,2,EA,1,100,0.042080
1759437235.161388,170454.000,24837,1,EA,1,100,0.042089
1759437235.228392,170521.000,24852,2,EA,1,100,0.042095
1759437235.295396,170588.000,24852,2,EA,1,100,0.042104
1759437235.361399,170654.000,24868,1,EA,1,100,0.042114
1759437235.428403,170721.000,24884,2,EA,1,100,0.042130
