LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1759437223.961752,159255.000,23064,2,EL,1,100,14768.200195
1759437224.028756,159322.000,23081,1,EL,1,100,14758.400391
1759437224.095760,159389.000,23098,2,EL,1,100,14746.799805
1759437224.162764,159456.000,23098,2,EL,1,100,14742.000000
1759437224.228767,159522.000,23114,1,EL,1,100,14734.599609
1759437224.295271,159588.500,23131,2,EL,1,100,14724.000000
1759437224.361775,159655.000,23131,2,EL,1,100,14717.799805
1759437224.428779,159722.000,23147,1,EL,1,100,14711.599609
1759437224.495282,159788.500,23162,2,EL,1,100,14701.000000
1759437224.561786,159855.000,23162,2,EL,1,100,14692.400391
1759437224.628790,159922.000,23180,1,EL,1,100,14684.200195
1759437224.695294,159988.500,23195,2,EL,1,100,14674.200195
1759437224.761798,160055.000,23195,2,EL,1,100,14665.000000
1759437224.828801,160122.000,23211,1,EL,1,100,14654.400391
1759437224.895305,160188.500,23230,2,EL,1,100,14641.599609
1759437224.961809,160255.000,23230,2,EL,1,100,14639.000000
1759437225.028813,160322.000,23247,1,EL,1,100,14632.000000
1759437225.095317,160388.500,23261,2,EL,1,100,14622.000000
1759437225.161820,160455.000,23261,2,EL,1,100,14613.200195
1759437225.228824,160522.000,23277,1,EL,1,100,14604.000000
1759437225.295328,160588.500,23295,2,EL,1,100,14596.400391
1759437225.361832,160655.000,23295,2,EL,1,100,14590.400391
1759437225.428835,160722.000,23311,1,EL,1,100,14583.000000
1759437225.495339,160788.500,23326,2,EL,1,100,14571.599609
1759437225.561843,160855.000,23326,2,EL,1,100,14562.799805
1759437225.628847,160922.000,23344,2,EL,1,100,14556.200195
1759437225.695851,160989.000,23344,2,EL,1,100,14547.799805
1759437225.761854,161055.000,23361,1,EL,1,100,14540.400391
1759437225.828858,161122.000,23377,2,EL,1,100,14531.200195
1759437225.895862,161189.000,23377,2,EL,1,100,14522.200195
1759437225.961866,161255.000,23392,1,EL,1,100,14514.200195
1759437226.028870,161322.000,23410,2,EL,1,100,14505.000000
1759437226.095873,161389.000,23410,2,EL,1,100,14498.200195
1759437226.161877,161455.000,23425,1,EL,1,100,14490.000000
1759437226.228881,161522.000,23441,2,EL,1,100,14482.599609
1759437226.295885,161589.000,23441,2,EL,1,100,14474.400391
1759437226.361888,161655.000,23457,1,EL,1,100,14466.599609
1759437226.428892,161722.000,23472,2,EL,1,100,14459.200195
1759437226.495896,161789.000,23472,2,EL,1,100,14452.400391
