LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1759437223.323716,158617.000,22965,3,PR,1,100,133001
1759437223.363718,158657.000,22965,3,PR,1,100,133013
1759437223.403721,158697.000,22981,2,PR,1,100,133019
1759437223.443723,158737.000,22981,2,PR,1,100,133004
1759437223.483725,158777.000,22997,3,PR,1,100,133012
1759437223.523727,158817.000,22997,3,PR,1,100,133019
1759437223.563730,158857.000,22997,3,PR,1,100,133003
1759437223.603732,158897.000,23013,2,PR,1,100,132991
1759437223.643734,158937.000,23013,2,PR,1,100,133003
1759437223.683736,158977.000,23029,3,PR,1,100,133008
1759437223.723739,159017.000,23029,3,PR,1,100,132995
1759437223.763741,159057.000,23029,3,PR,1,100,133002
1759437223.803743,159097.000,23045,2,PR,1,100,133012
1759437223.843745,159137.000,23045,2,PR,1,100,133004
1759437223.883748,159177.000,23061,3,PR,1,100,133013
1759437223.923750,159217.000,23061,3,PR,1,100,133017
1759437223.963752,159257.000,23061,3,PR,1,100,133000
1759437224.003755,159297.000,23078,2,PR,1,100,132994
1759437224.043757,159337.000,23078,2,PR,1,100,133002
1759437224.083759,159377.000,23095,2,PR,1,100,132996
1759437224.123761,159417.000,23095,2,PR,1,100,132979
1759437224.168097,159461.333,23111,3,PR,1,100,132988
1759437224.212433,159505.667,23111,3,PR,1,100,133000
1759437224.256769,159550.000,23111,3,PR,1,100,132982
1759437224.296771,159590.000,23128,3,PR,1,100,132999
1759437224.336773,159630.000,23128,3,PR,1,100,133007
1759437224.376776,159670.000,23128,3,PR,1,100,132977
1759437224.416778,159710.000,23144,2,PR,1,100,132977
1759437224.456780,159750.000,23144,2,PR,1,100,132984
1759437224.496783,159790.000,23159,3,PR,1,100,132976
1759437224.536785,159830.000,23159,3,PR,1,100,132963
1759437224.576787,159870.000,23159,3,PR,1,100,132981
1759437224.616789,159910.000,23177,2,PR,1,100,132978
1759437224.656792,159950.000,23177,2,PR,1,100,132962
1759437224.696794,159990.000,23192,3,PR,1,100,132958
1759437224.736796,160030.000,23192,3,PR,1,100,132968
1759437224.776798,160070.000,23192,3,PR,1,100,132945
1759437224.816801,160110.000,23208,2,PR,1,100,132964
1759437224.856803,160150.000,23208,2,PR,1,100,132956
1759437224.896805,160190.000,23227,3,PR,1,100,132958
1759437224.936808,160230.000,23227,3,PR,1,100,132944
