LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1759437223.736739,159030.000,23041,2,MY,1,100,-15
1759437223.776742,159070.000,23056,3,MY,1,100,-16
1759437223.816744,159110.000,23056,3,MY,1,100,-14
1759437223.856746,159150.000,23056,3,MY,1,100,-16
1759437223.896749,159190.000,23073,2,MY,1,100,-15
1759437223.936751,159230.000,23073,2,MY,1,100,-15
1759437223.976753,159270.000,23090,3,MY,1,100,-15
1759437224.016755,159310.000,23090,3,MY,1,100,-16
1759437224.056758,159350.000,23090,3,MY,1,100,-15
1759437224.096260,159389.500,23107,2,MY,1,100,-16
1759437224.135762,159429.000,23107,2,MY,1,100,-15
1759437224.180431,159473.667,23122,3,MY,1,100,-15
1759437224.225101,159518.333,23122,3,MY,1,100,-15
1759437224.269770,159563.000,23122,3,MY,1,100,-15
1759437224.309772,159603.000,23140,2,MY,1,100,-15
1759437224.349774,159643.000,23140,2,MY,1,100,-16
1759437224.389776,159683.000,23156,3,MY,1,100,-16
1759437224.429779,159723.000,23156,3,MY,1,100,-15
1759437224.469781,159763.000,23156,3,MY,1,100,-16
1759437224.509783,159803.000,23171,2,MY,1,100,-17
1759437224.549786,159843.000,23171,2,MY,1,100,-15
1759437224.589788,159883.000,23188,3,MY,1,100,-15
1759437224.629790,159923.000,23188,3,MY,1,100,-16
1759437224.669792,159963.000,23188,3,MY,1,100,-15
1759437224.709795,160003.000,23204,2,MY,1,100,-16
1759437224.749797,160043.000,23204,2,MY,1,100,-16
1759437224.789799,160083.000,23220,3,MY,1,100,-15
1759437224.829802,160123.000,23220,3,MY,1,100,-15
1759437224.869804,160163.000,23220,3,MY,1,100,-15
1759437224.909806,160203.000,23239,2,MY,1,100,-15
1759437224.949808,160243.000,23239,2,MY,1,100,-16
1759437224.989810,160283.000,23255,3,MY,1,100,-15
1759437225.029813,160323.000,23255,3,MY,1,100,-15
1759437225.069815,160363.000,23255,3,MY,1,100,-16
1759437225.109817,160403.000,23270,2,MY,1,100,-15
1759437225.149820,160443.000,23270,2,MY,1,100,-15
1759437225.189822,160483.000,23286,3,MY,1,100,-16
1759437225.229824,160523.000,23286,3,MY,1,100,-15
1759437225.269826,160563.000,23286,3,MY,1,100,-16
1759437225.316329,160609.500,23304,2,MY,1,100,-15
1759437225.362832,160656.000,23304,2,MY,1,100,-15
1759437225.402834,160696.000,23320,3,MY,1,100,-16
1759437225.442836,160736.000,23320,3,MY,1,100,-15
1759437225.482839,160776.000,23320,3,MY,1,100,-15
1759437225.522841,160816.000,23334,2,MY,1,100,-15
1759437225.562843,160856.000,23334,2,MY,1,100,-16
1759437225.602845,160896.000,23353,3,MY,1,100,-16
1759437225.642848,160936.000,23353,3,MY,1,100,-16
1759437225.682850,160976.000,23353,3,MY,1,100,-15
1759437225.722852,161016.000,23370,2,MY,1,100,-15
1759437225.762855,161056.000,23370,2,MY,1,100,-15
1759437225.802857,161096.000,23386,3,MY,1,100,-16
1759437225.842859,161136.000,23386,3,MY,1,100,-16
