t_sec,EmotiBit_1,EmotiBit_2,EmotiBit_3,EmotiBit_4,EmotiBit_5,EmotiBit_6,EmotiBit_7
63139,67.91717209796067,66.21873002962039,68.35681101773574,67.452712602204,91.32494187519164,71.2424360191606,63.14210858334688
63140,71.53918594794202,66.59477544051376,68.12899696495374,67.67626818100692,89.21747534201106,70.22041618818983,63.85771499037113
63141,76.453967758184,66.8536712269113,67.90118291217173,70.61616685023846,85.24431234647291,69.8674514655368,64.12038246457183
63142,76.99627233517552,66.52330958576393,68.00947453348005,74.4251019158535,80.02146110465938,70.79807464614854,64.60889823305334
63143,74.76999438369604,66.52565561126033,70.41789351282284,77.5332219273412,75.54146542522774,71.56027418160993,64.25118125586897
63144,71.39288586133242,66.79713069345965,73.05026212144426,78.11087756076031,73.20603394706718,72.41333128758912,61.82504689856885
63145,67.91052387452771,65.60713823739887,75.1599214934201,75.56300830256674,72.84978695470366,72.77863015043626,59.79410096673415
63146,66.18116222645816,65.33468959342453,75.66423856388609,71.32694277523902,75.41219536896718,72.00674143784057,58.79098798244793
63147,65.5504356660776,65.5191873293504,75.77944085360022,67.04826284456887,79.1854554188129,71.47035665670694,58.279487835150555
63148,66.6848630086759,65.37608910140787,73.71041971186375,64.10194459175861,84.0929977974308,71.66032391562075,58.724896624707114
63149,67.96669229666628,64.93900425645306,71.2264409917979,63.18929645517594,89.42623767668319,75.62846661516389,62.0605964436467
63150,68.35034642360563,65.97997929229147,68.34599778984793,64.80645773098954,91.76066572260194,83.05604946476835,65.4548972483407
63151,67.61973956605247,66.8338775012793,67.11645969996424,68.92421118370751,89.97547280507109,87.15339573927531,67.07493151787139
63152,68.28204600580419,66.94617962766644,67.01839741620294,73.76686483077167,86.87108397142387,86.97386021520659,66.94399825455005
63153,70.3372657428608,65.97534765406176,66.71713254347272,78.11571462210016,82.06660029213974,86.14365479365865,65.76107597200053
63154,70.49667220464184,66.06892980752879,66.5003591396903,80.66785705815053,76.30213203521483,81.53643451221896,62.825345086671426
63155,71.22445737493126,66.13039848435258,67.98909997296641,80.41880958945069,73.1515080122779,73.5246416375458,60.09517547613992
63156,68.39696557168354,64.87830625768132,71.65819482780451,76.89950291198876,70.8548223546954,70.29554292049325,58.78006330454116
63157,64.62553411029334,64.63084575537232,74.63356662163864,72.2476616649468,68.00586988639559,70.5131387206378,58.87736009418494
63158,60.72155876379355,65.60753724177418,77.37244069147775,67.72817402707221,64.48900972943724,71.57485554087768,59.99497861720501
63159,62.64056565646107,65.37859066488433,78.98757104584014,66.06836500803139,59.98941067488691,73.45366396399577,61.528911833183486
63160,67.91836280451199,64.21321255017412,78.58610068609411,67.55599020070042,53.5682417717613,76.57873416456533,63.1336189940367
63161,72.4183020393265,64.40852685231883,77.5911776592445,70.6509455436783,52.09091862434953,79.22576733209237,65.09987733603522
63162,73.52904604550994,64.55921600863427,74.46317024836863,73.1568419469458,55.55744123265157,80.12690384198879,66.66704027821461
63163,75.8361997838839,67.52313863385129,72.22395315767046,74.03210157074533,63.96780959666744,79.04876240229619,67.13884693054561
63164,76.67296370275187,73.23779782320089,70.59920003617489,72.54274408634635,72.67829331806215,77.06318687875829,66.3596689134932
63165,74.70338750254095,76.44262762560716,69.93739256071169,69.17063742105242,81.6193660939654,74.08681551327896,65.14579727827643
63166,75.64621374045853,76.12804238808327,67.68868373079009,65.43373693805754,84.92745812414226,70.44872653205425,63.60426634183078
63167,77.38559243136457,75.88719111309672,67.38207343381309,63.68366240744744,83.40715061618832,68.43681687410212,62.291119912709064
63168,75.81939545071234,72.4661378306902,66.77537463938074,64.88628629023634,78.69957969457998,68.11070578798346,60.994090506704865
63169,70.94762279850188,66.7328499559184,67.97692809765735,68.76503792971366,74.4466999616458,68.43254541081131,59.156358329528906
63170,66.07418896570888,63.78647033890356,69.35418325072438,73.09387237234263,70.76315116621593,69.54005925400934,57.85023258561991
63171,64.19341650065864,62.91273382941161,71.0949565800397,76.32750696045545,69.42531245931623,71.11541426714419,58.36731967043088
63172,65.57788052411651,62.5179698062424,71.880100333528,77.04185184416517,69.62860263335111,72.09725226637991,59.32629435546395
63173,68.39728036397611,63.160841967166085,72.12980883379223,75.6132178145047,70.22989402964119,72.3060839425118,62.47108785554385
63174,72.65161602023746,63.72033626475284,70.81024345348064,72.1131183695595,72.81086337489432,72.15162487330083,67.99895374246333
63175,76.37292330149775,63.37178581239154,69.7721754788178,68.30762616933384,78.32782740904737,72.44500204881474,73.80669871356622
63176,76.01708672476585,63.73552958357617,67.95310658829311,65.43226509037216,83.76348052016073,72.206730886901,76.09134556556688
63177,77.71928192173405,64.24282517421253,67.61347508315336,64.62975267448562,88.46247922565574,71.23552436727203,76.24681472227566
63178,78.05842032746587,64.32153594499705,67.18466352195625,65.89301957576444,91.32636512115128,70.99293591959933,74.06869571507215
63179,75.67898044095588,63.84992353410278,67.89733652758233,67.84044689593573,90.95875449781462,70.88255202542166,69.674065678123
63180,72.20361270647004,64.20709873578389,69.78492322213299,69.18868338053517,87.47225993503079,70.22022674773648,64.47957436129919
63181,69.24117323233102,65.59765539019385,71.39424652615583,69.60429095145072,82.46525834662486,69.35917717186594,61.30139508980598
63182,63.57918473656698,65.78869424954425,72.45495596380349,69.08011351487048,77.28527503301555,69.42720093234045,60.744067193304886
63183,59.338690300294424,65.42780991277725,73.18097509157673,67.30011113607311,73.41961054103197,69.36108351378239,62.663379578956686
63184,59.85179120720011,64.96533701671454,72.87434894990825,65.7374938460654,71.2713196024154,69.8986522886926,66.36812072968686
63185,59.53751045605363,66.09819537432335,70.89924000143753,65.13773251210065,72.07046203257866,70.7295678936513,69.4810537740897
63186,62.01136497883607,66.62630099965924,69.36821225862407,66.17422499660874,72.56783219421945,70.84041115085228,71.34736892213556
63187,66.58347396334693,66.9551660899394,67.71379559580899,69.6118412773694,74.99466574495906,70.75926657285554,73.0991671474058
63188,69.73864553306456,67.2715745045663,66.86794457330532,73.81130500969894,77.99665367077185,70.6391532355009,73.96105865296278
63189,72.9568222898504,67.6515996017121,66.25055688495577,76.4910623798005,82.01775669953744,70.33998066026177,73.75149461718544
63190,77.15446687622428,67.87124358007263,65.94903380875981,76.96970102006878,84.70167439369584,69.52114146636544,73.52547242286593
63191,77.72214578681837,67.72139211262026,66.18053031439504,75.49901755842905,89.48144609669524,68.79747279312508,73.24960377900781
63192,73.32301256659926,67.58161990603203,67.81032488255786,71.50881076242567,92.19805259995746,68.65387341813634,71.40992102524262
63193,69.28811892141911,67.33645535811257,69.24567656441509,66.82528581182753,92.06552272176664,69.64223500905867,68.1248183359454
