t_start,t_end,t_center,sync
63476,63506,63491.0,-0.021939834544497303
63477,63507,63492.0,-0.048439840890945995
63478,63508,63493.0,-0.07763779375979066
63479,63509,63494.0,-0.07129591222425816
63480,63510,63495.0,-0.06569180866512031
63481,63511,63496.0,-0.02333911770172014
63482,63512,63497.0,-0.05940408298301837
63483,63513,63498.0,-0.04229777118638615
63484,63514,63499.0,-0.09763278487738992
63485,63515,63500.0,-0.13355063640521825
63486,63516,63501.0,-0.17538569224413775
63487,63517,63502.0,-0.18286728854256676
63488,63518,63503.0,-0.1449006209663772
63489,63519,63504.0,-0.1964494713797365
63490,63520,63505.0,-0.18344684966251937
63491,63521,63506.0,-0.1813820940294692
63492,63522,63507.0,-0.19229671224357642
63493,63523,63508.0,-0.17639363275005587
63494,63524,63509.0,-0.16797748153625108
63495,63525,63510.0,-0.15864245488828313
63496,63526,63511.0,-0.16589337659009729
63497,63527,63512.0,-0.18127643009848385
63498,63528,63513.0,-0.17646617907129294
63499,63529,63514.0,-0.12646282453916147
63500,63530,63515.0,-0.05741591556727654
63501,63531,63516.0,-0.054820709479038
63502,63532,63517.0,-0.0035364965498856913
63503,63533,63518.0,0.01148501689521334
63504,63534,63519.0,0.0185446977802923
63505,63535,63520.0,0.001597570952922856
63506,63536,63521.0,-0.0071082185020272986
63507,63537,63522.0,0.02172302442330991
63508,63538,63523.0,0.08145557765991475
63509,63539,63524.0,0.08255205972285329
63510,63540,63525.0,0.031288512786659346
63511,63541,63526.0,-0.0014312263117859157
63512,63542,63527.0,0.007969014799319548
63513,63543,63528.0,0.02720024042416318
63514,63544,63529.0,0.017413046536677242
63515,63545,63530.0,0.01883216135174465
63516,63546,63531.0,-0.0362467076797819
63517,63547,63532.0,0.06618906513707878
63518,63548,63533.0,0.059066901950036874
63519,63549,63534.0,0.04449256859832572
63520,63550,63535.0,0.021776730868227717
63521,63551,63536.0,-0.012036197821098172
63522,63552,63537.0,-0.002556940948509426
63523,63553,63538.0,0.08187635667708229
63524,63554,63539.0,0.13216606164136865
63525,63555,63540.0,0.07699698543174067
63526,63556,63541.0,0.03339996800149542
63527,63557,63542.0,-0.025553152889918426
63528,63558,63543.0,-0.05824611956541064
63529,63559,63544.0,-0.002901720522317674
63530,63560,63545.0,-0.05748476440453361
63531,63561,63546.0,-0.10399892530206539
63532,63562,63547.0,-0.08556527782870699
63533,63563,63548.0,-0.048984722801752055
63534,63564,63549.0,0.01537403343574132
63535,63565,63550.0,0.04435323396287142
63536,63566,63551.0,0.04849764663164351
63537,63567,63552.0,0.020735560927333724
63538,63568,63553.0,-0.025374641108716085
63539,63569,63554.0,-0.06293466009789651
63540,63570,63555.0,-0.03344823722247374
63541,63571,63556.0,0.016799459009499102
63542,63572,63557.0,0.0021349962642260097
63543,63573,63558.0,-0.0072696766295906046
63544,63574,63559.0,0.0002277476956241294
63545,63575,63560.0,0.00858729876488198
63546,63576,63561.0,0.00115373098331408
63547,63577,63562.0,-0.028203454965119102
63548,63578,63563.0,-0.009104505590008603
63549,63579,63564.0,-0.10379076146168495
63550,63580,63565.0,-0.1477731217768148
63551,63581,63566.0,-0.13695099992873616
63552,63582,63567.0,-0.06872836653590392
63553,63583,63568.0,-0.08242784190709354
63554,63584,63569.0,-0.043860553551930886
63555,63585,63570.0,-0.013869247376027379
63556,63586,63571.0,-0.006077846781113409
63557,63587,63572.0,-0.05093094867638172
63558,63588,63573.0,-0.07974138894752922
63559,63589,63574.0,-0.053811085284047926
63560,63590,63575.0,-0.09290121301165895
63561,63591,63576.0,-0.07710358647900428
63562,63592,63577.0,-0.061700076224657854
63563,63593,63578.0,-0.05788850761770983
63564,63594,63579.0,-0.04072399274955558
63565,63595,63580.0,-0.009214283812344974
63566,63596,63581.0,-0.03413821120481304
63567,63597,63582.0,-0.029310505963973003
63568,63598,63583.0,-0.029270629818050738
63569,63599,63584.0,-0.11974399812734099
63570,63600,63585.0,-0.1580918942094039
63571,63601,63586.0,-0.06599073208685623
63572,63602,63587.0,-0.07838360897403103
63573,63603,63588.0,-0.03042675694373472
63574,63604,63589.0,0.029402303160081956
