LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1032484.243820,1032484.243819,1760462414.056628,95050.000,12599,1,T1,1,100,31.143
1032484.377830,1032484.377829,1760462414.190638,95184.000,12614,1,T1,1,100,31.204
1032484.510840,1032484.510839,1760462414.323648,95317.000,12645,1,T1,1,100,31.124
1032484.643850,1032484.643848,1760462414.456659,95450.000,12661,1,T1,1,100,31.231
1032484.777860,1032484.777859,1760462414.590669,95584.000,12677,1,T1,1,100,31.242
1032484.910870,1032484.910868,1760462414.723679,95717.000,12710,1,T1,1,100,31.211
1032485.043880,1032485.043878,1760462414.856689,95850.000,12726,1,T1,1,100,31.091
1032485.176890,1032485.176888,1760462414.989700,95983.000,12742,1,T1,1,100,31.217
1032485.310900,1032485.310898,1760462415.123710,96117.000,12773,1,T1,1,100,31.200
1032485.443910,1032485.443908,1760462415.256720,96250.000,12789,1,T1,1,100,31.264
1032485.576920,1032485.576918,1760462415.389731,96383.000,12805,1,T1,1,100,31.185
1032485.710930,1032485.710928,1760462415.523741,96517.000,12835,1,T1,1,100,31.186
1032485.843940,1032485.843938,1760462415.656751,96650.000,12852,1,T1,1,100,31.258
1032485.976950,1032485.976948,1760462415.789762,96783.000,12869,1,T1,1,100,31.253
1032486.110960,1032486.110958,1760462415.923772,96917.000,12885,1,T1,1,100,31.181
1032486.243970,1032486.243968,1760462416.056782,97050.000,12918,1,T1,1,100,31.185
1032486.376980,1032486.376978,1760462416.189792,97183.000,12933,1,T1,1,100,31.186
1032486.510990,1032486.510988,1760462416.323803,97317.000,12950,1,T1,1,100,31.187
1032486.644000,1032486.643998,1760462416.456813,97450.000,12982,1,T1,1,100,31.187
1032486.777010,1032486.777008,1760462416.589823,97583.000,12997,1,T1,1,100,31.187
1032486.911020,1032486.911018,1760462416.723834,97717.000,13014,1,T1,1,100,31.223
1032487.044030,1032487.044028,1760462416.856844,97850.000,13044,1,T1,1,100,31.203
1032487.177040,1032487.177038,1760462416.989854,97983.000,13062,1,T1,1,100,31.194
1032487.311050,1032487.311048,1760462417.123865,98117.000,13078,1,T1,1,100,31.261
1032487.444060,1032487.444058,1760462417.256875,98250.000,13109,1,T1,1,100,31.255
1032487.577070,1032487.577068,1760462417.389885,98383.000,13124,1,T1,1,100,31.146
1032487.711080,1032487.711078,1760462417.523896,98517.000,13140,1,T1,1,100,31.276
1032487.844089,1032487.844088,1760462417.656906,98650.000,13173,1,T1,1,100,31.332
1032487.977099,1032487.977098,1760462417.789916,98783.000,13188,1,T1,1,100,31.392
1032488.111109,1032488.111108,1760462417.923926,98917.000,13204,1,T1,1,100,31.418
1032488.244119,1032488.244118,1760462418.056937,99050.000,13241,1,T1,1,100,31.429
1032488.377129,1032488.377128,1760462418.189947,99183.000,13256,1,T1,1,100,31.434
1032488.510139,1032488.510138,1760462418.322957,99316.000,13273,1,T1,1,100,31.400
1032488.644149,1032488.644148,1760462418.456968,99450.000,13288,1,T1,1,100,31.421
1032488.777159,1032488.777158,1760462418.589978,99583.000,13318,1,T1,1,100,31.360
1032488.910169,1032488.910167,1760462418.722988,99716.000,13335,1,T1,1,100,31.333
1032489.044179,1032489.044178,1760462418.856998,99850.000,13350,1,T1,1,100,31.392
1032489.177189,1032489.177187,1760462418.990009,99983.000,13381,1,T1,1,100,31.489
1032489.310199,1032489.310197,1760462419.123019,100116.000,13397,1,T1,1,100,31.318
1032489.444209,1032489.444207,1760462419.257029,100250.000,13416,1,T1,1,100,31.279
1032489.577219,1032489.577217,1760462419.390040,100383.000,13447,1,T1,1,100,31.334
1032489.710229,1032489.710227,1760462419.523050,100516.000,13463,1,T1,1,100,31.322
1032489.844239,1032489.844237,1760462419.657060,100650.000,13479,1,T1,1,100,31.423
1032489.977249,1032489.977247,1760462419.790071,100783.000,13511,1,T1,1,100,31.431
1032490.110259,1032490.110257,1760462419.923081,100916.000,13527,1,T1,1,100,31.435
1032490.244269,1032490.244267,1760462420.057091,101050.000,13543,1,T1,1,100,31.365
1032490.377279,1032490.377277,1760462420.190101,101183.000,13575,1,T1,1,100,31.371
1032490.510289,1032490.510287,1760462420.323112,101316.000,13592,1,T1,1,100,31.302
1032490.644299,1032490.644297,1760462420.457122,101450.000,13607,1,T1,1,100,31.485
1032490.777309,1032490.777307,1760462420.590132,101583.000,13623,1,T1,1,100,31.387
1032490.910319,1032490.910317,1760462420.723142,101716.000,13654,1,T1,1,100,31.345
1032491.044329,1032491.044327,1760462420.857153,101850.000,13671,1,T1,1,100,31.327
1032491.177339,1032491.177337,1760462420.990163,101983.000,13687,1,T1,1,100,31.567
1032491.310349,1032491.310347,1760462421.123173,102116.000,13720,1,T1,1,100,31.387
1032491.444359,1032491.444357,1760462421.257184,102250.000,13735,1,T1,1,100,31.487
1032491.577369,1032491.577367,1760462421.390194,102383.000,13754,1,T1,1,100,31.388
1032491.710379,1032491.710377,1760462421.523204,102516.000,13784,1,T1,1,100,31.381
1032491.844389,1032491.844387,1760462421.657215,102650.000,13800,1,T1,1,100,31.519
1032491.977399,1032491.977397,1760462421.790225,102783.000,13818,1,T1,1,100,31.508
1032492.110409,1032492.110407,1760462421.923235,102916.000,13851,1,T1,1,100,31.539
