LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1032505.316896,1032505.316894,1760462435.129755,116121.500,15938,2,EA,1,100,0.135028
1032505.383401,1032505.383399,1760462435.196260,116188.000,15938,2,EA,1,100,0.134983
1032505.450406,1032505.450404,1760462435.263265,116255.000,15953,1,EA,1,100,0.134936
1032505.516911,1032505.516909,1760462435.329770,116321.500,15970,2,EA,1,100,0.134897
1032505.583416,1032505.583414,1760462435.396276,116388.000,15970,2,EA,1,100,0.134842
1032505.650421,1032505.650419,1760462435.463281,116455.000,15985,1,EA,1,100,0.134795
1032505.716926,1032505.716924,1760462435.529786,116521.500,16000,2,EA,1,100,0.134763
1032505.783431,1032505.783429,1760462435.596291,116588.000,16000,2,EA,1,100,0.134703
1032505.850436,1032505.850434,1760462435.663296,116655.000,16018,1,EA,1,100,0.134638
1032505.916941,1032505.916939,1760462435.729801,116721.500,16034,2,EA,1,100,0.134612
1032505.983446,1032505.983444,1760462435.796306,116788.000,16034,2,EA,1,100,0.134562
1032506.050451,1032506.050449,1760462435.863312,116855.000,16049,1,EA,1,100,0.134515
1032506.116956,1032506.116954,1760462435.929817,116921.500,16065,2,EA,1,100,0.134489
1032506.183461,1032506.183459,1760462435.996322,116988.000,16065,2,EA,1,100,0.134450
1032506.250466,1032506.250464,1760462436.063327,117055.000,16082,1,EA,1,100,0.134409
1032506.316971,1032506.316969,1760462436.129832,117121.500,16098,2,EA,1,100,0.134390
1032506.383476,1032506.383474,1760462436.196337,117188.000,16098,2,EA,1,100,0.134359
1032506.450481,1032506.450479,1760462436.263342,117255.000,16113,1,EA,1,100,0.134336
1032506.516986,1032506.516984,1760462436.329848,117321.500,16129,2,EA,1,100,0.134328
1032506.583491,1032506.583489,1760462436.396353,117388.000,16129,2,EA,1,100,0.134312
1032506.650496,1032506.650494,1760462436.463358,117455.000,16144,1,EA,1,100,0.134279
1032506.717001,1032506.716999,1760462436.529863,117521.500,16162,2,EA,1,100,0.134237
1032506.783506,1032506.783504,1760462436.596368,117588.000,16162,2,EA,1,100,0.134188
1032506.850511,1032506.850509,1760462436.663373,117655.000,16178,1,EA,1,100,0.134154
1032506.917016,1032506.917014,1760462436.729878,117721.500,16193,2,EA,1,100,0.134118
1032506.983521,1032506.983519,1760462436.796384,117788.000,16193,2,EA,1,100,0.134100
1032507.050526,1032507.050524,1760462436.863389,117855.000,16208,1,EA,1,100,0.134097
1032507.117031,1032507.117029,1760462436.929894,117921.500,16225,2,EA,1,100,0.134071
1032507.183536,1032507.183534,1760462436.996399,117988.000,16225,2,EA,1,100,0.133996
1032507.250541,1032507.250539,1760462437.063404,118055.000,16240,1,EA,1,100,0.133970
1032507.317046,1032507.317044,1760462437.129909,118121.500,16258,2,EA,1,100,0.133970
1032507.383551,1032507.383549,1760462437.196414,118188.000,16258,2,EA,1,100,0.133950
1032507.450056,1032507.450054,1760462437.262920,118254.500,16273,2,EA,1,100,0.133924
1032507.516561,1032507.516559,1760462437.329425,118321.000,16273,2,EA,1,100,0.133908
1032507.583566,1032507.583564,1760462437.396430,118388.000,16289,1,EA,1,100,0.133870
1032507.650071,1032507.650069,1760462437.462935,118454.500,16304,2,EA,1,100,0.133839
1032507.716576,1032507.716574,1760462437.529440,118521.000,16304,2,EA,1,100,0.133797
1032507.783581,1032507.783579,1760462437.596445,118588.000,16320,1,EA,1,100,0.133774
1032507.850086,1032507.850084,1760462437.662951,118654.500,16335,2,EA,1,100,0.133759
1032507.916591,1032507.916589,1760462437.729456,118721.000,16335,2,EA,1,100,0.133735
1032507.983596,1032507.983594,1760462437.796461,118788.000,16354,2,EA,1,100,0.133699
1032508.050601,1032508.050599,1760462437.863466,118855.000,16354,2,EA,1,100,0.133663
1032508.116605,1032508.116604,1760462437.929471,118921.000,16370,1,EA,1,100,0.133648
1032508.183610,1032508.183609,1760462437.996476,118988.000,16388,2,EA,1,100,0.133635
1032508.250616,1032508.250614,1760462438.063482,119055.000,16388,2,EA,1,100,0.133599
1032508.317120,1032508.317119,1760462438.129987,119121.500,16406,2,EA,1,100,0.133543
1032508.383625,1032508.383624,1760462438.196492,119188.000,16406,2,EA,1,100,0.133496
1032508.450630,1032508.450629,1760462438.263497,119255.000,16421,1,EA,1,100,0.133473
1032508.517135,1032508.517134,1760462438.330002,119321.500,16437,2,EA,1,100,0.133458
1032508.583640,1032508.583638,1760462438.396507,119388.000,16437,2,EA,1,100,0.133455
1032508.650645,1032508.650644,1760462438.463512,119455.000,16452,1,EA,1,100,0.133450
1032508.717150,1032508.717148,1760462438.530018,119521.500,16468,2,EA,1,100,0.133417
1032508.783655,1032508.783653,1760462438.596523,119588.000,16468,2,EA,1,100,0.133381
1032508.850660,1032508.850658,1760462438.663528,119655.000,16485,1,EA,1,100,0.133376
1032508.917165,1032508.917163,1760462438.730033,119721.500,16504,2,EA,1,100,0.133350
1032508.983670,1032508.983668,1760462438.796538,119788.000,16504,2,EA,1,100,0.133325
1032509.050675,1032509.050673,1760462438.863543,119855.000,16519,1,EA,1,100,0.133309
1032509.117180,1032509.117178,1760462438.930048,119921.500,16536,2,EA,1,100,0.133271
1032509.183685,1032509.183683,1760462438.996553,119988.000,16536,2,EA,1,100,0.133250
1032509.250690,1032509.250688,1760462439.063559,120055.000,16551,1,EA,1,100,0.133230
1032509.317195,1032509.317193,1760462439.130064,120121.500,16566,2,EA,1,100,0.133202
1032509.383700,1032509.383698,1760462439.196569,120188.000,16566,2,EA,1,100,0.133169
1032509.450705,1032509.450703,1760462439.263574,120255.000,16581,1,EA,1,100,0.133146
1032509.517210,1032509.517208,1760462439.330079,120321.500,16600,2,EA,1,100,0.133135
1032509.583715,1032509.583713,1760462439.396585,120388.000,16600,2,EA,1,100,0.133135
1032509.650720,1032509.650718,1760462439.463590,120455.000,16615,1,EA,1,100,0.133110
1032509.717225,1032509.717223,1760462439.530095,120521.500,16630,2,EA,1,100,0.133082
1032509.783730,1032509.783728,1760462439.596600,120588.000,16630,2,EA,1,100,0.133061
1032509.850735,1032509.850733,1760462439.663605,120655.000,16647,1,EA,1,100,0.133059
1032509.917240,1032509.917238,1760462439.730110,120721.500,16665,2,EA,1,100,0.133044
1032509.983745,1032509.983743,1760462439.796615,120788.000,16665,2,EA,1,100,0.133021
