LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1032578.048835,1032578.048832,1760462507.861871,188848.000,27650,1,SA,1,100,0.001048
1032578.848895,1032578.848892,1760462508.661933,189648.000,27716,1,SA,1,100,0.000080
1032579.448940,1032579.448937,1760462509.261979,190248.000,27806,1,SA,1,100,0.000101
1032579.915975,1032579.915972,1760462509.729015,190715.000,27888,1,SA,1,100,0.000037
1032580.382010,1032580.382007,1760462510.195051,191181.000,27972,1,SA,1,100,0.000027
1032581.382084,1032581.382082,1760462511.195128,192181.000,28119,1,SA,1,100,0.000008
1032581.715109,1032581.715107,1760462511.528154,192514.000,28232,1,SA,1,100,0.000280
1032582.382159,1032582.382157,1760462512.195206,193181.000,28283,1,SA,1,100,0.000027
1032583.249224,1032583.249221,1760462513.062273,194048.000,28493,1,SA,1,100,0.001042
1032584.715334,1032584.715331,1760462514.528386,195514.000,28719,1,SA,1,100,0.000447
1032585.315379,1032585.315376,1760462515.128432,196114.000,28786,1,SA,1,100,0.000289
1032586.115438,1032586.115436,1760462515.928494,196914.000,28914,1,SA,1,100,0.000190
1032587.181518,1032587.181515,1760462516.994576,197980.000,29123,1,SA,1,100,0.000270
1032587.914573,1032587.914570,1760462517.727633,198713.000,29189,1,SA,1,100,0.000119
1032588.781638,1032588.781635,1760462518.594700,199580.000,29336,1,SA,1,100,0.000079
1032589.114663,1032589.114660,1760462518.927726,199913.000,29370,1,SA,1,100,0.000054
1032590.048733,1032590.048730,1760462519.861798,200847.000,29532,1,SA,1,100,0.000068
1032590.514767,1032590.514765,1760462520.327834,201313.000,29693,1,SA,1,100,0.000279
1032591.381832,1032591.381829,1760462521.194901,202180.000,29775,1,SA,1,100,0.000157
