LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1032503.345249,1032503.345247,1760462433.158103,114150.000,15618,10,PG,1,100,7529
1032503.354977,1032503.354975,1760462433.167831,114159.727,15635,11,PG,1,100,7527
1032503.364705,1032503.364703,1760462433.177559,114169.455,15635,11,PG,1,100,7549
1032503.374433,1032503.374431,1760462433.187287,114179.182,15635,11,PG,1,100,7529
1032503.384161,1032503.384159,1760462433.197015,114188.909,15635,11,PG,1,100,7536
1032503.393889,1032503.393887,1760462433.206743,114198.636,15635,11,PG,1,100,7536
1032503.403617,1032503.403615,1760462433.216471,114208.364,15635,11,PG,1,100,7520
1032503.413345,1032503.413343,1760462433.226199,114218.091,15635,11,PG,1,100,7523
1032503.423073,1032503.423071,1760462433.235927,114227.818,15635,11,PG,1,100,7536
1032503.432801,1032503.432799,1760462433.245655,114237.545,15635,11,PG,1,100,7553
1032503.442529,1032503.442527,1760462433.255383,114247.273,15635,11,PG,1,100,7511
1032503.452257,1032503.452255,1760462433.265111,114257.000,15635,11,PG,1,100,7573
1032503.462591,1032503.462589,1760462433.275445,114267.333,15652,9,PG,1,100,7527
1032503.472925,1032503.472923,1760462433.285779,114277.667,15652,9,PG,1,100,7551
1032503.483259,1032503.483257,1760462433.296113,114288.000,15652,9,PG,1,100,7557
1032503.493593,1032503.493591,1760462433.306448,114298.333,15652,9,PG,1,100,7536
1032503.503927,1032503.503925,1760462433.316782,114308.667,15652,9,PG,1,100,7550
1032503.514261,1032503.514259,1760462433.327116,114319.000,15652,9,PG,1,100,7549
1032503.524595,1032503.524594,1760462433.337450,114329.333,15652,9,PG,1,100,7560
1032503.534930,1032503.534928,1760462433.347784,114339.667,15652,9,PG,1,100,7552
1032503.545264,1032503.545262,1760462433.358118,114350.000,15652,9,PG,1,100,7553
1032503.554992,1032503.554990,1760462433.367846,114359.727,15666,11,PG,1,100,7536
1032503.564720,1032503.564718,1760462433.377574,114369.455,15666,11,PG,1,100,7567
1032503.574448,1032503.574446,1760462433.387302,114379.182,15666,11,PG,1,100,7574
1032503.584176,1032503.584174,1760462433.397030,114388.909,15666,11,PG,1,100,7564
1032503.593904,1032503.593902,1760462433.406758,114398.636,15666,11,PG,1,100,7584
1032503.603632,1032503.603630,1760462433.416486,114408.364,15666,11,PG,1,100,7553
1032503.613360,1032503.613358,1760462433.426214,114418.091,15666,11,PG,1,100,7535
1032503.623088,1032503.623086,1760462433.435942,114427.818,15666,11,PG,1,100,7559
1032503.632816,1032503.632814,1760462433.445670,114437.545,15666,11,PG,1,100,7529
1032503.642544,1032503.642542,1760462433.455398,114447.273,15666,11,PG,1,100,7566
1032503.652272,1032503.652270,1760462433.465127,114457.000,15666,11,PG,1,100,7554
1032503.662872,1032503.662871,1760462433.475727,114467.600,15682,10,PG,1,100,7527
1032503.673473,1032503.673471,1760462433.486328,114478.200,15682,10,PG,1,100,7535
1032503.684074,1032503.684072,1760462433.496929,114488.800,15682,10,PG,1,100,7499
1032503.694675,1032503.694673,1760462433.507530,114499.400,15682,10,PG,1,100,7524
1032503.705276,1032503.705274,1760462433.518131,114510.000,15682,10,PG,1,100,7513
1032503.715876,1032503.715875,1760462433.528731,114520.600,15682,10,PG,1,100,7542
1032503.726477,1032503.726475,1760462433.539332,114531.200,15682,10,PG,1,100,7487
1032503.737078,1032503.737076,1760462433.549933,114541.800,15682,10,PG,1,100,7518
1032503.747679,1032503.747677,1760462433.560534,114552.400,15682,10,PG,1,100,7504
1032503.758280,1032503.758278,1760462433.571135,114563.000,15682,10,PG,1,100,7501
1032503.767680,1032503.767678,1760462433.580535,114572.400,15698,10,PG,1,100,7471
1032503.777081,1032503.777079,1760462433.589936,114581.800,15698,10,PG,1,100,7527
1032503.786482,1032503.786480,1760462433.599337,114591.200,15698,10,PG,1,100,7507
1032503.795882,1032503.795881,1760462433.608737,114600.600,15698,10,PG,1,100,7510
1032503.805283,1032503.805281,1760462433.618138,114610.000,15698,10,PG,1,100,7513
1032503.814684,1032503.814682,1760462433.627539,114619.400,15698,10,PG,1,100,7479
1032503.824084,1032503.824083,1760462433.636940,114628.800,15698,10,PG,1,100,7518
1032503.833485,1032503.833483,1760462433.646340,114638.200,15698,10,PG,1,100,7502
1032503.842886,1032503.842884,1760462433.655741,114647.600,15698,10,PG,1,100,7533
1032503.852287,1032503.852285,1760462433.665142,114657.000,15698,10,PG,1,100,7505
1032503.862887,1032503.862886,1760462433.675743,114667.600,15716,10,PG,1,100,7509
1032503.873488,1032503.873486,1760462433.686343,114678.200,15716,10,PG,1,100,7514
1032503.884089,1032503.884087,1760462433.696944,114688.800,15716,10,PG,1,100,7519
1032503.894690,1032503.894688,1760462433.707545,114699.400,15716,10,PG,1,100,7500
1032503.905291,1032503.905289,1760462433.718146,114710.000,15716,10,PG,1,100,7543
1032503.915891,1032503.915889,1760462433.728747,114720.600,15716,10,PG,1,100,7533
1032503.926492,1032503.926490,1760462433.739347,114731.200,15716,10,PG,1,100,7536
1032503.937093,1032503.937091,1760462433.749949,114741.800,15716,10,PG,1,100,7540
1032503.947694,1032503.947692,1760462433.760549,114752.400,15716,10,PG,1,100,7537
1032503.958295,1032503.958293,1760462433.771150,114763.000,15716,10,PG,1,100,7524
1032503.968629,1032503.968627,1760462433.781484,114773.333,15730,9,PG,1,100,7508
1032503.978963,1032503.978961,1760462433.791818,114783.667,15730,9,PG,1,100,7560
1032503.989297,1032503.989295,1760462433.802152,114794.000,15730,9,PG,1,100,7505
1032503.999631,1032503.999629,1760462433.812487,114804.333,15730,9,PG,1,100,7523
1032504.009965,1032504.009963,1760462433.822821,114814.667,15730,9,PG,1,100,7523
1032504.020299,1032504.020297,1760462433.833155,114825.000,15730,9,PG,1,100,7548
1032504.030633,1032504.030631,1760462433.843489,114835.333,15730,9,PG,1,100,7522
1032504.040967,1032504.040966,1760462433.853823,114845.667,15730,9,PG,1,100,7539
1032504.051301,1032504.051300,1760462433.864157,114856.000,15730,9,PG,1,100,7539
1032504.061029,1032504.061028,1760462433.873885,114865.727,15746,11,PG,1,100,7561
1032504.070757,1032504.070756,1760462433.883613,114875.455,15746,11,PG,1,100,7534
1032504.080485,1032504.080484,1760462433.893341,114885.182,15746,11,PG,1,100,7540
1032504.090213,1032504.090212,1760462433.903069,114894.909,15746,11,PG,1,100,7535
1032504.099941,1032504.099940,1760462433.912797,114904.636,15746,11,PG,1,100,7546
1032504.109669,1032504.109668,1760462433.922525,114914.364,15746,11,PG,1,100,7573
1032504.119397,1032504.119396,1760462433.932253,114924.091,15746,11,PG,1,100,7549
1032504.129125,1032504.129124,1760462433.941981,114933.818,15746,11,PG,1,100,7522
1032504.138853,1032504.138852,1760462433.951710,114943.545,15746,11,PG,1,100,7528
1032504.148581,1032504.148580,1760462433.961437,114953.273,15746,11,PG,1,100,7542
1032504.158309,1032504.158308,1760462433.971165,114963.000,15746,11,PG,1,100,7563
1032504.168037,1032504.168036,1760462433.980894,114972.727,15762,11,PG,1,100,7565
1032504.177765,1032504.177764,1760462433.990622,114982.455,15762,11,PG,1,100,7571
1032504.187493,1032504.187492,1760462434.000350,114992.182,15762,11,PG,1,100,7529
1032504.197221,1032504.197220,1760462434.010077,115001.909,15762,11,PG,1,100,7527
1032504.206949,1032504.206948,1760462434.019806,115011.636,15762,11,PG,1,100,7513
1032504.216677,1032504.216676,1760462434.029534,115021.364,15762,11,PG,1,100,7537
