LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1032512.381924,1032512.381923,1760462442.194800,123186.000,17050,1,HR,1,100,107.30
1032512.887962,1032512.887960,1760462442.700840,123692.000,17133,1,HR,1,100,110.12
1032513.455005,1032513.455003,1760462443.267883,124259.000,17218,1,HR,1,100,109.04
1032514.042049,1032514.042047,1760462443.854929,124846.000,17317,1,HR,1,100,107.80
1032514.621092,1032514.621090,1760462444.433973,125425.000,17412,1,HR,1,100,107.23
1032515.191135,1032515.191133,1760462445.004017,125995.000,17494,1,HR,1,100,106.80
1032515.755177,1032515.755175,1760462445.568061,126559.000,17590,1,HR,1,100,106.87
1032516.311218,1032516.311216,1760462446.124104,127115.000,17673,1,HR,1,100,107.37
1032516.918264,1032516.918262,1760462446.731151,127722.000,17771,1,HR,1,100,105.36
1032517.491307,1032517.491305,1760462447.304195,128295.000,17867,1,HR,1,100,105.76
1032518.028347,1032518.028345,1760462447.841237,128832.000,17948,1,HR,1,100,106.95
1032518.544385,1032518.544383,1760462448.357276,129348.000,18031,1,HR,1,100,109.33
1032519.115428,1032519.115426,1760462448.928320,129919.000,18127,1,HR,1,100,108.42
1032519.698472,1032519.698470,1760462449.511365,130502.000,18222,1,HR,1,100,107.32
1032520.244512,1032520.244510,1760462450.057408,131048.000,18302,1,HR,1,100,108.16
1032520.817555,1032520.817553,1760462450.630452,131621.000,18397,1,HR,1,100,107.52
1032521.334594,1032521.334592,1760462451.147492,132138.000,18478,1,HR,1,100,109.77
1032521.934639,1032521.934637,1760462451.747538,132738.000,18573,1,HR,1,100,107.60
1032522.491680,1032522.491678,1760462452.304581,133295.000,18652,1,HR,1,100,107.93
1032523.054723,1032523.054721,1760462452.867625,133858.000,18748,1,HR,1,100,107.75
1032523.640766,1032523.640764,1760462453.453670,134444.000,18830,1,HR,1,100,106.80
1032524.137804,1032524.137802,1760462453.950708,134941.000,18909,1,HR,1,100,109.73
1032524.727848,1032524.727846,1760462454.540754,135531.000,19005,1,HR,1,100,108.34
1032525.254887,1032525.254885,1760462455.067795,136058.000,19084,1,HR,1,100,109.42
1032525.770926,1032525.770924,1760462455.583834,136574.000,19164,1,HR,1,100,111.25
1032526.324967,1032526.324965,1760462456.137877,137128.000,19260,1,HR,1,100,110.77
1032526.891009,1032526.891007,1760462456.703921,137694.000,19340,1,HR,1,100,109.96
1032527.484054,1032527.484052,1760462457.296967,138287.000,19435,1,HR,1,100,108.12
1032528.054096,1032528.054094,1760462457.867011,138857.000,19531,1,HR,1,100,107.49
1032528.618139,1032528.618137,1760462458.431054,139421.000,19628,1,HR,1,100,107.41
1032529.164179,1032529.164177,1760462458.977096,139967.000,19707,1,HR,1,100,108.23
1032529.765224,1032529.765222,1760462459.578143,140568.000,19803,1,HR,1,100,106.40
1032530.331267,1032530.331265,1760462460.144186,141134.000,19883,1,HR,1,100,106.57
1032530.864307,1032530.864304,1760462460.677228,141667.000,19978,1,HR,1,100,108.04
1032531.421348,1032531.421346,1760462461.234271,142224.000,20058,1,HR,1,100,108.28
1032531.937387,1032531.937385,1760462461.750310,142740.000,20139,1,HR,1,100,109.86
1032532.511430,1032532.511428,1760462462.324355,143314.000,20233,1,HR,1,100,108.84
1032533.067471,1032533.067469,1760462462.880398,143870.000,20313,1,HR,1,100,108.89
1032533.637514,1032533.637512,1760462463.450442,144440.000,20411,1,HR,1,100,108.09
1032534.164553,1032534.164551,1760462463.977483,144967.000,20490,1,HR,1,100,109.71
1032534.814602,1032534.814600,1760462464.627533,145617.000,20601,1,HR,1,100,106.16
1032535.387645,1032535.387643,1760462465.200577,146190.000,20686,1,HR,1,100,105.96
1032535.950687,1032535.950685,1760462465.763620,146753.000,20783,1,HR,1,100,106.22
1032536.517729,1032536.517727,1760462466.330664,147320.000,20862,1,HR,1,100,106.01
1032537.080771,1032537.080769,1760462466.893708,147883.000,20957,1,HR,1,100,106.26
1032537.643814,1032537.643811,1760462467.456751,148446.000,21053,1,HR,1,100,106.46
1032538.217857,1032538.217854,1760462468.030795,149020.000,21119,1,HR,1,100,106.61
1032538.733895,1032538.733893,1760462468.546835,149536.000,21201,1,HR,1,100,108.56
1032539.280936,1032539.280934,1760462469.093878,150083.000,21285,1,HR,1,100,109.13
1032539.893982,1032539.893980,1760462469.706925,150696.000,21379,1,HR,1,100,106.73
1032540.474025,1032540.474023,1760462470.286970,151276.000,21478,1,HR,1,100,106.00
1032541.068070,1032541.068067,1760462470.881016,151870.000,21574,1,HR,1,100,105.05
1032541.531104,1032541.531102,1760462471.344051,152333.000,21640,1,HR,1,100,110.69
1032542.094146,1032542.094144,1760462471.907095,152896.000,21739,1,HR,1,100,109.90
1032542.631187,1032542.631184,1760462472.444136,153433.000,21821,1,HR,1,100,110.64
1032543.127224,1032543.127221,1760462472.940175,153929.000,21902,1,HR,1,100,113.26
1032543.624261,1032543.624259,1760462473.437213,154426.000,21990,1,HR,1,100,114.76
1032544.140299,1032544.140297,1760462473.953253,154942.000,22073,1,HR,1,100,115.40
1032544.694341,1032544.694339,1760462474.507296,155496.000,22173,1,HR,1,100,114.00
1032545.220380,1032545.220378,1760462475.033336,156022.000,22256,1,HR,1,100,114.31
1032545.797423,1032545.797421,1760462475.610381,156599.000,22335,1,HR,1,100,111.89
1032546.367466,1032546.367464,1760462476.180425,157169.000,22434,1,HR,1,100,110.84
1032547.010514,1032547.010512,1760462476.823474,157812.000,22530,1,HR,1,100,107.04
1032547.730568,1032547.730566,1760462477.543530,158532.000,22643,1,HR,1,100,101.77
1032549.083669,1032549.083667,1760462478.896635,159885.000,22874,1,HR,1,100,89.11
1032549.760720,1032549.760717,1760462479.573687,160562.000,22971,1,HR,1,100,89.20
1032550.220754,1032550.220752,1760462480.033722,161022.000,23055,1,HR,1,100,98.37
1032550.566780,1032550.566778,1760462480.379749,161368.000,23102,1,HR,1,100,115.72
1032552.646936,1032552.646933,1760462482.459910,163448.000,23438,1,HR,1,100,96.45
1032553.223979,1032553.223976,1760462483.036954,164025.000,23520,1,HR,1,100,98.41
1032553.837025,1032553.837022,1760462483.650002,164638.000,23625,1,HR,1,100,98.04
1032554.434069,1032554.434067,1760462484.247048,165235.000,23723,1,HR,1,100,98.86
1032554.910105,1032554.910102,1760462484.723084,165711.000,23804,1,HR,1,100,104.67
1032555.470147,1032555.470144,1760462485.283128,166271.000,23886,1,HR,1,100,105.65
1032556.064191,1032556.064189,1760462485.877173,166865.000,23983,1,HR,1,100,104.77
1032556.590230,1032556.590228,1760462486.403214,167391.000,24065,1,HR,1,100,106.65
1032557.087268,1032557.087265,1760462486.900253,167888.000,24145,1,HR,1,100,110.16
1032557.624308,1032557.624305,1760462487.437294,168425.000,24228,1,HR,1,100,110.84
1032558.167348,1032558.167346,1760462487.980336,168968.000,24326,1,HR,1,100,110.90
1032558.734391,1032558.734388,1760462488.547380,169535.000,24413,1,HR,1,100,109.64
1032559.307434,1032559.307431,1760462489.120424,170108.000,24515,1,HR,1,100,109.09
1032559.880476,1032559.880474,1760462489.693468,170681.000,24613,1,HR,1,100,108.24
1032560.437518,1032560.437516,1760462490.250511,171238.000,24698,1,HR,1,100,108.00
1032561.000560,1032561.000558,1760462490.813555,171801.000,24794,1,HR,1,100,107.81
1032561.546601,1032561.546599,1760462491.359597,172347.000,24877,1,HR,1,100,108.54
1032562.197650,1032562.197647,1760462492.010647,172998.000,24973,1,HR,1,100,104.93
1032562.706688,1032562.706685,1760462492.519686,173507.000,25056,1,HR,1,100,108.28
1032563.250729,1032563.250726,1760462493.063728,174051.000,25159,1,HR,1,100,108.91
1032563.773768,1032563.773765,1760462493.586769,174574.000,25243,1,HR,1,100,110.35
1032564.299807,1032564.299804,1760462494.112809,175100.000,25327,1,HR,1,100,111.47
1032564.903852,1032564.903850,1760462494.716856,175704.000,25422,1,HR,1,100,108.92
1032565.453893,1032565.453891,1760462495.266899,176254.000,25506,1,HR,1,100,108.96
1032566.009935,1032566.009932,1760462495.822942,176810.000,25587,1,HR,1,100,108.99
1032566.573977,1032566.573975,1760462496.386985,177374.000,25688,1,HR,1,100,108.58
1032567.133019,1032567.133016,1760462496.946028,177933.000,25769,1,HR,1,100,108.26
1032567.790068,1032567.790065,1760462497.603079,178590.000,25883,1,HR,1,100,104.71
1032568.357110,1032568.357108,1760462498.170123,179157.000,25972,1,HR,1,100,105.25
1032568.940154,1032568.940151,1760462498.753168,179740.000,26076,1,HR,1,100,104.85
1032569.467193,1032569.467191,1760462499.280208,180267.000,26159,1,HR,1,100,106.71
1032570.030235,1032570.030233,1760462499.843252,180830.000,26257,1,HR,1,100,106.81
1032570.643281,1032570.643279,1760462500.456299,181443.000,26357,1,HR,1,100,104.93
1032571.200323,1032571.200320,1760462501.013342,182000.000,26439,1,HR,1,100,105.85
1032571.790367,1032571.790365,1760462501.603388,182590.000,26539,1,HR,1,100,105.32
1032572.333408,1032572.333405,1760462502.146430,183133.000,26641,1,HR,1,100,106.61
1032572.890449,1032572.890447,1760462502.703473,183690.000,26723,1,HR,1,100,106.73
1032573.516496,1032573.516494,1760462503.329521,184316.000,26826,1,HR,1,100,104.51
1032574.046536,1032574.046533,1760462503.859562,184846.000,26911,1,HR,1,100,106.45
1032574.589576,1032574.589574,1760462504.402604,185389.000,27009,1,HR,1,100,107.48
1032575.106615,1032575.106613,1760462504.919644,185906.000,27090,1,HR,1,100,109.74
1032575.663657,1032575.663654,1760462505.476687,186463.000,27172,1,HR,1,100,109.60
1032576.216698,1032576.216696,1760462506.029730,187016.000,27268,1,HR,1,100,109.48
1032576.763739,1032576.763736,1760462506.576772,187563.000,27350,1,HR,1,100,109.85
1032577.309780,1032577.309777,1760462507.122814,188109.000,27433,1,HR,1,100,109.68
1032577.882823,1032577.882820,1760462507.695858,188682.000,27530,1,HR,1,100,108.70
1032578.449865,1032578.449862,1760462508.262902,189249.000,27617,1,HR,1,100,108.35
1032579.042909,1032579.042907,1760462508.855948,189842.000,27715,1,HR,1,100,106.87
1032579.599951,1032579.599948,1760462509.412991,190399.000,27825,1,HR,1,100,107.37
1032580.176994,1032580.176992,1760462509.990036,190976.000,27906,1,HR,1,100,106.90
1032580.683032,1032580.683029,1760462510.496074,191482.000,27992,1,HR,1,100,109.29
1032581.267076,1032581.267073,1760462511.080120,192066.000,28088,1,HR,1,100,107.99
1032581.793115,1032581.793112,1760462511.606160,192592.000,28169,1,HR,1,100,109.63
1032582.310154,1032582.310151,1760462512.123200,193109.000,28251,1,HR,1,100,111.41
1032582.826192,1032582.826190,1760462512.639240,193625.000,28332,1,HR,1,100,112.30
1032583.343231,1032583.343228,1760462513.156280,194142.000,28415,1,HR,1,100,113.49
1032583.916274,1032583.916271,1760462513.729324,194715.000,28513,1,HR,1,100,111.66
1032584.453314,1032584.453311,1760462514.266366,195252.000,28591,1,HR,1,100,112.00
1032584.983354,1032584.983351,1760462514.796407,195782.000,28687,1,HR,1,100,112.27
1032585.519394,1032585.519391,1760462515.332448,196318.000,28769,1,HR,1,100,112.48
1032586.103437,1032586.103435,1760462515.916493,196902.000,28866,1,HR,1,100,110.47
1032586.736485,1032586.736482,1760462516.549542,197535.000,28964,1,HR,1,100,107.09
1032587.272525,1032587.272522,1760462517.085583,198071.000,29044,1,HR,1,100,108.45
1032587.846568,1032587.846565,1760462517.659628,198645.000,29140,1,HR,1,100,107.74
1032588.372607,1032588.372604,1760462518.185668,199171.000,29225,1,HR,1,100,108.95
1032588.952651,1032588.952648,1760462518.765713,199751.000,29321,1,HR,1,100,108.13
1032589.509692,1032589.509689,1760462519.322756,200308.000,29403,1,HR,1,100,108.35
1032590.049733,1032590.049730,1760462519.862798,200848.000,29484,1,HR,1,100,108.96
1032590.535769,1032590.535766,1760462520.348835,201334.000,29565,1,HR,1,100,112.53
1032591.105812,1032591.105809,1760462520.918879,201904.000,29661,1,HR,1,100,110.91
1032591.669854,1032591.669851,1760462521.482923,202468.000,29758,1,HR,1,100,110.07
1032592.205894,1032592.205891,1760462522.018964,203004.000,29840,1,HR,1,100,110.77
1032592.702931,1032592.702928,1760462522.516003,203501.000,29906,1,HR,1,100,112.82
1032593.295975,1032593.295973,1760462523.109048,204094.000,30006,1,HR,1,100,110.35
