LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1032482.984226,1032482.984224,1760462412.797030,93790.500,12406,2,EL,1,100,-7471.200195
1032483.050731,1032483.050729,1760462412.863536,93857.000,12406,2,EL,1,100,-7518.799805
1032483.117736,1032483.117734,1760462412.930541,93924.000,12421,1,EL,1,100,-7560.600098
1032483.184241,1032483.184239,1760462412.997046,93990.500,12439,2,EL,1,100,-7600.799805
1032483.250746,1032483.250744,1760462413.063551,94057.000,12439,2,EL,1,100,-7643.600098
1032483.317751,1032483.317749,1760462413.130556,94124.000,12454,1,EL,1,100,-7675.200195
1032483.384256,1032483.384254,1760462413.197061,94190.500,12470,2,EL,1,100,-7692.600098
1032483.450761,1032483.450759,1760462413.263566,94257.000,12470,2,EL,1,100,-7704.200195
1032483.517766,1032483.517764,1760462413.330572,94324.000,12486,1,EL,1,100,-7719.799805
1032483.584271,1032483.584269,1760462413.397077,94390.500,12501,2,EL,1,100,-7752.600098
1032483.650776,1032483.650774,1760462413.463582,94457.000,12501,2,EL,1,100,-7780.399902
1032483.717781,1032483.717779,1760462413.530587,94524.000,12519,1,EL,1,100,-7806.799805
1032483.784286,1032483.784284,1760462413.597092,94590.500,12536,2,EL,1,100,-7837.000000
1032483.850791,1032483.850789,1760462413.663597,94657.000,12536,2,EL,1,100,-7864.000000
1032483.917796,1032483.917794,1760462413.730603,94724.000,12551,1,EL,1,100,-7892.600098
1032483.984301,1032483.984299,1760462413.797108,94790.500,12567,2,EL,1,100,-7920.200195
1032484.050806,1032484.050804,1760462413.863613,94857.000,12567,2,EL,1,100,-7938.399902
1032484.117811,1032484.117809,1760462413.930618,94924.000,12581,1,EL,1,100,-7952.000000
1032484.184316,1032484.184314,1760462413.997123,94990.500,12598,2,EL,1,100,-7970.799805
1032484.250821,1032484.250819,1760462414.063628,95057.000,12598,2,EL,1,100,-7991.000000
1032484.317326,1032484.317324,1760462414.130133,95123.500,12613,2,EL,1,100,-8007.799805
1032484.383831,1032484.383829,1760462414.196639,95190.000,12613,2,EL,1,100,-8030.399902
1032484.450836,1032484.450834,1760462414.263644,95257.000,12629,1,EL,1,100,-8050.600098
1032484.517341,1032484.517339,1760462414.330149,95323.500,12644,2,EL,1,100,-8070.200195
1032484.583846,1032484.583844,1760462414.396654,95390.000,12644,2,EL,1,100,-8094.200195
1032484.650851,1032484.650849,1760462414.463659,95457.000,12660,1,EL,1,100,-8115.600098
1032484.717356,1032484.717354,1760462414.530164,95523.500,12676,2,EL,1,100,-8133.600098
1032484.783861,1032484.783859,1760462414.596669,95590.000,12676,2,EL,1,100,-8153.600098
1032484.850866,1032484.850864,1760462414.663675,95657.000,12693,1,EL,1,100,-8175.600098
1032484.917371,1032484.917369,1760462414.730180,95723.500,12709,2,EL,1,100,-8198.400391
1032484.983876,1032484.983874,1760462414.796685,95790.000,12709,2,EL,1,100,-8216.000000
1032485.050881,1032485.050879,1760462414.863690,95857.000,12725,1,EL,1,100,-8233.000000
1032485.117386,1032485.117384,1760462414.930195,95923.500,12741,2,EL,1,100,-8257.200195
1032485.183891,1032485.183889,1760462414.996700,95990.000,12741,2,EL,1,100,-8272.000000
1032485.250896,1032485.250894,1760462415.063705,96057.000,12757,1,EL,1,100,-8281.000000
1032485.317401,1032485.317399,1760462415.130211,96123.500,12772,2,EL,1,100,-8294.599609
1032485.383905,1032485.383904,1760462415.196716,96190.000,12772,2,EL,1,100,-8307.200195
1032485.450911,1032485.450909,1760462415.263721,96257.000,12788,1,EL,1,100,-8318.799805
1032485.517415,1032485.517414,1760462415.330226,96323.500,12804,2,EL,1,100,-8332.599609
1032485.583920,1032485.583919,1760462415.396731,96390.000,12804,2,EL,1,100,-8346.400391
1032485.650925,1032485.650924,1760462415.463736,96457.000,12820,1,EL,1,100,-8359.000000
1032485.717430,1032485.717429,1760462415.530241,96523.500,12834,2,EL,1,100,-8370.000000
1032485.783935,1032485.783934,1760462415.596747,96590.000,12834,2,EL,1,100,-8385.400391
1032485.850940,1032485.850939,1760462415.663752,96657.000,12851,1,EL,1,100,-8407.200195
1032485.917445,1032485.917444,1760462415.730257,96723.500,12868,2,EL,1,100,-8433.599609
1032485.983950,1032485.983949,1760462415.796762,96790.000,12868,2,EL,1,100,-8443.200195
1032486.050955,1032486.050954,1760462415.863767,96857.000,12884,1,EL,1,100,-8449.000000
1032486.117460,1032486.117459,1760462415.930272,96923.500,12902,2,EL,1,100,-8468.200195
1032486.183965,1032486.183964,1760462415.996778,96990.000,12902,2,EL,1,100,-8484.599609
1032486.250970,1032486.250969,1760462416.063783,97057.000,12917,1,EL,1,100,-8496.400391
