LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1032509.904739,1032509.904737,1760462439.717609,120709.000,16654,3,GY,1,100,1.282
1032509.944742,1032509.944740,1760462439.757612,120749.000,16672,2,GY,1,100,-0.824
1032509.984745,1032509.984743,1760462439.797615,120789.000,16672,2,GY,1,100,0.183
1032510.024748,1032510.024746,1760462439.837618,120829.000,16689,3,GY,1,100,0.732
1032510.064751,1032510.064749,1760462439.877622,120869.000,16689,3,GY,1,100,0.031
1032510.104754,1032510.104752,1760462439.917625,120909.000,16689,3,GY,1,100,0.366
1032510.151758,1032510.151756,1760462439.964628,120956.000,16705,2,GY,1,100,-0.793
1032510.198761,1032510.198759,1760462440.011632,121003.000,16705,2,GY,1,100,0.885
1032510.238764,1032510.238762,1760462440.051635,121043.000,16720,2,GY,1,100,0.488
1032510.278767,1032510.278765,1760462440.091638,121083.000,16720,2,GY,1,100,0.458
1032510.318770,1032510.318768,1760462440.131641,121123.000,16736,3,GY,1,100,-0.610
1032510.358773,1032510.358771,1760462440.171644,121163.000,16736,3,GY,1,100,0.366
1032510.398776,1032510.398774,1760462440.211647,121203.000,16736,3,GY,1,100,1.007
1032510.438779,1032510.438777,1760462440.251650,121243.000,16752,3,GY,1,100,2.014
1032510.478782,1032510.478780,1760462440.291654,121283.000,16752,3,GY,1,100,1.221
1032510.518785,1032510.518783,1760462440.331657,121323.000,16752,3,GY,1,100,0.793
1032510.558788,1032510.558786,1760462440.371660,121363.000,16767,2,GY,1,100,-1.343
1032510.598791,1032510.598789,1760462440.411663,121403.000,16767,2,GY,1,100,0.092
1032510.638794,1032510.638792,1760462440.451666,121443.000,16784,3,GY,1,100,1.373
1032510.678797,1032510.678795,1760462440.491669,121483.000,16784,3,GY,1,100,-0.153
1032510.718800,1032510.718798,1760462440.531672,121523.000,16784,3,GY,1,100,0.031
1032510.758803,1032510.758801,1760462440.571675,121563.000,16800,2,GY,1,100,0.061
1032510.798806,1032510.798804,1760462440.611678,121603.000,16800,2,GY,1,100,0.031
1032510.838809,1032510.838807,1760462440.651681,121643.000,16819,3,GY,1,100,0.916
1032510.878812,1032510.878810,1760462440.691684,121683.000,16819,3,GY,1,100,-0.244
1032510.918815,1032510.918813,1760462440.731688,121723.000,16819,3,GY,1,100,0.793
1032510.958485,1032510.958483,1760462440.771357,121762.667,16834,3,GY,1,100,0.366
1032510.998154,1032510.998152,1760462440.811027,121802.333,16834,3,GY,1,100,1.190
1032511.037824,1032511.037822,1760462440.850697,121842.000,16834,3,GY,1,100,0.977
1032511.077827,1032511.077825,1760462440.890700,121882.000,16849,2,GY,1,100,-0.092
1032511.117830,1032511.117828,1760462440.930703,121922.000,16849,2,GY,1,100,-0.610
1032511.164833,1032511.164831,1760462440.977706,121969.000,16868,2,GY,1,100,0.702
1032511.211837,1032511.211835,1760462441.024710,122016.000,16868,2,GY,1,100,0.397
1032511.251840,1032511.251838,1760462441.064713,122056.000,16883,3,GY,1,100,1.404
1032511.291843,1032511.291841,1760462441.104716,122096.000,16883,3,GY,1,100,0.305
1032511.331846,1032511.331844,1760462441.144719,122136.000,16883,3,GY,1,100,-0.824
1032511.371849,1032511.371847,1760462441.184722,122176.000,16899,2,GY,1,100,0.336
1032511.411852,1032511.411850,1760462441.224725,122216.000,16899,2,GY,1,100,0.610
1032511.451855,1032511.451853,1760462441.264729,122256.000,16914,3,GY,1,100,0.671
1032511.491858,1032511.491856,1760462441.304732,122296.000,16914,3,GY,1,100,0.183
1032511.531861,1032511.531859,1760462441.344735,122336.000,16914,3,GY,1,100,-0.031
1032511.571864,1032511.571862,1760462441.384738,122376.000,16930,2,GY,1,100,1.648
1032511.611867,1032511.611865,1760462441.424741,122416.000,16930,2,GY,1,100,0.244
1032511.651870,1032511.651868,1760462441.464744,122456.000,16945,3,GY,1,100,0.580
1032511.691873,1032511.691871,1760462441.504747,122496.000,16945,3,GY,1,100,-0.122
1032511.731876,1032511.731874,1760462441.544750,122536.000,16945,3,GY,1,100,0.305
1032511.771879,1032511.771877,1760462441.584753,122576.000,16964,2,GY,1,100,0.458
1032511.811882,1032511.811880,1760462441.624757,122616.000,16964,2,GY,1,100,0.702
1032511.851885,1032511.851883,1760462441.664760,122656.000,16981,3,GY,1,100,-0.366
1032511.891888,1032511.891886,1760462441.704763,122696.000,16981,3,GY,1,100,0.183
1032511.931891,1032511.931889,1760462441.744766,122736.000,16981,3,GY,1,100,0.702
1032511.971894,1032511.971892,1760462441.784769,122776.000,16997,3,GY,1,100,1.129
1032512.011897,1032512.011895,1760462441.824772,122816.000,16997,3,GY,1,100,-0.336
1032512.051900,1032512.051898,1760462441.864775,122856.000,16997,3,GY,1,100,-0.702
1032512.091903,1032512.091901,1760462441.904778,122896.000,17012,2,GY,1,100,2.167
1032512.131906,1032512.131904,1760462441.944781,122936.000,17012,2,GY,1,100,0.153
1032512.178409,1032512.178407,1760462441.991285,122982.500,17029,2,GY,1,100,0.977
1032512.224913,1032512.224911,1760462442.037788,123029.000,17029,2,GY,1,100,-0.458
1032512.264916,1032512.264914,1760462442.077791,123069.000,17043,3,GY,1,100,-0.763
1032512.304919,1032512.304917,1760462442.117795,123109.000,17043,3,GY,1,100,1.282
1032512.344922,1032512.344920,1760462442.157798,123149.000,17043,3,GY,1,100,0.824
1032512.384925,1032512.384923,1760462442.197801,123189.000,17061,2,GY,1,100,-0.458
1032512.424928,1032512.424926,1760462442.237804,123229.000,17061,2,GY,1,100,-0.183
1032512.464931,1032512.464929,1760462442.277807,123269.000,17077,3,GY,1,100,-0.183
1032512.504934,1032512.504932,1760462442.317810,123309.000,17077,3,GY,1,100,0.793
1032512.544937,1032512.544935,1760462442.357813,123349.000,17077,3,GY,1,100,1.495
1032512.584940,1032512.584938,1760462442.397816,123389.000,17093,2,GY,1,100,1.129
1032512.624943,1032512.624941,1760462442.437819,123429.000,17093,2,GY,1,100,-0.122
1032512.664946,1032512.664944,1760462442.477822,123469.000,17107,3,GY,1,100,1.007
1032512.704949,1032512.704947,1760462442.517825,123509.000,17107,3,GY,1,100,0.702
1032512.744952,1032512.744950,1760462442.557828,123549.000,17107,3,GY,1,100,-0.763
1032512.784955,1032512.784953,1760462442.597831,123589.000,17124,3,GY,1,100,2.167
1032512.824958,1032512.824956,1760462442.637835,123629.000,17124,3,GY,1,100,0.092
1032512.864961,1032512.864959,1760462442.677838,123669.000,17124,3,GY,1,100,2.167
1032512.904964,1032512.904962,1760462442.717841,123709.000,17144,2,GY,1,100,0.183
1032512.944967,1032512.944965,1760462442.757844,123749.000,17144,2,GY,1,100,1.038
1032512.984970,1032512.984968,1760462442.797847,123789.000,17160,3,GY,1,100,1.617
1032513.024973,1032513.024971,1760462442.837850,123829.000,17160,3,GY,1,100,0.916
1032513.064976,1032513.064974,1760462442.877853,123869.000,17160,3,GY,1,100,2.014
1032513.104979,1032513.104977,1760462442.917856,123909.000,17177,2,GY,1,100,-0.854
1032513.144982,1032513.144980,1760462442.957860,123949.000,17177,2,GY,1,100,1.617
1032513.184985,1032513.184983,1760462442.997863,123989.000,17196,2,GY,1,100,0.610
1032513.224988,1032513.224986,1760462443.037866,124029.000,17196,2,GY,1,100,-0.031
1032513.269324,1032513.269322,1760462443.082202,124073.333,17211,3,GY,1,100,1.923
1032513.313661,1032513.313659,1760462443.126539,124117.667,17211,3,GY,1,100,1.282
